region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,1127 (368 -- 3791),1127,1495,1549,368,693,955,1328,1776,3791,New confirmed cases by infection date,Increasing,0.0025
Latvia,59 (29 -- 124),59,65,29,29,44,53,66,79,124,New confirmed cases by infection date,Stable,0.52
Denmark,35 (12 -- 94),35,43,31,12,24,30,41,53,94,New confirmed cases by infection date,Stable,0.52
Lithuania,7 (1 -- 41),7,12,17,1,3,5,9,15,41,New confirmed cases by infection date,Stable,0.53
Poland,6 (0 -- 37),6,11,16,0,3,5,8,13,37,New confirmed cases by infection date,Likely decreasing,0.72
Romania,5 (0 -- 38),5,11,17,0,2,4,8,12,38,New confirmed cases by infection date,Likely decreasing,0.89
Portugal,1.6 (1.2 -- 2.2),1.6,1.6,0.31,1.2,1.4,1.5,1.6,1.8,2.2,Effective reproduction no.,Increasing,0.0025
Denmark,1 (0.76 -- 1.3),1,1,0.16,0.76,0.91,0.97,1,1.1,1.3,Effective reproduction no.,Stable,0.52
Latvia,0.99 (0.85 -- 1.2),0.99,1,0.099,0.85,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.52
Lithuania,0.99 (0.71 -- 1.3),0.99,1,0.18,0.71,0.89,0.95,1,1.1,1.3,Effective reproduction no.,Stable,0.53
Poland,0.92 (0.61 -- 1.2),0.92,0.92,0.18,0.61,0.81,0.89,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Romania,0.8 (0.45 -- 1.1),0.8,0.79,0.19,0.45,0.66,0.74,0.85,0.92,1.1,Effective reproduction no.,Likely decreasing,0.89
