region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Spain,NA (75726300 -- NA),,,,75726300,684317000,1658590000,,,,New confirmed cases by infection date,Likely increasing,0.055
Portugal,87938 (31773 -- 254104),87938,110131,106783,31773,61138,76860,100097,127755,254104,New confirmed cases by infection date,Likely increasing,0.25
France,47834 (23954 -- 116825),47834,56084,35554,23954,35328,42114,53326,65697,116825,New confirmed cases by infection date,Stable,0.49
Germany,46603 (17927 -- 138468),46603,58982,52963,17927,33632,41042,52695,67133,138468,New confirmed cases by infection date,Likely decreasing,0.85
Italy,27819 (20123 -- 39320),27819,28564,6050,20123,24560,26514,29245,31797,39320,New confirmed cases by infection date,Decreasing,0.97
Greece,7781 (4267 -- 15735),7781,8681,4068,4267,6139,7084,8594,10216,15735,New confirmed cases by infection date,Likely decreasing,0.64
United Kingdom,5004 (822 -- 18035),5004,7091,9738,822,2848,4020,6116,8312,18035,New confirmed cases by infection date,Likely decreasing,0.91
Austria,2765 (1032 -- 7269),2765,3325,2819,1032,1955,2417,3141,3933,7269,New confirmed cases by infection date,Likely decreasing,0.9
Netherlands,2342 (243 -- 24144),2342,6864,18436,243,969,1693,3273,5938,24144,New confirmed cases by infection date,Stable,0.49
Finland,1699 (56 -- 40607),1699,9947,31682,56,444,1025,2729,6511,40607,New confirmed cases by infection date,Stable,0.45
Belgium,1275 (121 -- 7511),1275,2623,9565,121,604,992,1629,2443,7511,New confirmed cases by infection date,Likely decreasing,0.85
Sweden,1218 (202 -- 16131),1218,5531,25327,202,585,925,1654,3122,16131,New confirmed cases by infection date,Likely increasing,0.35
Denmark,773 (348 -- 2557),773,1080,1411,348,574,690,881,1125,2557,New confirmed cases by infection date,Likely decreasing,0.79
Norway,738 (392 -- 1486),738,805,353,392,579,674,808,934,1486,New confirmed cases by infection date,Likely increasing,0.32
Ireland,575 (35 -- 2806),575,986,1824,35,220,401,778,1159,2806,New confirmed cases by infection date,Likely decreasing,0.92
