region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Italy,39276 (23635 -- 80212),39276,44005,20254,23635,31626,36191,42722,49991,80212,New confirmed cases by infection date,Likely increasing,0.27
Czechia,37124 (16886 -- 81065),37124,41071,19876,16886,25588,32351,41925,50949,81065,New confirmed cases by infection date,Likely increasing,0.074
Greece,27063 (14117 -- 54013),27063,29477,13177,14117,20555,24343,30113,35281,54013,New confirmed cases by infection date,Likely increasing,0.12
Netherlands,19899 (10632 -- 43714),19899,22396,10383,10632,15293,17989,22217,26589,43714,New confirmed cases by infection date,Likely increasing,0.26
Ireland,3692 (1740 -- 10179),3692,4496,3055,1740,2684,3257,4150,5223,10179,New confirmed cases by infection date,Likely decreasing,0.81
Slovakia,3428 (1314 -- 10551),3428,4406,3463,1314,2319,2952,4113,5365,10551,New confirmed cases by infection date,Likely increasing,0.22
Estonia,685 (283 -- 1793),685,835,703,283,474,599,787,993,1793,New confirmed cases by infection date,Likely increasing,0.28
Malta,419 (180 -- 1141),419,506,332,180,296,367,474,601,1141,New confirmed cases by infection date,Stable,0.57
Czechia,1.1 (0.98 -- 1.2),1.1,1.1,0.079,0.98,1.1,1.1,1.1,1.2,1.2,Effective reproduction no.,Likely increasing,0.074
Estonia,1.1 (0.88 -- 1.3),1.1,1.1,0.14,0.88,0.99,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.28
Greece,1.1 (0.95 -- 1.2),1.1,1.1,0.081,0.95,1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.12
Netherlands,1.1 (0.93 -- 1.2),1.1,1,0.072,0.93,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.26
Slovakia,1.1 (0.9 -- 1.4),1.1,1.1,0.17,0.9,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.22
Italy,1 (0.94 -- 1.1),1,1,0.062,0.94,1,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.27
Malta,0.98 (0.79 -- 1.2),0.98,0.98,0.13,0.79,0.9,0.95,1,1,1.2,Effective reproduction no.,Stable,0.57
Ireland,0.91 (0.73 -- 1.1),0.91,0.91,0.12,0.73,0.83,0.88,0.94,0.98,1.1,Effective reproduction no.,Likely decreasing,0.81
