Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,67491 (40495 -- 115575),Increasing,1.4 (1.1 -- 1.6),0.43 (0.13 -- 0.6),1.6 (1.2 -- 5.1)
Bulgaria,18107 (10380 -- 35571),Likely decreasing,0.95 (0.85 -- 1.1),-0.071 (-0.2 -- 0.13),-9.8 (5.2 -- -3.5)
Croatia,49223 (25519 -- 106517),Likely increasing,1.1 (0.92 -- 1.2),0.064 (-0.1 -- 0.28),11 (2.5 -- -6.6)
Cyprus,14246 (4610 -- 54959),Stable,0.98 (0.74 -- 1.2),-0.027 (-0.38 -- 0.28),-26 (2.5 -- -1.8)
Czechia,486324 (259186 -- 1016510),Increasing,1.3 (1.2 -- 1.4),0.31 (0.2 -- 0.43),2.2 (1.6 -- 3.5)
Denmark,98955 (48416 -- 193313),Increasing,1.2 (1.2 -- 1.3),0.28 (0.18 -- 0.38),2.5 (1.8 -- 3.8)
Estonia,50741 (15075 -- 169317),Likely increasing,1.2 (0.96 -- 1.4),0.21 (-0.047 -- 0.46),3.2 (1.5 -- -15)
Greece,238227 (144047 -- 408705),Increasing,1.3 (1 -- 1.4),0.3 (0.059 -- 0.44),2.3 (1.6 -- 12)
Hungary,87648 (48658 -- 158423),Increasing,1.3 (1.2 -- 1.5),0.37 (0.21 -- 0.54),1.9 (1.3 -- 3.4)
Iceland,1310 (688 -- 2873),Likely increasing,1.1 (0.95 -- 1.2),0.068 (-0.06 -- 0.22),10 (3.2 -- -11)
Ireland,10054 (6014 -- 18485),Likely increasing,1.1 (0.96 -- 1.3),0.12 (-0.048 -- 0.3),5.9 (2.3 -- -14)
Italy,815419 (377148 -- 1889960),Likely increasing,1 (0.87 -- 1.2),0.036 (-0.18 -- 0.27),19 (2.5 -- -3.9)
Latvia,11020 (3525 -- 30091),Likely increasing,1.2 (1 -- 1.5),0.24 (0.0028 -- 0.51),2.9 (1.4 -- 250)
Lithuania,99788 (35693 -- 320843),Likely increasing,1.2 (1 -- 1.5),0.23 (0.0012 -- 0.58),3 (1.2 -- 560)
Luxembourg,14166 (7525 -- 25973),Increasing,1.4 (1.1 -- 1.6),0.39 (0.12 -- 0.63),1.8 (1.1 -- 5.9)
Malta,369 (169 -- 933),Stable,0.98 (0.86 -- 1.3),-0.025 (-0.19 -- 0.37),-28 (1.9 -- -3.6)
Netherlands,32271 (10923 -- 112443),Likely increasing,1.1 (0.92 -- 1.4),0.15 (-0.1 -- 0.45),4.6 (1.5 -- -6.8)
Norway,86199 (38030 -- 207050),Likely increasing,1.1 (0.88 -- 1.2),0.094 (-0.16 -- 0.27),7.4 (2.6 -- -4.5)
Poland,1489170 (561767 -- 3560050),Increasing,1.3 (1.1 -- 1.4),0.31 (0.15 -- 0.46),2.2 (1.5 -- 4.5)
Portugal,13034 (6929 -- 27667),Stable,1 (0.89 -- 1.3),0.028 (-0.14 -- 0.36),25 (1.9 -- -4.8)
Romania,15959 (7513 -- 38877),Likely decreasing,0.87 (0.72 -- 1.3),-0.17 (-0.4 -- 0.32),-4.1 (2.2 -- -1.7)
Slovakia,25395 (13346 -- 50281),Increasing,1.2 (1.1 -- 1.4),0.22 (0.068 -- 0.42),3.1 (1.7 -- 10)
Slovenia,23925 (12177 -- 54662),Increasing,1.1 (1 -- 1.3),0.18 (0.027 -- 0.39),3.9 (1.8 -- 26)
Sweden,143172 (47251 -- 418720),Likely increasing,1.1 (0.84 -- 1.3),0.079 (-0.21 -- 0.29),8.8 (2.4 -- -3.3)
