region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
United Kingdom,694684 (475352 -- 1090910),694684,725288,190596,475352,591764,654148,739243,821630,1090910,New confirmed cases by infection date,Increasing,0
France,362247 (162263 -- 710911),362247,391072,175415,162263,267411,326029,404145,483433,710911,New confirmed cases by infection date,Likely increasing,0.26
Germany,181287 (76575 -- 413439),181287,204721,112554,76575,129690,160753,203991,250614,413439,New confirmed cases by infection date,Likely decreasing,0.77
Spain,159694 (58068 -- 546502),159694,215438,212530,58068,105913,137376,188388,249845,546502,New confirmed cases by infection date,Likely increasing,0.08
Italy,147989 (105206 -- 224742),147989,154158,38130,105206,128491,140314,156153,172963,224742,New confirmed cases by infection date,Increasing,0.018
Poland,78412 (52816 -- 113652),78412,80270,18974,52816,67261,74270,82955,91292,113652,New confirmed cases by infection date,Likely decreasing,0.94
Denmark,69566 (46413 -- 106505),69566,72292,18733,46413,59003,65643,74305,82434,106505,New confirmed cases by infection date,Increasing,0.0073
Switzerland,52069 (22560 -- 109866),52069,57301,28145,22560,37415,45510,58570,70548,109866,New confirmed cases by infection date,Stable,0.45
Netherlands,43406 (28936 -- 64148),43406,44503,10936,28936,36714,40899,46112,50815,64148,New confirmed cases by infection date,Decreasing,0.97
Belgium,43047 (5563 -- 244634),43047,81668,186389,5563,19262,30943,56842,92282,244634,New confirmed cases by infection date,Likely decreasing,0.66
Czechia,38216 (13706 -- 104949),38216,45385,30121,13706,25529,33097,43831,55913,104949,New confirmed cases by infection date,Likely decreasing,0.84
Norway,30569 (14736 -- 59029),30569,33477,17334,14736,23519,27620,33886,40740,59029,New confirmed cases by infection date,Likely increasing,0.22
Portugal,22958 (15508 -- 34118),22958,23643,5930,15508,19472,21546,24393,26966,34118,New confirmed cases by infection date,Likely increasing,0.31
Ireland,19743 (13390 -- 29555),19743,20354,5008,13390,16902,18565,20869,23195,29555,New confirmed cases by infection date,Likely decreasing,0.66
Sweden,18619 (12393 -- 28364),18619,19301,4970,12393,15838,17584,19893,22057,28364,New confirmed cases by infection date,Likely increasing,0.14
Slovakia,18291 (11390 -- 29556),18291,19074,5819,11390,15011,16994,19632,22148,29556,New confirmed cases by infection date,Decreasing,0.98
Greece,17842 (11886 -- 26580),17842,18394,4838,11886,15242,16854,18865,20723,26580,New confirmed cases by infection date,Likely decreasing,0.85
