Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,94 (37 -- 206),Likely decreasing,0.97 (0.71 -- 1.2),-0.042 (-0.41 -- 0.23),-17 (3 -- -1.7)
Belgium,44 (16 -- 120),Stable,0.99 (0.75 -- 1.3),-0.013 (-0.37 -- 0.34),-54 (2.1 -- -1.9)
Bulgaria,16 (2 -- 83),Decreasing,0.66 (0.43 -- 0.93),-0.51 (-1 -- -0.091),-1.4 (-7.6 -- -0.68)
Croatia,52 (18 -- 160),Stable,0.98 (0.75 -- 1.3),-0.022 (-0.35 -- 0.38),-32 (1.8 -- -2)
Czechia,3 (0 -- 23),Likely decreasing,0.8 (0.42 -- 1.1),-0.27 (-1 -- 0.11),-2.5 (6.4 -- -0.66)
Denmark,53 (16 -- 194),Likely decreasing,0.9 (0.65 -- 1.1),-0.13 (-0.53 -- 0.14),-5.3 (5.1 -- -1.3)
Estonia,7 (1 -- 41),Likely decreasing,0.9 (0.61 -- 1.2),-0.13 (-0.61 -- 0.24),-5.5 (2.9 -- -1.1)
Finland,437 (97 -- 2053),Likely increasing,1 (0.8 -- 1.5),0.055 (-0.27 -- 0.52),13 (1.3 -- -2.5)
France,1248 (615 -- 2548),Stable,0.97 (0.78 -- 1.2),-0.04 (-0.31 -- 0.22),-17 (3.2 -- -2.3)
Germany,272 (107 -- 708),Likely decreasing,0.95 (0.7 -- 1.2),-0.064 (-0.45 -- 0.23),-11 (3 -- -1.5)
Greece,328 (166 -- 768),Stable,1 (0.87 -- 1.2),-0.0021 (-0.17 -- 0.24),-320 (2.9 -- -4.1)
Hungary,15 (3 -- 62),Stable,0.98 (0.72 -- 1.3),-0.022 (-0.4 -- 0.35),-31 (2 -- -1.7)
Ireland,35 (10 -- 107),Likely decreasing,0.86 (0.63 -- 1.1),-0.18 (-0.57 -- 0.095),-3.8 (7.3 -- -1.2)
Italy,245 (114 -- 598),Decreasing,0.76 (0.6 -- 0.91),-0.34 (-0.61 -- -0.12),-2 (-5.9 -- -1.1)
Latvia,22 (6 -- 75),Likely decreasing,0.93 (0.73 -- 1.2),-0.089 (-0.39 -- 0.23),-7.8 (3 -- -1.8)
Lithuania,3 (0 -- 17),Likely decreasing,0.85 (0.51 -- 1.1),-0.2 (-0.81 -- 0.13),-3.4 (5.4 -- -0.85)
Malta,37 (12 -- 136),Likely increasing,1 (0.83 -- 1.3),0.039 (-0.23 -- 0.37),18 (1.9 -- -3)
Poland,11 (2 -- 52),Likely decreasing,0.81 (0.54 -- 1),-0.26 (-0.74 -- 0.057),-2.7 (12 -- -0.93)
Romania,39 (12 -- 125),Likely decreasing,0.93 (0.72 -- 1.1),-0.092 (-0.41 -- 0.15),-7.5 (4.5 -- -1.7)
Slovenia,12 (2 -- 59),Likely decreasing,0.76 (0.49 -- 1),-0.34 (-0.86 -- 0.019),-2 (36 -- -0.81)
Spain,586 (216 -- 1753),Likely decreasing,0.95 (0.68 -- 1.2),-0.059 (-0.48 -- 0.28),-12 (2.5 -- -1.5)
Sweden,68 (19 -- 312),Decreasing,0.7 (0.5 -- 1),-0.45 (-0.85 -- 0.0044),-1.5 (160 -- -0.82)
