Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,139 (69 -- 288),Decreasing,0.72 (0.59 -- 0.86),-0.4 (-0.63 -- -0.18),-1.7 (-3.8 -- -1.1)
Bulgaria,369 (170 -- 890),Likely increasing,1 (0.87 -- 1.2),0.034 (-0.18 -- 0.22),20 (3.2 -- -3.8)
Croatia,478 (206 -- 1242),Likely decreasing,0.95 (0.74 -- 1.1),-0.064 (-0.37 -- 0.12),-11 (5.8 -- -1.9)
Cyprus,19 (4 -- 98),Likely increasing,1.1 (0.87 -- 1.5),0.087 (-0.18 -- 0.54),7.9 (1.3 -- -3.9)
Czechia,79 (32 -- 193),Decreasing,0.71 (0.56 -- 0.88),-0.43 (-0.7 -- -0.16),-1.6 (-4.3 -- -0.99)
Denmark,397 (164 -- 1110),Likely decreasing,0.88 (0.68 -- 1.1),-0.17 (-0.48 -- 0.091),-4.2 (7.6 -- -1.4)
Estonia,86 (24 -- 301),Likely decreasing,0.89 (0.66 -- 1.1),-0.14 (-0.52 -- 0.11),-5 (6.6 -- -1.3)
Finland,1673 (539 -- 5165),Stable,1 (0.73 -- 1.2),0.0011 (-0.39 -- 0.24),660 (2.8 -- -1.8)
France,4168 (1981 -- 9993),Likely decreasing,0.95 (0.77 -- 1.1),-0.059 (-0.33 -- 0.12),-12 (5.6 -- -2.1)
Germany,342 (155 -- 878),Decreasing,0.59 (0.46 -- 0.77),-0.65 (-0.95 -- -0.33),-1.1 (-2.1 -- -0.73)
Greece,827 (489 -- 1555),Stable,1 (0.91 -- 1.1),8.2e-05 (-0.12 -- 0.17),8400 (4.1 -- -5.6)
Hungary,28 (7 -- 98),Decreasing,0.71 (0.5 -- 0.93),-0.43 (-0.85 -- -0.096),-1.6 (-7.2 -- -0.82)
Ireland,127 (38 -- 427),Likely decreasing,0.92 (0.69 -- 1.1),-0.1 (-0.46 -- 0.11),-6.6 (6.2 -- -1.5)
Italy,1934 (762 -- 5065),Likely decreasing,0.85 (0.57 -- 1),-0.2 (-0.69 -- 0.027),-3.4 (26 -- -1)
Latvia,139 (61 -- 326),Likely decreasing,0.91 (0.74 -- 1.1),-0.12 (-0.38 -- 0.074),-6 (9.4 -- -1.8)
Liechtenstein,1 (0 -- 9),Likely decreasing,0.92 (0.6 -- 1.3),-0.099 (-0.62 -- 0.32),-7 (2.2 -- -1.1)
Lithuania,37 (12 -- 110),Likely decreasing,0.96 (0.78 -- 1.2),-0.047 (-0.3 -- 0.22),-15 (3.1 -- -2.3)
Luxembourg,269 (118 -- 658),Stable,0.98 (0.82 -- 1.2),-0.027 (-0.26 -- 0.21),-26 (3.3 -- -2.7)
Malta,8 (1 -- 36),Likely decreasing,0.91 (0.61 -- 1.2),-0.11 (-0.61 -- 0.22),-6.1 (3.2 -- -1.1)
Poland,167 (72 -- 487),Decreasing,0.7 (0.55 -- 0.89),-0.44 (-0.72 -- -0.14),-1.6 (-4.9 -- -0.96)
Portugal,593 (354 -- 1159),Stable,1 (0.92 -- 1.1),-0.0022 (-0.11 -- 0.13),-320 (5.4 -- -6.2)
Romania,233 (105 -- 555),Decreasing,0.84 (0.65 -- 0.99),-0.22 (-0.52 -- -0.011),-3.1 (-61 -- -1.3)
Slovakia,16 (2 -- 79),Decreasing,0.77 (0.5 -- 1),-0.32 (-0.84 -- 0.0032),-2.2 (210 -- -0.82)
Slovenia,228 (74 -- 716),Likely decreasing,0.89 (0.65 -- 1.1),-0.15 (-0.54 -- 0.082),-4.6 (8.4 -- -1.3)
Spain,1467 (532 -- 4055),Likely decreasing,0.96 (0.74 -- 1.2),-0.049 (-0.37 -- 0.18),-14 (3.8 -- -1.8)
Sweden,1214 (347 -- 4159),Stable,1 (0.75 -- 1.2),0.0038 (-0.36 -- 0.28),180 (2.5 -- -1.9)
