Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,19538 (14126 -- 27335),Likely increasing,1.1 (0.92 -- 1.2),0.01 (-0.015 -- 0.035),68 (20 -- -47)
Belgium,34000 (19852 -- 63067),Increasing,1.2 (1 -- 1.5),0.031 (0.00039 -- 0.075),22 (9.2 -- 1800)
Bulgaria,16852 (8130 -- 34316),Likely decreasing,0.92 (0.55 -- 1.5),-0.014 (-0.1 -- 0.076),-49 (9.1 -- -6.6)
Croatia,11593 (7526 -- 19154),Increasing,1.3 (1.1 -- 1.7),0.055 (0.018 -- 0.11),12 (6.6 -- 39)
Cyprus,1284 (440 -- 3935),Likely decreasing,0.87 (0.45 -- 1.7),-0.026 (-0.14 -- 0.1),-27 (6.9 -- -5)
Czechia,26040 (11148 -- 55670),Likely decreasing,0.81 (0.54 -- 1.1),-0.038 (-0.11 -- 0.022),-18 (32 -- -6.5)
Denmark,1502 (250 -- 4914),Likely decreasing,0.73 (0.3 -- 1.2),-0.056 (-0.2 -- 0.031),-12 (22 -- -3.5)
Estonia,4456 (2753 -- 6987),Decreasing,0.8 (0.63 -- 1),-0.039 (-0.082 -- 0.00022),-18 (3100 -- -8.5)
Finland,3235 (2188 -- 4623),Likely decreasing,0.97 (0.81 -- 1.1),-0.0056 (-0.038 -- 0.014),-120 (48 -- -18)
France,226429 (139077 -- 445213),Likely increasing,1.1 (0.99 -- 1.4),0.02 (-0.0016 -- 0.065),34 (11 -- -420)
Germany,116652 (63875 -- 229555),Likely increasing,1.2 (0.93 -- 1.6),0.033 (-0.013 -- 0.085),21 (8.2 -- -54)
Greece,12239 (5752 -- 23127),Stable,0.97 (0.6 -- 1.4),-0.0059 (-0.09 -- 0.063),-120 (11 -- -7.7)
Hungary,47857 (26609 -- 85218),Stable,0.99 (0.73 -- 1.4),-0.0017 (-0.057 -- 0.057),-410 (12 -- -12)
Iceland,118 (19 -- 663),Likely increasing,1.7 (0.63 -- 3.9),0.1 (-0.081 -- 0.27),6.9 (2.6 -- -8.6)
Ireland,3128 (1580 -- 5872),Stable,0.99 (0.64 -- 1.5),-0.0018 (-0.079 -- 0.071),-400 (9.8 -- -8.7)
Italy,105519 (68964 -- 157182),Likely decreasing,0.91 (0.7 -- 1.1),-0.017 (-0.063 -- 0.018),-40 (38 -- -11)
Latvia,2428 (1853 -- 3556),Likely decreasing,0.96 (0.91 -- 1.1),-0.0069 (-0.016 -- 0.022),-100 (32 -- -42)
Liechtenstein,18 (5 -- 57),Stable,1.1 (0.62 -- 1.7),0.009 (-0.083 -- 0.097),77 (7.1 -- -8.4)
Lithuania,5087 (2830 -- 10756),Likely increasing,1.2 (0.94 -- 1.9),0.039 (-0.012 -- 0.12),18 (5.9 -- -60)
Luxembourg,1067 (788 -- 1635),Likely increasing,1 (0.94 -- 1.2),0.0084 (-0.012 -- 0.04),82 (17 -- -58)
Malta,145 (54 -- 331),Decreasing,0.43 (0.25 -- 0.68),-0.14 (-0.23 -- -0.067),-4.9 (-10 -- -3)
Netherlands,41556 (27667 -- 59323),Likely increasing,1.1 (0.84 -- 1.3),0.018 (-0.031 -- 0.051),38 (14 -- -23)
Norway,2689 (1100 -- 5202),Likely decreasing,0.75 (0.41 -- 1.1),-0.052 (-0.15 -- 0.014),-13 (48 -- -4.6)
Poland,202898 (141196 -- 294700),Likely increasing,1.2 (0.94 -- 1.3),0.026 (-0.012 -- 0.056),26 (12 -- -59)
Portugal,1684 (783 -- 3534),Likely decreasing,0.83 (0.5 -- 1.3),-0.033 (-0.12 -- 0.049),-21 (14 -- -5.7)
Romania,35363 (23408 -- 52751),Likely increasing,1 (0.84 -- 1.2),0.0069 (-0.031 -- 0.038),100 (18 -- -23)
Slovakia,4939 (3103 -- 7851),Likely decreasing,0.84 (0.67 -- 1),-0.032 (-0.07 -- 0.0045),-22 (150 -- -9.9)
Slovenia,5728 (3974 -- 9072),Likely increasing,1.1 (0.97 -- 1.3),0.017 (-0.0059 -- 0.05),41 (14 -- -120)
Spain,21215 (7159 -- 102106),Likely decreasing,0.93 (0.66 -- 1.7),-0.013 (-0.074 -- 0.11),-54 (6.6 -- -9.4)
Sweden,27678 (13793 -- 66771),Likely increasing,1.1 (0.83 -- 1.4),0.01 (-0.033 -- 0.063),70 (11 -- -21)
Switzerland,9296 (7024 -- 12532),Likely increasing,1.1 (0.99 -- 1.3),0.026 (-0.0021 -- 0.055),27 (13 -- -320)
United Kingdom,21185 (12168 -- 30982),Likely decreasing,0.89 (0.62 -- 1.1),-0.02 (-0.083 -- 0.014),-34 (49 -- -8.3)
