region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
France,61598 (28282 -- 134774),61598,69667,38850,28282,44920,54756,70267,86049,134774,New confirmed cases by infection date,Likely increasing,0.2
Spain,42248 (24019 -- 81930),42248,46340,18953,24019,33018,38435,46646,54518,81930,New confirmed cases by infection date,Likely increasing,0.14
Germany,34513 (20698 -- 63185),34513,37268,14317,20698,27252,30966,37870,43992,63185,New confirmed cases by infection date,Decreasing,1
Italy,26615 (16012 -- 41691),26615,27482,8153,16012,21949,24776,28488,31944,41691,New confirmed cases by infection date,Likely increasing,0.35
Denmark,15266 (6713 -- 37703),15266,18055,11310,6713,11045,13401,17659,22030,37703,New confirmed cases by infection date,Likely increasing,0.33
Greece,12726 (7678 -- 23227),12726,13679,4939,7678,10234,11704,13911,16075,23227,New confirmed cases by infection date,Stable,0.46
Netherlands,10542 (3052 -- 45031),10542,15608,17271,3052,6207,8528,12971,18218,45031,New confirmed cases by infection date,Likely decreasing,0.76
Belgium,9461 (5010 -- 20129),9461,10721,6144,5010,7218,8544,10583,12788,20129,New confirmed cases by infection date,Decreasing,0.97
Ireland,6096 (3016 -- 12585),6096,6727,3235,3016,4469,5446,6836,8159,12585,New confirmed cases by infection date,Stable,0.57
Czechia,4627 (2327 -- 10195),4627,5240,2495,2327,3460,4126,5215,6415,10195,New confirmed cases by infection date,Decreasing,1
Latvia,3948 (2065 -- 8560),3948,4433,2168,2065,2961,3538,4434,5332,8560,New confirmed cases by infection date,Likely increasing,0.34
Estonia,2762 (1560 -- 5488),2762,3037,1285,1560,2140,2507,3046,3572,5488,New confirmed cases by infection date,Likely increasing,0.29
Slovakia,2517 (1308 -- 4812),2517,2702,1107,1308,1936,2274,2759,3218,4812,New confirmed cases by infection date,Decreasing,0.99
Slovenia,1771 (700 -- 4802),1771,2170,1758,700,1172,1519,2065,2672,4802,New confirmed cases by infection date,Likely increasing,0.18
Hungary,1351 (625 -- 3557),1351,1620,992,625,981,1199,1539,1953,3557,New confirmed cases by infection date,Stable,0.41
Luxembourg,350 (147 -- 924),350,423,295,147,245,306,401,506,924,New confirmed cases by infection date,Stable,0.44
Malta,284 (135 -- 648),284,324,177,135,209,254,318,390,648,New confirmed cases by infection date,Likely decreasing,0.68
Iceland,49 (12 -- 229),49,76,93,12,28,40,61,88,229,New confirmed cases by infection date,Likely decreasing,0.88
Denmark,1.1 (0.83 -- 1.2),1.1,1,0.12,0.83,0.97,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.33
France,1.1 (0.9 -- 1.3),1.1,1.1,0.12,0.9,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.2
Slovenia,1.1 (0.91 -- 1.4),1.1,1.1,0.15,0.91,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.18
Estonia,1 (0.93 -- 1.1),1,1,0.058,0.93,0.99,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.29
Greece,1 (0.93 -- 1.2),1,1,0.072,0.93,0.97,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.46
Hungary,1 (0.87 -- 1.2),1,1,0.098,0.87,0.96,1,1,1.1,1.2,Effective reproduction no.,Stable,0.41
Italy,1 (0.95 -- 1.1),1,1,0.055,0.95,0.99,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.35
Latvia,1 (0.89 -- 1.1),1,1,0.083,0.89,0.98,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.34
Luxembourg,1 (0.83 -- 1.2),1,1,0.13,0.83,0.95,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.44
Spain,1 (0.97 -- 1.1),1,1,0.052,0.97,1,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing,0.14
Ireland,0.99 (0.83 -- 1.1),0.99,0.98,0.08,0.83,0.93,0.97,1,1,1.1,Effective reproduction no.,Stable,0.57
Malta,0.97 (0.83 -- 1.1),0.97,0.97,0.084,0.83,0.92,0.95,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Netherlands,0.91 (0.68 -- 1.2),0.91,0.91,0.14,0.68,0.83,0.88,0.94,1,1.2,Effective reproduction no.,Likely decreasing,0.76
Iceland,0.85 (0.61 -- 1.1),0.85,0.84,0.15,0.61,0.75,0.81,0.88,0.94,1.1,Effective reproduction no.,Likely decreasing,0.88
Belgium,0.8 (0.68 -- 0.97),0.8,0.81,0.093,0.68,0.74,0.77,0.82,0.87,0.97,Effective reproduction no.,Decreasing,0.97
Slovakia,0.79 (0.68 -- 0.91),0.79,0.79,0.076,0.68,0.74,0.77,0.8,0.83,0.91,Effective reproduction no.,Decreasing,0.99
Germany,0.76 (0.67 -- 0.85),0.76,0.76,0.054,0.67,0.72,0.74,0.77,0.79,0.85,Effective reproduction no.,Decreasing,1
Czechia,0.74 (0.6 -- 0.91),0.74,0.75,0.095,0.6,0.68,0.72,0.77,0.81,0.91,Effective reproduction no.,Decreasing,1
