Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,9680 (3197 -- 58212),Likely increasing,1.1 (0.77 -- 2.2),0.017 (-0.047 -- 0.15),40 (4.5 -- -15)
Belgium,3386 (761 -- 14621),Likely decreasing,0.9 (0.57 -- 1.4),-0.018 (-0.098 -- 0.06),-38 (12 -- -7.1)
Bulgaria,449 (271 -- 873),Likely increasing,1.1 (0.89 -- 1.5),0.014 (-0.022 -- 0.075),51 (9.2 -- -32)
Croatia,607 (368 -- 1241),Stable,0.98 (0.78 -- 1.4),-0.0028 (-0.045 -- 0.063),-240 (11 -- -15)
Cyprus,665 (30 -- 12104),Likely increasing,1.5 (0.24 -- 6.3),0.07 (-0.24 -- 0.38),9.9 (1.8 -- -2.9)
Czechia,1105 (293 -- 5584),Likely increasing,1.2 (0.7 -- 2.3),0.033 (-0.063 -- 0.16),21 (4.3 -- -11)
Denmark,2592 (758 -- 13728),Likely increasing,1.1 (0.75 -- 2.1),0.021 (-0.05 -- 0.14),33 (4.8 -- -14)
Estonia,46 (2 -- 696),Likely decreasing,0.81 (0.17 -- 2.7),-0.037 (-0.29 -- 0.19),-19 (3.6 -- -2.4)
Finland,1356 (22 -- 40016),Stable,1 (0.11 -- 5.8),0.0061 (-0.34 -- 0.36),110 (1.9 -- -2)
France,84624 (28556 -- 386914),Likely increasing,1.1 (0.76 -- 2),0.016 (-0.05 -- 0.13),43 (5.4 -- -14)
Germany,119779 (38873 -- 631137),Stable,1.1 (0.72 -- 1.9),0.01 (-0.058 -- 0.13),69 (5.5 -- -12)
Greece,17820 (8744 -- 47467),Likely increasing,1.2 (0.9 -- 1.8),0.028 (-0.019 -- 0.11),25 (6.4 -- -36)
Hungary,122 (9 -- 1812),Stable,0.96 (0.3 -- 3),-0.0066 (-0.2 -- 0.21),-110 (3.3 -- -3.5)
Iceland,36481 (1951 -- 518490),Increasing,3.2 (1.4 -- 8),0.22 (0.056 -- 0.44),3.1 (1.6 -- 12)
Ireland,423 (76 -- 3901),Likely decreasing,0.82 (0.48 -- 2.1),-0.035 (-0.12 -- 0.14),-20 (4.8 -- -5.6)
Italy,149862 (91932 -- 253387),Increasing,1.5 (1.1 -- 2),0.074 (0.021 -- 0.13),9.3 (5.3 -- 33)
Latvia,437 (109 -- 2316),Stable,1.1 (0.58 -- 2),0.011 (-0.096 -- 0.13),66 (5.2 -- -7.2)
Liechtenstein,12 (3 -- 44),Likely decreasing,0.88 (0.53 -- 1.3),-0.024 (-0.11 -- 0.044),-29 (16 -- -6.2)
Lithuania,742 (261 -- 2090),Likely increasing,1.3 (0.78 -- 2.1),0.048 (-0.045 -- 0.14),15 (4.9 -- -15)
Luxembourg,778 (283 -- 2615),Likely decreasing,0.95 (0.73 -- 1.5),-0.0087 (-0.056 -- 0.075),-80 (9.2 -- -12)
Malta,1317 (693 -- 2768),Increasing,1.6 (1.1 -- 2.3),0.089 (0.024 -- 0.16),7.8 (4.2 -- 29)
Netherlands,10912 (2957 -- 44410),Likely increasing,1.3 (0.68 -- 2.5),0.05 (-0.069 -- 0.18),14 (3.8 -- -10)
Norway,1596 (891 -- 3039),Likely increasing,1.3 (0.98 -- 1.8),0.045 (-0.0043 -- 0.11),15 (6.6 -- -160)
Poland,309 (215 -- 510),Likely decreasing,0.89 (0.78 -- 1.1),-0.021 (-0.045 -- 0.014),-33 (49 -- -15)
Portugal,26184 (2410 -- 112674),Likely decreasing,0.87 (0.37 -- 1.2),-0.025 (-0.17 -- 0.033),-28 (21 -- -4.1)
Romania,52 (0 -- 344),Decreasing,0.5 (0.073 -- 0.87),-0.12 (-0.4 -- -0.025),-5.8 (-28 -- -1.7)
Slovakia,517 (143 -- 3001),Stable,0.99 (0.6 -- 2),-0.0018 (-0.088 -- 0.13),-380 (5.2 -- -7.9)
Slovenia,622 (273 -- 2239),Likely decreasing,0.92 (0.73 -- 1.5),-0.014 (-0.055 -- 0.074),-49 (9.4 -- -13)
Spain,603 (1 -- 30393),Likely decreasing,0.23 (0.015 -- 1.1),-0.24 (-0.57 -- 0.019),-2.9 (36 -- -1.2)
Sweden,354 (43 -- 1751),Likely decreasing,0.95 (0.44 -- 1.3),-0.0091 (-0.14 -- 0.055),-77 (13 -- -4.9)
Switzerland,1446 (338 -- 13056),Stable,0.95 (0.57 -- 2),-0.0097 (-0.098 -- 0.13),-71 (5.2 -- -7.1)
United Kingdom,38283 (9905 -- 280286),Likely increasing,1.2 (0.77 -- 2.4),0.029 (-0.046 -- 0.17),24 (4 -- -15)
