location,type,quantile,value,target_end_date,forecast_date,target,scenario_id,model
GB,point,,478068,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.01,299824,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.025,326207,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.05,343802,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.1,372764,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.15,390584,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.2,405283,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.25,422319,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.3,433661,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.35,444035,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.4,458339,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.45,467704,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.5,478068,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.55,488344,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.6,497668,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.65,509129,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.7,519795,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.75,534884,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.8,550376,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.85,569974,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.9,599812,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.95,638299,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.975,676159,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.99,711447,2021-07-24,2021-07-19,1 wk ahead inc case,forecast,Layperson_21
GB,point,,642504,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.01,365330,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.025,394536,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.05,436356,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.1,485351,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.15,512415,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.2,535834,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.25,555718,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.3,572488,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.35,588731,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.4,605588,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.45,627614,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.5,642504,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.55,660504,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.6,679066,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.65,698182,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.7,720602,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.75,748030,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.8,779613,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
GB,quantile,0.85,811562,2021-07-31,2021-07-19,2 wk ahead inc case,forecast,Layperson_21
