location,type,quantile,value,target_end_date,forecast_date,target,scenario_id,model
GB,point,,38871,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.01,21575.03,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.025,22702.175,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.05,24906.55,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.1,27439.3,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.15,29585.05,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.2,30947.8,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.25,32411,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.3,33742.5,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.35,35237.1,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.4,36495.6,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.45,37701.1,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.5,38871,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.55,39976.6,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.6,40948.2,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.65,42178.3,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.7,43869.6,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.75,45579,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.8,47827.6,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.85,50034.85,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.9,54067.2,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.95,58056.4,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.975,61975.725,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.99,69276.67,2021-06-12,2021-06-07,1 wk ahead inc case,forecast,anonymous_Wolverine
GB,point,,48054.5,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.01,23681.91,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.025,27030.425,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.05,30470.9,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.1,34268.2,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.15,36175.2,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.2,37823.6,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.25,39722.25,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.3,41426.5,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.35,43752.2,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.4,44942.2,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.45,46693.35,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.5,48054.5,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
GB,quantile,0.55,49794.55,2021-06-19,2021-06-07,2 wk ahead inc case,forecast,anonymous_Wolverine
