location,type,quantile,value,target_end_date,forecast_date,target,scenario_id,model
AT,point,,14102,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.01,11863.94,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.025,12253.875,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.05,12529.7,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.1,12825.9,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.15,13057.85,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.2,13229.6,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.25,13405,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.3,13553.7,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.35,13702.95,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.4,13856,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.45,13970.1,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.5,14102,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.55,14239.9,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.6,14358,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.65,14480,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.7,14661.3,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.75,14839,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.8,15031.6,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.85,15231.3,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.9,15476.2,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.95,15899.95,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.975,16397.5,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,quantile,0.99,17015.36,2021-05-01,2021-04-26,1 wk ahead inc case,forecast,seb
AT,point,,12996.5,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,seb
AT,quantile,0.01,9977.73,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,seb
AT,quantile,0.025,10446.225,2021-05-08,2021-04-26,2 wk ahead inc case,forecast,seb
