location,type,quantile,value,target_end_date,forecast_date,target,scenario_id,model
GB,point,,315752,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.01,207337,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.025,221519,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.05,233959,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.1,249132,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.15,260165,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.2,268370,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.25,277169,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.3,286445,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.35,292834,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.4,299756,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.45,308325,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.5,315752,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.55,323789,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.6,330492,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.65,338687,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.7,348676,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.75,357852,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.8,369476,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.85,383993,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.9,400941,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.95,432284,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.975,457542,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,quantile,0.99,486579,2021-07-31,2021-07-26,1 wk ahead inc case,forecast,OMAC
GB,point,,366655,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.01,224439,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.025,248869,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.05,265451,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.1,286253,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.15,300255,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.2,311192,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.25,322546,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.3,332505,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.35,340232,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.4,350582,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.45,359080,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.5,366655,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.55,377591,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.6,386075,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.65,396563,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.7,405901,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.75,418527,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.8,431292,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.85,447467,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.9,472657,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.95,501102,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.975,541164,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,quantile,0.99,575956,2021-08-07,2021-07-26,2 wk ahead inc case,forecast,OMAC
GB,point,,428978,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.01,246627,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.025,279684,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.05,301166,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.1,322532,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.15,342367,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.2,358216,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.25,372115,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.3,387388,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.35,396751,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.4,409258,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.45,419065,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.5,428978,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.55,438370,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.6,454867,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.65,466704,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
GB,quantile,0.7,478567,2021-08-14,2021-07-26,3 wk ahead inc case,forecast,OMAC
