region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
France,60424 (26765 -- 131212),60424,66528,34641,26765,42874,52403,67465,81659,131212,New confirmed cases by infection date,Likely increasing,0.32
Spain,41737 (23996 -- 80825),41737,45731,19388,23996,32543,37823,45964,54057,80825,New confirmed cases by infection date,Likely increasing,0.16
Germany,36305 (21291 -- 69478),36305,39760,15212,21291,28753,33107,40350,47769,69478,New confirmed cases by infection date,Decreasing,1
Italy,25021 (14817 -- 50761),25021,27790,11763,14817,19856,22821,27594,32607,50761,New confirmed cases by infection date,Likely increasing,0.34
Denmark,12920 (5159 -- 31493),12920,15043,10298,5159,8951,11135,14636,18357,31493,New confirmed cases by infection date,Stable,0.51
Greece,12021 (7571 -- 20832),12021,12830,4323,7571,9884,11176,12920,14892,20832,New confirmed cases by infection date,Likely increasing,0.31
Belgium,5975 (3430 -- 11952),5975,6701,3266,3430,4731,5531,6626,7738,11952,New confirmed cases by infection date,Decreasing,0.99
Netherlands,5938 (1533 -- 25967),5938,8945,10708,1533,3264,4671,7353,10513,25967,New confirmed cases by infection date,Likely decreasing,0.85
Ireland,5298 (2820 -- 11782),5298,6033,2862,2820,3983,4735,5929,7322,11782,New confirmed cases by infection date,Likely decreasing,0.87
Latvia,3043 (1410 -- 7546),3043,3576,2143,1410,2258,2682,3456,4299,7546,New confirmed cases by infection date,Likely decreasing,0.7
Estonia,2585 (1385 -- 5391),2585,2879,1325,1385,1978,2340,2856,3441,5391,New confirmed cases by infection date,Likely decreasing,0.63
Slovakia,2019 (1075 -- 3965),2019,2234,1039,1075,1570,1832,2243,2686,3965,New confirmed cases by infection date,Decreasing,0.99
Czechia,1982 (1094 -- 3571),1982,2117,812,1094,1539,1795,2178,2517,3571,New confirmed cases by infection date,Decreasing,1
Slovenia,1524 (639 -- 4374),1524,1907,1406,639,1036,1319,1771,2286,4374,New confirmed cases by infection date,Likely increasing,0.29
Hungary,1167 (529 -- 2805),1167,1362,780,529,837,1040,1337,1684,2805,New confirmed cases by infection date,Likely decreasing,0.6
Luxembourg,333 (152 -- 809),333,393,252,152,240,294,375,474,809,New confirmed cases by infection date,Stable,0.53
Malta,186 (89 -- 441),186,215,119,89,138,166,209,258,441,New confirmed cases by infection date,Likely decreasing,0.85
Iceland,51 (11 -- 201),51,74,87,11,28,41,64,91,201,New confirmed cases by infection date,Likely decreasing,0.89
France,1.1 (0.86 -- 1.3),1.1,1.1,0.13,0.86,0.98,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.32
Slovenia,1.1 (0.87 -- 1.3),1.1,1.1,0.15,0.87,0.98,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.29
Denmark,1 (0.78 -- 1.2),1,0.99,0.12,0.78,0.91,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.51
Greece,1 (0.94 -- 1.2),1,1,0.064,0.94,0.99,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.31
Italy,1 (0.92 -- 1.1),1,1,0.067,0.92,0.99,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.34
Spain,1 (0.96 -- 1.2),1,1.1,0.064,0.96,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.16
Luxembourg,0.99 (0.81 -- 1.2),0.99,1,0.13,0.81,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.53
Estonia,0.98 (0.84 -- 1.1),0.98,0.97,0.072,0.84,0.93,0.96,1,1,1.1,Effective reproduction no.,Likely decreasing,0.63
Hungary,0.98 (0.82 -- 1.1),0.98,0.98,0.094,0.82,0.92,0.96,1,1,1.1,Effective reproduction no.,Likely decreasing,0.6
Latvia,0.95 (0.75 -- 1.1),0.95,0.94,0.11,0.75,0.88,0.93,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.7
Malta,0.92 (0.76 -- 1.1),0.92,0.91,0.094,0.76,0.86,0.9,0.94,0.97,1.1,Effective reproduction no.,Likely decreasing,0.85
Ireland,0.9 (0.75 -- 1),0.9,0.9,0.093,0.75,0.83,0.87,0.93,0.97,1,Effective reproduction no.,Likely decreasing,0.87
Netherlands,0.87 (0.65 -- 1.1),0.87,0.87,0.14,0.65,0.78,0.84,0.9,0.95,1.1,Effective reproduction no.,Likely decreasing,0.85
Iceland,0.84 (0.58 -- 1.1),0.84,0.83,0.15,0.58,0.73,0.8,0.88,0.93,1.1,Effective reproduction no.,Likely decreasing,0.89
Slovakia,0.82 (0.68 -- 0.94),0.82,0.82,0.084,0.68,0.75,0.79,0.84,0.89,0.94,Effective reproduction no.,Decreasing,0.99
Germany,0.8 (0.71 -- 0.9),0.8,0.8,0.06,0.71,0.76,0.78,0.81,0.84,0.9,Effective reproduction no.,Decreasing,1
Belgium,0.78 (0.67 -- 0.91),0.78,0.78,0.072,0.67,0.73,0.76,0.79,0.82,0.91,Effective reproduction no.,Decreasing,0.99
Czechia,0.67 (0.58 -- 0.78),0.67,0.67,0.061,0.58,0.63,0.65,0.68,0.7,0.78,Effective reproduction no.,Decreasing,1
