region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Greece,160534 (90987 -- 324066),160534,176978,75591,90987,122752,144833,177562,211011,324066,New confirmed cases by infection date,Increasing,0.004
Portugal,101148 (57057 -- 212183),101148,114181,51744,57057,78807,91956,113118,134632,212183,New confirmed cases by infection date,Increasing,0
Italy,97192 (50465 -- 249240),97192,114345,62019,50465,75109,89113,108369,131771,249240,New confirmed cases by infection date,Likely decreasing,0.84
Romania,56022 (34364 -- 98138),56022,60141,22542,34364,45857,51619,60755,69279,98138,New confirmed cases by infection date,Increasing,5e-04
Spain,41468 (20145 -- 86760),41468,45341,20912,20145,31369,37709,46015,54203,86760,New confirmed cases by infection date,Stable,0.48
Belgium,38583 (20296 -- 81541),38583,43986,23475,20296,29598,35209,43101,51230,81541,New confirmed cases by infection date,Increasing,0
Cyprus,34942 (12331 -- 89003),34942,40445,26064,12331,22677,29782,40695,50142,89003,New confirmed cases by infection date,Increasing,0.042
Ireland,23181 (10665 -- 52476),23181,26701,13945,10665,17371,20749,26441,33210,52476,New confirmed cases by infection date,Increasing,0.016
Germany,21263 (11117 -- 42699),21263,23218,9600,11117,16594,19495,23488,27390,42699,New confirmed cases by infection date,Stable,0.51
Croatia,16387 (9267 -- 30836),16387,17742,6889,9267,12751,14881,18048,21324,30836,New confirmed cases by infection date,Increasing,0
Sweden,7149 (3741 -- 13570),7149,7719,3232,3741,5484,6511,7928,9222,13570,New confirmed cases by infection date,Likely increasing,0.052
Norway,7106 (3870 -- 14629),7106,7866,3472,3870,5461,6463,7886,9363,14629,New confirmed cases by infection date,Increasing,0.007
Czechia,6289 (2827 -- 14704),6289,7233,4273,2827,4524,5588,6985,8684,14704,New confirmed cases by infection date,Increasing,0.0095
Finland,5623 (1679 -- 21535),5623,8009,9475,1679,3321,4706,6649,9254,21535,New confirmed cases by infection date,Likely increasing,0.21
Malta,4501 (2166 -- 10660),4501,5244,3144,2166,3434,4107,4966,5953,10660,New confirmed cases by infection date,Increasing,0.022
Bulgaria,3861 (1837 -- 8169),3861,4330,2358,1837,2893,3502,4249,5173,8169,New confirmed cases by infection date,Likely increasing,0.19
