Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,935357 (444753 -- 2185000),Likely increasing,1 (0.83 -- 1.2),0.042 (-0.23 -- 0.23),16 (3.1 -- -3.1)
Belgium,287386 (109728 -- 792669),Likely increasing,1.1 (0.92 -- 1.3),0.13 (-0.1 -- 0.37),5.5 (1.9 -- -6.7)
Bulgaria,8445 (4103 -- 19343),Likely increasing,1 (0.9 -- 1.4),0.052 (-0.13 -- 0.43),13 (1.6 -- -5.3)
Croatia,0 (0 -- 3),Decreasing,0.086 (0.021 -- 0.25),-2.6 (-3.8 -- -1.6),-0.27 (-0.44 -- -0.18)
Cyprus,19384 (11280 -- 35863),Likely decreasing,0.94 (0.84 -- 1.1),-0.076 (-0.22 -- 0.09),-9.1 (7.7 -- -3.1)
Czechia,198763 (86391 -- 518840),Likely increasing,1.1 (0.97 -- 1.4),0.16 (-0.038 -- 0.4),4.3 (1.7 -- -18)
Denmark,14050 (6428 -- 43039),Likely decreasing,0.93 (0.84 -- 1.1),-0.091 (-0.22 -- 0.15),-7.6 (4.6 -- -3.1)
Estonia,5787 (3515 -- 10740),Likely increasing,1 (0.95 -- 1.1),0.018 (-0.071 -- 0.16),38 (4.4 -- -9.8)
Finland,9819 (5225 -- 19944),Stable,0.99 (0.86 -- 1.2),-0.018 (-0.19 -- 0.24),-38 (2.9 -- -3.7)
France,541830 (280463 -- 1097380),Likely increasing,1.1 (0.91 -- 1.4),0.079 (-0.12 -- 0.41),8.8 (1.7 -- -5.9)
Germany,936447 (445659 -- 2156430),Likely decreasing,0.9 (0.72 -- 1),-0.13 (-0.42 -- 0.048),-5.2 (14 -- -1.7)
Greece,121089 (65170 -- 245982),Likely decreasing,0.89 (0.77 -- 1),-0.15 (-0.33 -- 0.022),-4.8 (31 -- -2.1)
Hungary,14002 (7210 -- 31661),Stable,0.99 (0.87 -- 1.1),-0.012 (-0.17 -- 0.17),-59 (4.1 -- -4)
Iceland,756 (138 -- 3229),Likely decreasing,0.85 (0.54 -- 1.1),-0.2 (-0.74 -- 0.1),-3.5 (6.9 -- -0.93)
Ireland,9227 (4680 -- 21824),Likely decreasing,0.94 (0.81 -- 1.2),-0.085 (-0.27 -- 0.2),-8.2 (3.5 -- -2.6)
Italy,236145 (157735 -- 455139),Likely decreasing,0.91 (0.83 -- 1),-0.12 (-0.23 -- 0.024),-5.8 (28 -- -3)
Latvia,2568 (1458 -- 4986),Stable,0.99 (0.89 -- 1.2),-0.016 (-0.15 -- 0.18),-43 (3.8 -- -4.5)
Liechtenstein,167 (58 -- 522),Likely decreasing,0.91 (0.67 -- 1.1),-0.12 (-0.49 -- 0.11),-5.9 (6.4 -- -1.4)
Lithuania,51593 (13416 -- 293703),Stable,0.96 (0.73 -- 1.3),-0.05 (-0.39 -- 0.31),-14 (2.2 -- -1.8)
Luxembourg,41715 (23546 -- 84953),Increasing,1.2 (1 -- 1.4),0.23 (0.058 -- 0.43),3 (1.6 -- 12)
Malta,2139 (1124 -- 4239),Likely increasing,1 (0.93 -- 1.3),0.06 (-0.098 -- 0.32),11 (2.1 -- -7.1)
Netherlands,80627 (36365 -- 191401),Likely increasing,1 (0.88 -- 1.2),0.046 (-0.15 -- 0.25),15 (2.8 -- -4.5)
Norway,5275 (2682 -- 11056),Stable,1 (0.87 -- 1.3),0.015 (-0.18 -- 0.33),47 (2.1 -- -3.9)
Poland,982364 (502311 -- 3123410),Increasing,1.2 (1 -- 1.6),0.27 (0.036 -- 0.6),2.6 (1.1 -- 19)
Portugal,31348 (19219 -- 59161),Likely increasing,1.1 (0.95 -- 1.2),0.063 (-0.063 -- 0.23),11 (3 -- -11)
Romania,141707 (80690 -- 287154),Increasing,1.2 (1.1 -- 1.4),0.24 (0.072 -- 0.42),2.9 (1.7 -- 9.6)
Slovakia,35637 (17379 -- 79295),Likely increasing,1.1 (0.97 -- 1.3),0.13 (-0.044 -- 0.32),5.5 (2.2 -- -16)
Slovenia,38717 (18487 -- 93490),Likely increasing,1 (0.9 -- 1.3),0.057 (-0.13 -- 0.37),12 (1.8 -- -5.2)
Spain,91940 (42290 -- 192717),Likely decreasing,0.94 (0.77 -- 1.1),-0.079 (-0.33 -- 0.083),-8.8 (8.4 -- -2.1)
Sweden,9239 (4484 -- 21408),Likely decreasing,0.88 (0.75 -- 1.1),-0.16 (-0.35 -- 0.16),-4.5 (4.3 -- -2)
