Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,90401 (56577 -- 137756),Likely increasing,1.1 (0.86 -- 1.4),0.019 (-0.026 -- 0.056),37 (12 -- -26)
Belgium,118826 (22356 -- 521886),Likely increasing,1.2 (0.57 -- 1.7),0.03 (-0.098 -- 0.1),23 (6.6 -- -7.1)
Bulgaria,7663 (4642 -- 13912),Likely decreasing,0.82 (0.62 -- 1.1),-0.037 (-0.083 -- 0.023),-19 (30 -- -8.3)
Croatia,14339 (6700 -- 28078),Likely decreasing,0.73 (0.46 -- 1),-0.055 (-0.13 -- 0.007),-13 (99 -- -5.2)
Cyprus,3742 (1230 -- 17105),Likely increasing,1.4 (0.96 -- 2.5),0.063 (-0.0069 -- 0.18),11 (3.9 -- -100)
Czechia,126160 (63015 -- 228739),Likely increasing,1.3 (0.95 -- 1.6),0.045 (-0.009 -- 0.087),15 (8 -- -77)
Denmark,21835 (12033 -- 36308),Likely increasing,1.1 (0.71 -- 1.5),0.017 (-0.061 -- 0.072),40 (9.6 -- -11)
Estonia,1467 (841 -- 2739),Decreasing,0.66 (0.48 -- 0.96),-0.073 (-0.13 -- -0.008),-9.4 (-87 -- -5.5)
Finland,3812 (1514 -- 14497),Likely increasing,1 (0.78 -- 1.6),0.0088 (-0.044 -- 0.09),79 (7.7 -- -16)
France,127627 (44316 -- 459873),Likely increasing,1.3 (0.89 -- 2),0.047 (-0.021 -- 0.14),15 (5.1 -- -32)
Germany,418254 (212020 -- 829598),Likely increasing,1.3 (0.98 -- 1.7),0.047 (-0.0045 -- 0.099),15 (7 -- -160)
Greece,25739 (16724 -- 39511),Likely decreasing,0.89 (0.69 -- 1.1),-0.022 (-0.066 -- 0.021),-32 (33 -- -10)
Hungary,54637 (29087 -- 92660),Likely increasing,1.1 (0.73 -- 1.5),0.015 (-0.055 -- 0.074),45 (9.4 -- -13)
Iceland,812 (128 -- 4286),Likely increasing,1.1 (0.45 -- 2.1),0.018 (-0.14 -- 0.15),38 (4.8 -- -5.1)
Ireland,28846 (14974 -- 57935),Likely increasing,1.1 (0.89 -- 1.4),0.023 (-0.021 -- 0.065),30 (11 -- -33)
Italy,59323 (41804 -- 83247),Likely increasing,1.2 (0.96 -- 1.4),0.031 (-0.0074 -- 0.066),23 (11 -- -94)
Latvia,1795 (1045 -- 2999),Decreasing,0.63 (0.46 -- 0.83),-0.08 (-0.13 -- -0.034),-8.7 (-21 -- -5.2)
Liechtenstein,490 (129 -- 2140),Likely increasing,1.7 (0.89 -- 3.3),0.1 (-0.021 -- 0.23),6.8 (3 -- -32)
Lithuania,5843 (4167 -- 8321),Decreasing,0.78 (0.67 -- 0.92),-0.044 (-0.072 -- -0.015),-16 (-46 -- -9.7)
Luxembourg,1435 (774 -- 3087),Likely increasing,1.1 (0.91 -- 1.4),0.018 (-0.017 -- 0.061),39 (11 -- -41)
Malta,412 (170 -- 967),Likely increasing,1.1 (0.65 -- 2),0.023 (-0.077 -- 0.13),30 (5.3 -- -9.1)
Netherlands,160200 (86010 -- 308745),Likely increasing,1.3 (0.95 -- 1.7),0.046 (-0.0095 -- 0.1),15 (6.7 -- -73)
Norway,11721 (6465 -- 21831),Likely increasing,1.1 (0.77 -- 1.5),0.015 (-0.045 -- 0.079),47 (8.8 -- -15)
Poland,137592 (96748 -- 195203),Likely increasing,1.2 (1 -- 1.4),0.029 (-8.7e-05 -- 0.059),24 (12 -- -8000)
Portugal,15006 (9946 -- 22307),Increasing,1.3 (1 -- 1.6),0.047 (0.0029 -- 0.085),15 (8.2 -- 240)
Romania,8339 (5672 -- 12955),Likely decreasing,0.77 (0.6 -- 1),-0.047 (-0.088 -- 0.0064),-15 (110 -- -7.9)
Slovakia,57996 (32835 -- 94493),Stable,1 (0.76 -- 1.3),0.0049 (-0.05 -- 0.05),140 (14 -- -14)
Slovenia,12648 (5743 -- 24156),Likely decreasing,0.82 (0.49 -- 1.2),-0.035 (-0.12 -- 0.034),-20 (21 -- -5.7)
Spain,32257 (11153 -- 115910),Likely increasing,1.2 (0.85 -- 1.9),0.038 (-0.03 -- 0.12),18 (5.6 -- -23)
Sweden,5232 (3435 -- 8883),Likely increasing,1.1 (0.89 -- 1.4),0.015 (-0.022 -- 0.068),47 (10 -- -32)
Switzerland,39736 (11954 -- 153281),Likely increasing,1.3 (0.81 -- 2.1),0.051 (-0.037 -- 0.15),14 (4.7 -- -19)
United Kingdom,233147 (142506 -- 368391),Likely increasing,1.1 (0.74 -- 1.4),0.011 (-0.053 -- 0.064),64 (11 -- -13)
