Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,56640 (25649 -- 139164),Stable,0.98 (0.8 -- 1.1),-0.027 (-0.28 -- 0.14),-26 (4.9 -- -2.5)
Bulgaria,134099 (55419 -- 316548),Increasing,1.3 (1.1 -- 1.6),0.34 (0.093 -- 0.6),2 (1.2 -- 7.4)
Croatia,104523 (27571 -- 500565),Likely increasing,1.1 (0.84 -- 1.3),0.094 (-0.22 -- 0.35),7.3 (2 -- -3.1)
Cyprus,27945 (16183 -- 52594),Stable,0.99 (0.88 -- 1.1),-0.014 (-0.17 -- 0.12),-49 (6 -- -4.1)
Czechia,340000 (69618 -- 1340300),Likely increasing,1.3 (0.98 -- 1.6),0.32 (-0.03 -- 0.66),2.1 (1.1 -- -23)
Estonia,4753 (1657 -- 14551),Likely increasing,1.1 (0.97 -- 1.3),0.15 (-0.044 -- 0.38),4.7 (1.8 -- -16)
Finland,14127 (6157 -- 36223),Likely increasing,1.2 (0.95 -- 1.4),0.19 (-0.063 -- 0.39),3.7 (1.8 -- -11)
Greece,361603 (197861 -- 748210),Likely increasing,1.1 (0.94 -- 1.1),0.072 (-0.075 -- 0.16),9.7 (4.2 -- -9.3)
Hungary,71807 (18934 -- 264950),Likely increasing,1.2 (0.92 -- 1.5),0.22 (-0.1 -- 0.52),3.2 (1.3 -- -6.7)
Iceland,1027 (525 -- 2173),Stable,0.99 (0.86 -- 1.1),-0.0096 (-0.19 -- 0.12),-72 (6 -- -3.6)
Ireland,10288 (6873 -- 17412),Likely decreasing,0.96 (0.88 -- 1),-0.054 (-0.16 -- 0.035),-13 (20 -- -4.3)
Italy,977347 (276598 -- 3765720),Likely decreasing,0.95 (0.68 -- 1.2),-0.068 (-0.47 -- 0.19),-10 (3.7 -- -1.5)
Latvia,5805 (1535 -- 23014),Likely increasing,1.2 (0.95 -- 1.6),0.24 (-0.065 -- 0.63),2.9 (1.1 -- -11)
Lithuania,71568 (16293 -- 361309),Likely increasing,1.2 (0.96 -- 1.5),0.21 (-0.055 -- 0.51),3.4 (1.3 -- -13)
Luxembourg,11271 (4180 -- 33081),Stable,1 (0.77 -- 1.2),0.033 (-0.33 -- 0.22),21 (3.2 -- -2.1)
Malta,677 (362 -- 1401),Decreasing,0.84 (0.71 -- 0.97),-0.22 (-0.43 -- -0.043),-3.2 (-16 -- -1.6)
Netherlands,11972 (5362 -- 25920),Likely increasing,1 (0.87 -- 1.1),0.038 (-0.17 -- 0.17),18 (4 -- -4.1)
Norway,16436 (8102 -- 35520),Likely increasing,1.1 (0.96 -- 1.1),0.066 (-0.054 -- 0.17),11 (4.1 -- -13)
Poland,219690 (52118 -- 670231),Increasing,1.3 (1 -- 1.6),0.32 (0.039 -- 0.59),2.2 (1.2 -- 18)
Portugal,22570 (12313 -- 47448),Decreasing,0.77 (0.65 -- 0.92),-0.33 (-0.52 -- -0.1),-2.1 (-6.9 -- -1.3)
Romania,419279 (103405 -- 1858180),Likely increasing,1.1 (0.83 -- 1.3),0.075 (-0.23 -- 0.37),9.2 (1.9 -- -3)
Slovakia,31968 (8466 -- 98908),Likely increasing,1.2 (0.95 -- 1.5),0.26 (-0.072 -- 0.58),2.6 (1.2 -- -9.6)
Slovenia,34134 (12191 -- 100928),Increasing,1.3 (1 -- 1.6),0.31 (0.041 -- 0.59),2.2 (1.2 -- 17)
Sweden,31617 (15159 -- 72949),Increasing,1.1 (1 -- 1.3),0.15 (0.03 -- 0.33),4.6 (2.1 -- 23)
