region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Greece,27356 (13125 -- 63256),27356,31519,17001,13125,19936,24110,31017,38540,63256,New confirmed cases by infection date,Likely increasing,0.27
Italy,24374 (10687 -- 59396),24374,28327,16318,10687,17551,21634,27751,34628,59396,New confirmed cases by infection date,Increasing,0.019
Ireland,18351 (6004 -- 63065),18351,24421,22537,6004,11585,15449,21611,29317,63065,New confirmed cases by infection date,Likely increasing,0.31
Netherlands,7620 (4337 -- 15602),7620,8433,3681,4337,5936,6906,8410,9917,15602,New confirmed cases by infection date,Increasing,0.002
Czechia,1611 (650 -- 4302),1611,1938,1305,650,1122,1406,1884,2356,4302,New confirmed cases by infection date,Increasing,0.01
Malta,795 (345 -- 2115),795,965,689,345,558,695,917,1167,2115,New confirmed cases by infection date,Likely decreasing,0.63
Latvia,696 (318 -- 1588),696,801,452,318,516,623,782,966,1588,New confirmed cases by infection date,Likely increasing,0.054
Slovakia,598 (226 -- 1445),598,698,462,226,419,523,682,858,1445,New confirmed cases by infection date,Increasing,0.024
Estonia,257 (101 -- 799),257,332,257,101,173,222,304,398,799,New confirmed cases by infection date,Likely increasing,0.18
Czechia,1.3 (1.1 -- 1.6),1.3,1.3,0.17,1.1,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Increasing,0.01
Italy,1.3 (1.1 -- 1.6),1.3,1.3,0.15,1.1,1.2,1.3,1.4,1.4,1.6,Effective reproduction no.,Increasing,0.019
Slovakia,1.3 (1 -- 1.6),1.3,1.3,0.17,1,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Increasing,0.024
Latvia,1.2 (1 -- 1.4),1.2,1.2,0.14,1,1.1,1.1,1.2,1.3,1.4,Effective reproduction no.,Likely increasing,0.054
Netherlands,1.2 (1.1 -- 1.3),1.2,1.2,0.063,1.1,1.2,1.2,1.2,1.3,1.3,Effective reproduction no.,Increasing,0.002
Estonia,1.1 (0.93 -- 1.4),1.1,1.1,0.17,0.93,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.18
Greece,1.1 (0.91 -- 1.2),1.1,1.1,0.1,0.91,0.99,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.27
Ireland,1.1 (0.76 -- 1.3),1.1,1.1,0.16,0.76,0.97,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.31
Malta,0.97 (0.76 -- 1.1),0.97,0.96,0.11,0.76,0.89,0.94,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.63
