region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Italy,39384 (20399 -- 77334),39384,43069,19333,20399,30192,35355,43260,51630,77334,New confirmed cases by infection date,Stable,0.41
Greece,28771 (15894 -- 58167),28771,32001,14133,15894,22408,26176,31841,37871,58167,New confirmed cases by infection date,Likely increasing,0.07
Czechia,25067 (9423 -- 89819),25067,33073,27233,9423,17175,21653,29105,39842,89819,New confirmed cases by infection date,Likely increasing,0.088
Netherlands,20501 (10889 -- 41054),20501,22591,10082,10889,15611,18530,22813,27177,41054,New confirmed cases by infection date,Increasing,0.038
Slovakia,4726 (1490 -- 17074),4726,6458,6117,1490,2845,3861,5761,7765,17074,New confirmed cases by infection date,Likely increasing,0.16
Ireland,3865 (1858 -- 7694),3865,4208,2210,1858,2903,3490,4118,4973,7694,New confirmed cases by infection date,Likely decreasing,0.86
Latvia,1122 (488 -- 2738),1122,1304,747,488,807,997,1273,1590,2738,New confirmed cases by infection date,Stable,0.4
Estonia,639 (291 -- 1559),639,752,458,291,463,563,729,910,1559,New confirmed cases by infection date,Likely increasing,0.2
Malta,391 (172 -- 905),391,450,265,172,282,349,439,538,905,New confirmed cases by infection date,Likely decreasing,0.64
Czechia,1.1 (0.97 -- 1.4),1.1,1.2,0.12,0.97,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.088
Estonia,1.1 (0.92 -- 1.3),1.1,1.1,0.13,0.92,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.2
Greece,1.1 (0.99 -- 1.2),1.1,1.1,0.062,0.99,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.07
Netherlands,1.1 (1 -- 1.2),1.1,1.1,0.056,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Increasing,0.038
Slovakia,1.1 (0.92 -- 1.5),1.1,1.2,0.18,0.92,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.16
Italy,1 (0.9 -- 1.1),1,1,0.078,0.9,0.97,1,1,1.1,1.1,Effective reproduction no.,Stable,0.41
Latvia,1 (0.84 -- 1.3),1,1,0.13,0.84,0.95,1,1.1,1.1,1.3,Effective reproduction no.,Stable,0.4
Malta,0.96 (0.8 -- 1.1),0.96,0.97,0.11,0.8,0.9,0.94,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.64
Ireland,0.9 (0.75 -- 1.1),0.9,0.9,0.11,0.75,0.85,0.87,0.92,0.96,1.1,Effective reproduction no.,Likely decreasing,0.86
