Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,181102 (42584 -- 603543),Likely increasing,1.2 (0.9 -- 1.5),0.2 (-0.13 -- 0.51),3.4 (1.3 -- -5.3)
Bulgaria,54629 (25964 -- 128157),Increasing,1.5 (1.3 -- 1.7),0.5 (0.33 -- 0.67),1.4 (1 -- 2.1)
Croatia,313837 (84573 -- 867326),Likely increasing,1.3 (0.78 -- 1.8),0.29 (-0.32 -- 0.75),2.4 (0.93 -- -2.2)
Cyprus,29430 (15846 -- 59607),Likely increasing,1.1 (0.96 -- 1.2),0.062 (-0.048 -- 0.2),11 (3.4 -- -14)
Czechia,229246 (73826 -- 681016),Increasing,1.5 (1.2 -- 1.9),0.57 (0.28 -- 0.89),1.2 (0.78 -- 2.5)
Denmark,17892 (5428 -- 59189),Likely increasing,1.1 (0.89 -- 1.3),0.12 (-0.15 -- 0.36),5.6 (2 -- -4.6)
Estonia,2875 (731 -- 10677),Increasing,1.2 (1 -- 1.7),0.28 (0.0044 -- 0.69),2.5 (1 -- 160)
Greece,435734 (211001 -- 960815),Increasing,1.1 (1 -- 1.2),0.15 (0.037 -- 0.26),4.5 (2.7 -- 19)
Hungary,135935 (30977 -- 445268),Increasing,1.5 (1.1 -- 2),0.53 (0.13 -- 0.92),1.3 (0.75 -- 5.5)
Iceland,1255 (658 -- 2776),Likely increasing,1.1 (0.98 -- 1.2),0.11 (-0.026 -- 0.26),6.6 (2.7 -- -26)
Ireland,19252 (8409 -- 49661),Stable,1 (0.83 -- 1.2),0.0067 (-0.24 -- 0.2),100 (3.5 -- -2.9)
Italy,936509 (345829 -- 2792560),Likely increasing,1.1 (0.87 -- 1.3),0.092 (-0.18 -- 0.33),7.5 (2.1 -- -3.9)
Latvia,6494 (2393 -- 18146),Increasing,1.3 (1.1 -- 1.6),0.38 (0.14 -- 0.66),1.8 (1.1 -- 5.1)
Lithuania,49332 (12621 -- 185050),Increasing,1.4 (1.1 -- 1.9),0.45 (0.14 -- 0.84),1.5 (0.82 -- 5.1)
Luxembourg,18087 (7084 -- 51526),Increasing,1.2 (1.1 -- 1.4),0.27 (0.068 -- 0.46),2.6 (1.5 -- 10)
Malta,1656 (700 -- 3565),Likely decreasing,0.93 (0.76 -- 1.2),-0.095 (-0.35 -- 0.22),-7.3 (3.1 -- -2)
Netherlands,14106 (6377 -- 33850),Likely increasing,1.1 (0.94 -- 1.3),0.16 (-0.081 -- 0.38),4.2 (1.8 -- -8.6)
Norway,17088 (7086 -- 41513),Stable,1 (0.82 -- 1.2),0.042 (-0.26 -- 0.27),17 (2.6 -- -2.7)
Poland,71055 (22433 -- 216194),Increasing,1.5 (1.2 -- 2),0.57 (0.26 -- 0.9),1.2 (0.77 -- 2.7)
Portugal,88961 (36784 -- 249631),Stable,0.98 (0.73 -- 1.2),-0.021 (-0.39 -- 0.18),-33 (3.8 -- -1.8)
Romania,1713320 (573091 -- 5048090),Increasing,1.3 (1.1 -- 1.7),0.36 (0.071 -- 0.73),1.9 (0.95 -- 9.8)
Slovakia,32502 (9792 -- 101926),Increasing,1.5 (1.2 -- 1.8),0.49 (0.2 -- 0.78),1.4 (0.89 -- 3.5)
Slovenia,18345 (6176 -- 52261),Increasing,1.5 (1.2 -- 1.8),0.49 (0.24 -- 0.76),1.4 (0.91 -- 2.9)
Sweden,24684 (11047 -- 54897),Stable,1 (0.84 -- 1.3),-0.002 (-0.22 -- 0.34),-340 (2.1 -- -3.2)
