Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,23211 (13582 -- 38236),Decreasing,0.89 (0.82 -- 0.95),-0.15 (-0.25 -- -0.072),-4.7 (-9.7 -- -2.8)
Bulgaria,96775 (28391 -- 314601),Likely increasing,1.1 (0.77 -- 1.3),0.094 (-0.32 -- 0.36),7.3 (1.9 -- -2.2)
Croatia,42688 (22451 -- 100352),Likely decreasing,0.96 (0.84 -- 1.1),-0.053 (-0.23 -- 0.087),-13 (8 -- -3.1)
Cyprus,25807 (13222 -- 55249),Stable,1 (0.86 -- 1.2),0.0012 (-0.19 -- 0.2),560 (3.4 -- -3.6)
Czechia,245740 (83466 -- 798162),Increasing,1.2 (1 -- 1.4),0.22 (0.0082 -- 0.47),3.2 (1.5 -- 85)
Denmark,24704 (13801 -- 52094),Increasing,1.2 (1.1 -- 1.3),0.25 (0.13 -- 0.38),2.8 (1.8 -- 5.3)
Estonia,12401 (5891 -- 28199),Increasing,1.4 (1.2 -- 1.7),0.47 (0.22 -- 0.73),1.5 (0.94 -- 3.1)
Finland,10157 (4793 -- 23588),Stable,1 (0.83 -- 1.2),0.016 (-0.24 -- 0.28),45 (2.4 -- -2.9)
Greece,202369 (110294 -- 420875),Likely decreasing,0.85 (0.75 -- 1),-0.21 (-0.36 -- 0.026),-3.3 (26 -- -1.9)
Hungary,27674 (13351 -- 67952),Likely increasing,1 (0.89 -- 1.2),0.054 (-0.15 -- 0.23),13 (3 -- -4.8)
Iceland,874 (487 -- 1717),Likely decreasing,0.98 (0.88 -- 1.1),-0.023 (-0.17 -- 0.1),-30 (6.7 -- -4.1)
Ireland,8318 (4989 -- 14838),Likely decreasing,0.94 (0.87 -- 1),-0.073 (-0.18 -- 0.022),-9.5 (32 -- -3.8)
Italy,301308 (111606 -- 1027410),Likely decreasing,0.8 (0.58 -- 1),-0.28 (-0.67 -- 0.02),-2.5 (34 -- -1)
Latvia,3460 (1654 -- 8254),Likely increasing,1.1 (0.99 -- 1.4),0.14 (-0.019 -- 0.4),4.9 (1.7 -- -37)
Lithuania,38859 (14086 -- 123487),Likely increasing,1.1 (0.95 -- 1.4),0.13 (-0.065 -- 0.45),5.3 (1.5 -- -11)
Luxembourg,5671 (2870 -- 12935),Likely decreasing,0.91 (0.73 -- 1.1),-0.12 (-0.39 -- 0.076),-5.9 (9.1 -- -1.8)
Malta,282 (138 -- 553),Decreasing,0.78 (0.64 -- 0.91),-0.31 (-0.56 -- -0.13),-2.2 (-5.5 -- -1.2)
Netherlands,8000 (3968 -- 18465),Stable,1 (0.85 -- 1.2),0.018 (-0.21 -- 0.2),38 (3.5 -- -3.3)
Norway,32291 (19488 -- 60757),Increasing,1.3 (1.2 -- 1.5),0.35 (0.21 -- 0.49),2 (1.4 -- 3.2)
Poland,301760 (110613 -- 766606),Increasing,1.3 (1.2 -- 1.6),0.36 (0.19 -- 0.59),1.9 (1.2 -- 3.6)
Portugal,6593 (3516 -- 11709),Decreasing,0.77 (0.62 -- 0.87),-0.32 (-0.59 -- -0.18),-2.1 (-3.9 -- -1.2)
Romania,38363 (15091 -- 131886),Decreasing,0.7 (0.51 -- 0.95),-0.43 (-0.82 -- -0.069),-1.6 (-10 -- -0.84)
Slovakia,23962 (8352 -- 69064),Likely increasing,1.1 (0.91 -- 1.3),0.13 (-0.12 -- 0.36),5.4 (1.9 -- -5.6)
Slovenia,24750 (8570 -- 69648),Likely increasing,1.1 (0.84 -- 1.3),0.12 (-0.22 -- 0.34),5.6 (2 -- -3.2)
Sweden,91981 (49594 -- 192012),Increasing,1.5 (1.3 -- 1.7),0.51 (0.32 -- 0.68),1.4 (1 -- 2.2)
