Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,2935 (708 -- 7251),Likely decreasing,0.76 (0.4 -- 1),-0.049 (-0.16 -- 0.0035),-14 (200 -- -4.4)
Belgium,2131 (230 -- 17717),Likely decreasing,0.8 (0.33 -- 1.5),-0.04 (-0.19 -- 0.079),-17 (8.7 -- -3.7)
Bulgaria,376 (247 -- 581),Likely decreasing,0.86 (0.72 -- 1.1),-0.027 (-0.058 -- 0.016),-26 (43 -- -12)
Croatia,530 (269 -- 1110),Likely decreasing,0.83 (0.55 -- 1.3),-0.034 (-0.1 -- 0.049),-21 (14 -- -6.7)
Cyprus,251 (18 -- 3584),Likely increasing,1.3 (0.34 -- 4.2),0.045 (-0.18 -- 0.29),15 (2.4 -- -3.8)
Czechia,244 (63 -- 776),Likely decreasing,0.69 (0.42 -- 1),-0.066 (-0.15 -- 0.0087),-10 (80 -- -4.6)
Denmark,783 (390 -- 2099),Likely decreasing,0.83 (0.65 -- 1.2),-0.033 (-0.076 -- 0.035),-21 (20 -- -9.2)
Estonia,15 (2 -- 129),Likely decreasing,0.59 (0.29 -- 1.5),-0.092 (-0.21 -- 0.076),-7.6 (9.1 -- -3.4)
Finland,899 (55 -- 15448),Stable,0.94 (0.23 -- 3.1),-0.011 (-0.24 -- 0.22),-64 (3.1 -- -2.9)
France,23424 (10172 -- 52282),Likely decreasing,0.76 (0.5 -- 1.1),-0.048 (-0.12 -- 0.015),-14 (48 -- -5.8)
Germany,46925 (13196 -- 120197),Likely decreasing,0.81 (0.51 -- 1.1),-0.038 (-0.12 -- 0.01),-18 (67 -- -5.8)
Greece,7513 (4279 -- 14759),Likely decreasing,0.92 (0.71 -- 1.2),-0.016 (-0.06 -- 0.04),-45 (17 -- -12)
Hungary,221 (26 -- 1509),Likely decreasing,0.69 (0.35 -- 1.3),-0.065 (-0.18 -- 0.047),-11 (15 -- -4)
Iceland,175 (11 -- 2861),Stable,1.1 (0.3 -- 3.6),0.02 (-0.2 -- 0.25),35 (2.7 -- -3.5)
Ireland,2136 (367 -- 12805),Likely decreasing,0.88 (0.47 -- 1.5),-0.023 (-0.13 -- 0.074),-30 (9.4 -- -5.3)
Italy,32550 (22401 -- 45080),Decreasing,0.78 (0.66 -- 0.91),-0.043 (-0.074 -- -0.017),-16 (-41 -- -9.4)
Latvia,208 (68 -- 814),Likely decreasing,0.79 (0.53 -- 1.4),-0.042 (-0.11 -- 0.057),-17 (12 -- -6.3)
Liechtenstein,7 (1 -- 29),Likely decreasing,0.78 (0.41 -- 1.2),-0.045 (-0.15 -- 0.03),-16 (23 -- -4.6)
Lithuania,213 (89 -- 679),Likely decreasing,0.93 (0.65 -- 1.6),-0.012 (-0.076 -- 0.089),-56 (7.8 -- -9.1)
Luxembourg,0 (0 -- 0),Decreasing,0.024 (0.00064 -- 0.24),-0.52 (-0.81 -- -0.24),-1.3 (-2.9 -- -0.85)
Malta,166 (51 -- 605),Stable,0.94 (0.51 -- 1.8),-0.011 (-0.12 -- 0.11),-65 (6.3 -- -5.9)
Netherlands,1571 (190 -- 13134),Stable,0.9 (0.33 -- 2.1),-0.019 (-0.18 -- 0.14),-36 (5 -- -3.8)
Norway,534 (302 -- 1000),Stable,1 (0.75 -- 1.4),0.0014 (-0.051 -- 0.066),490 (10 -- -13)
Poland,425 (153 -- 1144),Likely decreasing,0.87 (0.46 -- 1.6),-0.025 (-0.13 -- 0.092),-27 (7.5 -- -5.2)
Portugal,97385 (39416 -- 291518),Likely increasing,1.2 (0.83 -- 1.6),0.026 (-0.033 -- 0.089),27 (7.7 -- -21)
Romania,647 (336 -- 1259),Likely decreasing,0.85 (0.64 -- 1.1),-0.03 (-0.079 -- 0.015),-23 (46 -- -8.8)
Slovakia,375 (121 -- 1640),Likely decreasing,0.76 (0.5 -- 1.3),-0.049 (-0.12 -- 0.045),-14 (15 -- -5.8)
Slovenia,594 (301 -- 1043),Likely decreasing,0.83 (0.64 -- 1),-0.033 (-0.079 -- 0.0025),-21 (280 -- -8.7)
Spain,NA (274031000 -- NA),Increasing,5.8 (2.4 -- 9.2),0.36 (0.17 -- 0.48),1.9 (1.5 -- 4)
Sweden,18741 (634 -- 551638),Likely increasing,2.9 (0.82 -- 8.8),0.21 (-0.036 -- 0.47),3.4 (1.5 -- -19)
Switzerland,241 (2 -- 9780),Likely decreasing,0.58 (0.061 -- 3.2),-0.095 (-0.42 -- 0.23),-7.3 (3 -- -1.7)
United Kingdom,9026 (2316 -- 30208),Likely decreasing,0.8 (0.49 -- 1.2),-0.04 (-0.12 -- 0.031),-17 (22 -- -5.6)
