Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,3216 (1734 -- 8501),Increasing,1.1 (1 -- 1.2),0.017 (0.0016 -- 0.034),40 (21 -- 430)
Cyprus,11 (4 -- 40),Likely decreasing,0.97 (0.85 -- 1.1),-0.0058 (-0.028 -- 0.022),-120 (31 -- -25)
Czechia,2470 (1066 -- 7233),Likely increasing,1 (0.85 -- 1.2),0.0071 (-0.028 -- 0.03),98 (23 -- -25)
Denmark,815 (305 -- 2565),Likely increasing,1.1 (0.94 -- 1.3),0.017 (-0.011 -- 0.048),42 (14 -- -65)
Estonia,239 (132 -- 572),Stable,0.99 (0.93 -- 1.1),-0.0012 (-0.014 -- 0.014),-600 (50 -- -49)
France,4793 (1964 -- 15540),Likely decreasing,0.98 (0.87 -- 1.1),-0.0046 (-0.025 -- 0.021),-150 (32 -- -28)
Germany,18116 (8494 -- 52106),Likely decreasing,0.98 (0.86 -- 1.1),-0.0029 (-0.028 -- 0.013),-240 (51 -- -25)
Greece,1995 (1010 -- 6996),Likely decreasing,0.95 (0.87 -- 1),-0.0098 (-0.024 -- 0.00085),-71 (810 -- -28)
Hungary,139 (56 -- 494),Likely increasing,1 (0.92 -- 1.2),0.0064 (-0.015 -- 0.034),110 (20 -- -48)
Iceland,16 (4 -- 72),Likely decreasing,0.97 (0.84 -- 1.1),-0.006 (-0.031 -- 0.024),-120 (29 -- -22)
Ireland,364 (177 -- 1114),Likely decreasing,0.94 (0.87 -- 1.1),-0.012 (-0.025 -- 0.0094),-59 (74 -- -27)
Italy,2555 (1379 -- 6887),Likely decreasing,0.94 (0.88 -- 1),-0.01 (-0.022 -- 0.0029),-68 (240 -- -31)
Latvia,428 (223 -- 1247),Likely increasing,1.1 (0.97 -- 1.2),0.013 (-0.0054 -- 0.034),52 (21 -- -130)
Liechtenstein,0 (0 -- 2),Likely decreasing,0.93 (0.63 -- 1.2),-0.013 (-0.08 -- 0.035),-53 (20 -- -8.6)
Luxembourg,42 (16 -- 147),Stable,1 (0.89 -- 1.1),0.002 (-0.021 -- 0.024),340 (29 -- -33)
Malta,52 (19 -- 201),Likely increasing,1 (0.92 -- 1.2),0.0078 (-0.016 -- 0.039),88 (18 -- -44)
Netherlands,2865 (1376 -- 8256),Likely increasing,1.1 (0.92 -- 1.2),0.0093 (-0.016 -- 0.033),74 (21 -- -44)
Slovakia,871 (393 -- 3355),Likely increasing,1 (0.9 -- 1.1),0.0054 (-0.02 -- 0.022),130 (31 -- -35)
Slovenia,202 (79 -- 683),Likely increasing,1.1 (0.96 -- 1.3),0.023 (-0.0081 -- 0.05),30 (14 -- -86)
Spain,4724 (2467 -- 14311),Likely increasing,1 (0.95 -- 1.1),0.0085 (-0.0085 -- 0.026),82 (27 -- -82)
