Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,271346 (101988 -- 643897),Likely increasing,1.2 (0.95 -- 1.5),0.22 (-0.065 -- 0.55),3.1 (1.3 -- -11)
Bulgaria,13822 (7511 -- 28741),Increasing,1.3 (1.1 -- 1.5),0.35 (0.18 -- 0.51),2 (1.4 -- 3.9)
Croatia,176092 (72213 -- 429347),Increasing,1.6 (1.4 -- 2),0.64 (0.42 -- 0.91),1.1 (0.76 -- 1.7)
Cyprus,37221 (16397 -- 85894),Likely increasing,1.1 (0.94 -- 1.2),0.095 (-0.077 -- 0.26),7.3 (2.6 -- -9.1)
Czechia,94454 (39276 -- 235421),Increasing,1.7 (1.5 -- 1.9),0.68 (0.5 -- 0.87),1 (0.79 -- 1.4)
Denmark,18665 (6566 -- 54826),Likely increasing,1.2 (0.92 -- 1.5),0.23 (-0.1 -- 0.51),3 (1.4 -- -6.7)
Estonia,1417 (452 -- 5176),Likely increasing,1.2 (0.95 -- 1.6),0.19 (-0.064 -- 0.64),3.7 (1.1 -- -11)
Finland,10225 (6036 -- 20526),Increasing,1.2 (1.1 -- 1.3),0.2 (0.088 -- 0.34),3.5 (2.1 -- 7.8)
Greece,408011 (189008 -- 882110),Likely increasing,1.1 (0.95 -- 1.2),0.091 (-0.059 -- 0.25),7.6 (2.8 -- -12)
Hungary,42180 (14856 -- 134331),Increasing,1.7 (1.4 -- 2.1),0.72 (0.44 -- 1),0.97 (0.69 -- 1.6)
Iceland,1515 (541 -- 5139),Likely increasing,1.1 (0.92 -- 1.3),0.12 (-0.11 -- 0.37),5.6 (1.9 -- -6.6)
Ireland,38538 (13968 -- 100592),Likely increasing,1 (0.8 -- 1.3),0.055 (-0.28 -- 0.3),13 (2.3 -- -2.5)
Italy,686026 (274062 -- 1847870),Likely increasing,1.1 (0.83 -- 1.3),0.1 (-0.24 -- 0.33),6.7 (2.1 -- -2.9)
Latvia,2201 (892 -- 5950),Increasing,1.3 (1.1 -- 1.8),0.38 (0.11 -- 0.8),1.8 (0.87 -- 6.6)
Lithuania,24764 (13421 -- 52611),Increasing,1.7 (1.4 -- 2.1),0.68 (0.43 -- 0.97),1 (0.71 -- 1.6)
Luxembourg,11044 (4427 -- 25709),Increasing,1.3 (1.1 -- 1.5),0.34 (0.15 -- 0.56),2 (1.2 -- 4.7)
Malta,2349 (1026 -- 6302),Likely decreasing,0.94 (0.68 -- 1.1),-0.074 (-0.47 -- 0.17),-9.4 (4.2 -- -1.5)
Netherlands,13978 (6661 -- 31508),Increasing,1.2 (1.1 -- 1.4),0.23 (0.088 -- 0.4),3 (1.7 -- 7.9)
Norway,20489 (8642 -- 55210),Likely increasing,1.1 (0.93 -- 1.4),0.18 (-0.1 -- 0.42),3.9 (1.7 -- -6.9)
Poland,22816 (9246 -- 60557),Increasing,1.5 (1.2 -- 1.9),0.53 (0.25 -- 0.86),1.3 (0.81 -- 2.7)
Portugal,130531 (60920 -- 298068),Likely increasing,1.1 (0.89 -- 1.3),0.13 (-0.15 -- 0.31),5.2 (2.2 -- -4.7)
Romania,568136 (276766 -- 1271590),Increasing,1.6 (1.5 -- 1.8),0.62 (0.49 -- 0.77),1.1 (0.9 -- 1.4)
Slovakia,6340 (2238 -- 16057),Increasing,1.5 (1.2 -- 1.8),0.5 (0.19 -- 0.82),1.4 (0.85 -- 3.6)
Slovenia,4300 (1570 -- 13824),Increasing,1.4 (1.1 -- 1.8),0.42 (0.13 -- 0.76),1.6 (0.91 -- 5.3)
Sweden,19625 (11239 -- 42894),Increasing,1.2 (1.1 -- 1.4),0.23 (0.074 -- 0.4),3.1 (1.8 -- 9.4)
