Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,9672 (6915 -- 13639),Decreasing,0.85 (0.71 -- 1),-0.029 (-0.059 -- -0.00056),-24 (-1200 -- -12)
Belgium,21627 (9843 -- 37473),Stable,1 (0.69 -- 1.2),-0.00049 (-0.065 -- 0.03),-1400 (23 -- -11)
Bulgaria,11767 (4945 -- 24119),Likely decreasing,0.86 (0.58 -- 1.1),-0.027 (-0.095 -- 0.022),-26 (31 -- -7.3)
Croatia,9726 (5840 -- 15796),Stable,1 (0.79 -- 1.4),0.0066 (-0.042 -- 0.058),110 (12 -- -17)
Cyprus,2846 (1257 -- 5417),Stable,1 (0.57 -- 1.5),0.0027 (-0.098 -- 0.079),260 (8.7 -- -7.1)
Czechia,13891 (6991 -- 28623),Likely decreasing,0.82 (0.61 -- 1.1),-0.036 (-0.087 -- 0.025),-19 (27 -- -8)
Denmark,3174 (1574 -- 6302),Stable,0.97 (0.71 -- 1.3),-0.0047 (-0.061 -- 0.049),-150 (14 -- -11)
Estonia,2150 (1314 -- 3592),Likely decreasing,0.82 (0.64 -- 1.1),-0.035 (-0.079 -- 0.016),-20 (44 -- -8.8)
Finland,1351 (896 -- 2091),Decreasing,0.8 (0.67 -- 0.96),-0.04 (-0.071 -- -0.007),-17 (-99 -- -9.7)
France,179211 (53615 -- 414694),Likely increasing,1 (0.64 -- 1.2),0.0047 (-0.079 -- 0.04),150 (17 -- -8.8)
Germany,95585 (49184 -- 181175),Likely increasing,1.1 (0.8 -- 1.4),0.011 (-0.04 -- 0.058),64 (12 -- -17)
Greece,15718 (9628 -- 21901),Likely increasing,1 (0.78 -- 1.1),0.004 (-0.044 -- 0.023),170 (30 -- -16)
Hungary,13386 (7827 -- 23606),Decreasing,0.72 (0.53 -- 0.99),-0.059 (-0.11 -- -0.0026),-12 (-270 -- -6.4)
Iceland,51 (3 -- 326),Stable,0.93 (0.26 -- 1.8),-0.013 (-0.23 -- 0.12),-54 (6 -- -3.1)
Ireland,1391 (749 -- 2323),Likely decreasing,0.84 (0.58 -- 1.1),-0.032 (-0.094 -- 0.021),-22 (33 -- -7.3)
Italy,49571 (35316 -- 71763),Likely decreasing,0.83 (0.7 -- 1),-0.032 (-0.062 -- 0.0037),-21 (190 -- -11)
Latvia,2121 (1649 -- 2942),Likely decreasing,0.98 (0.94 -- 1.1),-0.0044 (-0.012 -- 0.018),-160 (39 -- -57)
Liechtenstein,76 (28 -- 292),Likely increasing,1.4 (0.93 -- 2.9),0.066 (-0.014 -- 0.21),10 (3.4 -- -50)
Lithuania,5915 (3247 -- 10291),Likely increasing,1.1 (0.8 -- 1.4),0.021 (-0.04 -- 0.068),32 (10 -- -17)
Luxembourg,1290 (847 -- 2083),Likely increasing,1 (0.92 -- 1.2),0.007 (-0.014 -- 0.031),99 (22 -- -50)
Malta,276 (104 -- 807),Likely increasing,1.2 (0.66 -- 2.3),0.032 (-0.073 -- 0.16),22 (4.3 -- -9.6)
Netherlands,31209 (20599 -- 50980),Stable,0.98 (0.77 -- 1.4),-0.0031 (-0.046 -- 0.057),-220 (12 -- -15)
Norway,2129 (1193 -- 3712),Likely decreasing,0.8 (0.58 -- 1.1),-0.041 (-0.094 -- 0.012),-17 (56 -- -7.3)
Poland,59484 (36241 -- 108186),Likely decreasing,0.77 (0.58 -- 1.2),-0.046 (-0.096 -- 0.027),-15 (25 -- -7.2)
Portugal,4558 (2367 -- 9029),Likely increasing,1.3 (0.9 -- 2),0.054 (-0.019 -- 0.14),13 (5.1 -- -36)
Romania,13608 (10237 -- 18159),Decreasing,0.79 (0.68 -- 0.9),-0.043 (-0.069 -- -0.019),-16 (-36 -- -10)
Slovakia,3072 (2056 -- 4930),Likely decreasing,0.86 (0.74 -- 1.1),-0.027 (-0.054 -- 0.013),-26 (54 -- -13)
Slovenia,5341 (3429 -- 7852),Stable,1 (0.84 -- 1.2),0.0038 (-0.032 -- 0.028),180 (25 -- -22)
Spain,177721 (19444 -- 2717020),Likely increasing,1.4 (0.56 -- 3),0.058 (-0.1 -- 0.21),12 (3.3 -- -7)
Sweden,30029 (16393 -- 57146),Likely increasing,1 (0.88 -- 1.2),0.0086 (-0.024 -- 0.041),81 (17 -- -29)
Switzerland,12650 (6093 -- 26522),Likely increasing,1.1 (0.83 -- 1.4),0.018 (-0.034 -- 0.068),39 (10 -- -20)
United Kingdom,5888 (1885 -- 12579),Decreasing,0.69 (0.38 -- 0.92),-0.066 (-0.16 -- -0.016),-10 (-44 -- -4.2)
