Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,1667 (589 -- 5075),Increasing,1.2 (1 -- 1.7),0.28 (0.035 -- 0.66),2.4 (1.1 -- 20)
Belgium,47791 (23667 -- 101230),Likely increasing,1.1 (0.92 -- 1.2),0.081 (-0.11 -- 0.24),8.6 (2.9 -- -6.2)
Bulgaria,16875 (9000 -- 35070),Likely increasing,1 (0.91 -- 1.1),0.025 (-0.12 -- 0.15),27 (4.6 -- -6)
Croatia,60978 (25160 -- 174174),Likely decreasing,0.96 (0.73 -- 1.1),-0.048 (-0.4 -- 0.17),-14 (4 -- -1.7)
Cyprus,1606 (677 -- 4317),Likely decreasing,0.86 (0.68 -- 1),-0.19 (-0.48 -- 0.022),-3.6 (32 -- -1.4)
Czechia,538279 (184123 -- 1406300),Increasing,1.3 (1.1 -- 1.6),0.33 (0.065 -- 0.61),2.1 (1.1 -- 11)
Denmark,9889 (4656 -- 22277),Stable,1 (0.83 -- 1.3),0.035 (-0.24 -- 0.3),20 (2.3 -- -2.9)
France,43808 (21967 -- 95730),Increasing,1.2 (1 -- 1.4),0.26 (0.027 -- 0.48),2.6 (1.4 -- 26)
Greece,75823 (45370 -- 137832),Likely decreasing,0.99 (0.9 -- 1.1),-0.017 (-0.13 -- 0.093),-41 (7.5 -- -5.3)
Hungary,34112 (10169 -- 121704),Likely increasing,1.1 (0.82 -- 1.4),0.16 (-0.26 -- 0.45),4.2 (1.5 -- -2.7)
Iceland,321 (153 -- 794),Likely decreasing,0.91 (0.76 -- 1),-0.12 (-0.34 -- 0.056),-5.9 (12 -- -2.1)
Ireland,5932 (3583 -- 11585),Decreasing,0.91 (0.81 -- 0.99),-0.12 (-0.26 -- -0.01),-5.7 (-66 -- -2.7)
Liechtenstein,31 (7 -- 160),Likely increasing,1.1 (0.83 -- 1.5),0.096 (-0.23 -- 0.5),7.2 (1.4 -- -3.1)
Lithuania,68709 (27002 -- 221929),Likely decreasing,0.95 (0.66 -- 1.1),-0.064 (-0.52 -- 0.17),-11 (4.2 -- -1.3)
Luxembourg,7524 (3642 -- 16840),Likely increasing,1.1 (0.97 -- 1.3),0.13 (-0.035 -- 0.31),5.3 (2.2 -- -20)
Malta,118 (58 -- 271),Decreasing,0.83 (0.69 -- 0.98),-0.24 (-0.46 -- -0.023),-2.9 (-31 -- -1.5)
Norway,16536 (9056 -- 34538),Likely decreasing,0.92 (0.81 -- 1),-0.1 (-0.27 -- 0.041),-6.9 (17 -- -2.6)
Poland,173882 (61688 -- 545132),Likely decreasing,0.91 (0.61 -- 1.1),-0.11 (-0.61 -- 0.13),-6.2 (5.4 -- -1.1)
Portugal,3639 (2037 -- 7283),Decreasing,0.88 (0.76 -- 0.99),-0.16 (-0.35 -- -0.014),-4.4 (-51 -- -2)
Romania,1416 (723 -- 3155),Decreasing,0.57 (0.46 -- 0.73),-0.68 (-0.93 -- -0.39),-1 (-1.8 -- -0.74)
Slovakia,52169 (16906 -- 154866),Likely increasing,1.2 (0.94 -- 1.5),0.26 (-0.08 -- 0.56),2.7 (1.2 -- -8.7)
Sweden,14083 (8389 -- 26851),Likely decreasing,0.98 (0.91 -- 1.1),-0.02 (-0.12 -- 0.11),-35 (6.3 -- -6)
