Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,69136 (41321 -- 119585),Increasing,1.4 (1.1 -- 1.6),0.43 (0.16 -- 0.6),1.6 (1.1 -- 4.2)
Bulgaria,18124 (10228 -- 36345),Likely decreasing,0.95 (0.85 -- 1.1),-0.07 (-0.2 -- 0.12),-9.9 (5.8 -- -3.4)
Croatia,52754 (27801 -- 131286),Likely increasing,1 (0.93 -- 1.2),0.062 (-0.095 -- 0.24),11 (2.9 -- -7.3)
Cyprus,12715 (4029 -- 36913),Likely decreasing,0.94 (0.72 -- 1.2),-0.072 (-0.42 -- 0.22),-9.6 (3.2 -- -1.7)
Czechia,496131 (267492 -- 1032650),Increasing,1.3 (1.2 -- 1.4),0.31 (0.2 -- 0.43),2.2 (1.6 -- 3.5)
Denmark,89490 (44188 -- 184143),Increasing,1.2 (1.2 -- 1.3),0.27 (0.2 -- 0.39),2.5 (1.8 -- 3.5)
Estonia,51661 (16229 -- 147799),Likely increasing,1.2 (0.84 -- 1.4),0.19 (-0.22 -- 0.45),3.7 (1.5 -- -3.1)
Greece,237122 (144482 -- 420168),Increasing,1.3 (1 -- 1.4),0.3 (0.033 -- 0.45),2.3 (1.5 -- 21)
Hungary,80770 (42044 -- 154466),Increasing,1.3 (1.1 -- 1.5),0.35 (0.16 -- 0.55),2 (1.3 -- 4.2)
Iceland,1241 (705 -- 2293),Likely increasing,1.1 (0.96 -- 1.2),0.068 (-0.045 -- 0.22),10 (3.1 -- -15)
Ireland,9828 (5732 -- 17480),Likely increasing,1.1 (0.96 -- 1.3),0.11 (-0.057 -- 0.31),6.1 (2.3 -- -12)
Italy,735668 (371180 -- 1572320),Likely increasing,1 (0.88 -- 1.2),0.036 (-0.17 -- 0.25),19 (2.8 -- -4.2)
Latvia,10401 (3274 -- 28454),Likely increasing,1.2 (0.97 -- 1.5),0.23 (-0.038 -- 0.51),3 (1.4 -- -18)
Liechtenstein,162 (58 -- 550),Stable,1 (0.81 -- 1.4),0.025 (-0.28 -- 0.43),28 (1.6 -- -2.5)
Lithuania,97968 (33663 -- 310773),Likely increasing,1.2 (0.99 -- 1.5),0.22 (-0.012 -- 0.56),3.1 (1.2 -- -56)
Luxembourg,14321 (8251 -- 25378),Increasing,1.4 (1.1 -- 1.6),0.39 (0.11 -- 0.63),1.8 (1.1 -- 6.5)
Malta,397 (178 -- 1150),Stable,1 (0.84 -- 1.4),0.019 (-0.22 -- 0.45),37 (1.5 -- -3.2)
Netherlands,29498 (9610 -- 113722),Likely increasing,1.1 (0.93 -- 1.5),0.15 (-0.094 -- 0.54),4.5 (1.3 -- -7.4)
Norway,85524 (39845 -- 204105),Likely increasing,1.1 (0.9 -- 1.3),0.11 (-0.13 -- 0.29),6.5 (2.4 -- -5.4)
Poland,1505270 (620989 -- 3621850),Increasing,1.3 (1.1 -- 1.4),0.31 (0.17 -- 0.46),2.2 (1.5 -- 4.2)
Portugal,13083 (6859 -- 27883),Stable,1 (0.89 -- 1.3),0.032 (-0.15 -- 0.34),22 (2.1 -- -4.6)
Romania,15145 (7347 -- 39151),Likely decreasing,0.87 (0.71 -- 1.2),-0.18 (-0.43 -- 0.18),-3.9 (3.8 -- -1.6)
Slovakia,24141 (13082 -- 50589),Increasing,1.2 (1.1 -- 1.4),0.22 (0.069 -- 0.4),3.2 (1.7 -- 10)
Slovenia,32307 (17854 -- 63185),Increasing,1.2 (1 -- 1.4),0.19 (0.039 -- 0.42),3.7 (1.6 -- 18)
Sweden,135911 (43232 -- 401838),Likely increasing,1.1 (0.86 -- 1.3),0.08 (-0.18 -- 0.3),8.7 (2.3 -- -3.8)
