Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,198735 (82246 -- 488068),Likely increasing,1.3 (0.76 -- 2.4),0.047 (-0.052 -- 0.16),15 (4.3 -- -13)
Belgium,194766 (70940 -- 1091090),Likely increasing,1.2 (0.88 -- 2.1),0.027 (-0.023 -- 0.15),26 (4.8 -- -30)
Bulgaria,75834 (33437 -- 157320),Likely increasing,1.3 (0.85 -- 1.8),0.048 (-0.029 -- 0.11),14 (6.4 -- -24)
Croatia,55803 (25200 -- 112126),Likely increasing,1.1 (0.73 -- 1.5),0.018 (-0.058 -- 0.072),38 (9.6 -- -12)
Cyprus,18270 (1593 -- 77725),Stable,0.96 (0.33 -- 1.4),-0.0088 (-0.19 -- 0.069),-78 (10 -- -3.7)
Czechia,200881 (53325 -- 1107250),Likely increasing,1.5 (0.92 -- 3.1),0.074 (-0.016 -- 0.22),9.4 (3.1 -- -43)
Denmark,258252 (149209 -- 499321),Increasing,1.2 (1 -- 1.5),0.036 (0.0068 -- 0.072),19 (9.7 -- 100)
Estonia,32503 (21928 -- 49675),Increasing,1.5 (1.2 -- 1.9),0.074 (0.04 -- 0.12),9.4 (6 -- 17)
Finland,8341 (57 -- 68882),Likely decreasing,0.69 (0.087 -- 1.3),-0.064 (-0.37 -- 0.044),-11 (16 -- -1.9)
France,1653810 (741573 -- 3798580),Stable,0.95 (0.6 -- 1.6),-0.0089 (-0.089 -- 0.084),-78 (8.2 -- -7.8)
Germany,1029970 (350003 -- 3418470),Likely increasing,1.4 (0.89 -- 2.3),0.063 (-0.021 -- 0.16),11 (4.3 -- -33)
Greece,160995 (58558 -- 438357),Likely increasing,1.4 (0.64 -- 3),0.063 (-0.08 -- 0.21),11 (3.3 -- -8.7)
Hungary,135116 (42413 -- 422275),Likely increasing,1.5 (0.82 -- 2.6),0.078 (-0.035 -- 0.18),8.9 (3.9 -- -20)
Iceland,12430 (3280 -- 43375),Likely increasing,1.2 (0.71 -- 1.8),0.04 (-0.061 -- 0.11),18 (6.1 -- -11)
Ireland,12314 (1409 -- 89708),Likely decreasing,0.48 (0.16 -- 1.1),-0.13 (-0.3 -- 0.013),-5.5 (54 -- -2.3)
Italy,609362 (310416 -- 1216500),Likely decreasing,0.8 (0.53 -- 1.2),-0.04 (-0.11 -- 0.033),-17 (21 -- -6.3)
Latvia,48809 (26652 -- 92893),Increasing,1.6 (1.2 -- 2.2),0.088 (0.027 -- 0.15),7.9 (4.8 -- 26)
Liechtenstein,1380 (452 -- 7474),Likely increasing,1.3 (0.89 -- 2.3),0.046 (-0.02 -- 0.16),15 (4.2 -- -34)
Lithuania,45963 (24687 -- 92147),Increasing,1.3 (1 -- 1.8),0.053 (0.0038 -- 0.1),13 (6.6 -- 180)
Luxembourg,14170 (6508 -- 27061),Likely increasing,1.2 (0.8 -- 1.6),0.03 (-0.043 -- 0.083),23 (8.4 -- -16)
Malta,974 (325 -- 2918),Likely decreasing,0.81 (0.37 -- 1.7),-0.037 (-0.17 -- 0.098),-19 (7.1 -- -4.1)
Netherlands,338485 (129161 -- 819862),Likely increasing,1.2 (0.75 -- 1.9),0.039 (-0.052 -- 0.12),18 (5.8 -- -13)
Norway,168571 (78350 -- 389758),Increasing,1.5 (1 -- 2.2),0.07 (0.0062 -- 0.14),9.9 (4.8 -- 110)
Poland,431324 (270534 -- 723682),Increasing,1.9 (1.5 -- 2.7),0.13 (0.079 -- 0.19),5.5 (3.6 -- 8.8)
Portugal,349119 (170051 -- 761182),Likely increasing,1.3 (0.81 -- 2.1),0.046 (-0.037 -- 0.14),15 (4.9 -- -19)
Romania,143956 (47224 -- 413971),Likely increasing,1.3 (0.69 -- 2.5),0.052 (-0.066 -- 0.17),13 (4 -- -10)
Slovakia,69808 (32552 -- 169803),Increasing,1.7 (1.2 -- 2.8),0.1 (0.03 -- 0.2),6.7 (3.4 -- 23)
Slovenia,52687 (25959 -- 99776),Stable,1 (0.63 -- 1.4),6.5e-05 (-0.082 -- 0.068),11000 (10 -- -8.4)
Spain,1203080 (228844 -- 4481320),Likely increasing,1.2 (0.66 -- 1.7),0.035 (-0.075 -- 0.11),20 (6.5 -- -9.3)
Sweden,263331 (89981 -- 905805),Likely increasing,1.4 (0.95 -- 2),0.06 (-0.012 -- 0.13),12 (5.2 -- -58)
Switzerland,221088 (115992 -- 441040),Likely increasing,1.2 (0.9 -- 1.5),0.029 (-0.018 -- 0.071),24 (9.7 -- -38)
United Kingdom,495613 (266998 -- 955328),Likely increasing,1.2 (0.76 -- 2),0.04 (-0.049 -- 0.13),18 (5.3 -- -14)
