region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,64 (24 -- 180),64,79,58,24,42,55,75,97,180,New confirmed cases by infection date,Stable,0.59
Romania,44 (13 -- 152),44,59,59,13,28,36,52,70,152,New confirmed cases by infection date,Likely decreasing,0.69
France,37 (14 -- 99),37,45,30,14,25,32,43,56,99,New confirmed cases by infection date,Stable,0.52
Bulgaria,13 (1 -- 65),13,21,33,1,6,10,17,25,65,New confirmed cases by infection date,Likely decreasing,0.86
Estonia,6 (0 -- 37),6,10,15,0,3,4,8,12,37,New confirmed cases by infection date,Likely decreasing,0.81
Lithuania,3 (0 -- 23),3,6,10,0,1,2,4,7,23,New confirmed cases by infection date,Decreasing,0.96
Croatia,2 (0 -- 18),2,5,9,0,0,1,3,6,18,New confirmed cases by infection date,Likely decreasing,0.92
France,0.99 (0.77 -- 1.3),0.99,1,0.16,0.77,0.91,0.96,1,1.1,1.3,Effective reproduction no.,Stable,0.52
Portugal,0.98 (0.81 -- 1.2),0.98,0.99,0.13,0.81,0.91,0.95,1,1.1,1.2,Effective reproduction no.,Stable,0.59
Romania,0.94 (0.78 -- 1.2),0.94,0.96,0.13,0.78,0.88,0.92,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.69
Estonia,0.87 (0.55 -- 1.1),0.87,0.86,0.18,0.55,0.76,0.83,0.91,0.97,1.1,Effective reproduction no.,Likely decreasing,0.81
Bulgaria,0.86 (0.54 -- 1.1),0.86,0.84,0.17,0.54,0.73,0.81,0.89,0.95,1.1,Effective reproduction no.,Likely decreasing,0.86
Croatia,0.77 (0.38 -- 1),0.77,0.74,0.21,0.38,0.6,0.71,0.82,0.89,1,Effective reproduction no.,Likely decreasing,0.92
Lithuania,0.71 (0.37 -- 0.98),0.71,0.7,0.19,0.37,0.57,0.66,0.76,0.84,0.98,Effective reproduction no.,Decreasing,0.96
