forecaster_id,forecast_date,expert,leaderboard,board_name,distribution,median,width,horizon,target_end_date,submission_date,location_name,target_type,location,inc_hosp,inc_case,inc_death,forecast_duration,forecast_week,quantile,value,type,target
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.01,186795.772922445,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.025,193766.589073742,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.05,199969.593272611,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.1,207368.110906008,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.15,212513.888759854,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.2,216694.507190163,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.25,220346.588510495,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.3,223678.696784104,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.35,226811.355151805,quantile,1 wk ahead inc case
253412,2021-08-23T00:00:00Z,TRUE,yes,BQuilty,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34,0.4,229824.499897795,quantile,1 wk ahead inc case
