Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,99 (37 -- 261),Likely decreasing,0.94 (0.71 -- 1.2),-0.082 (-0.42 -- 0.2),-8.4 (3.5 -- -1.6)
Belgium,42 (13 -- 137),Likely decreasing,0.92 (0.67 -- 1.2),-0.1 (-0.51 -- 0.2),-6.7 (3.4 -- -1.4)
Bulgaria,61 (18 -- 213),Likely decreasing,0.84 (0.6 -- 1.1),-0.22 (-0.62 -- 0.061),-3.2 (11 -- -1.1)
Croatia,45 (10 -- 208),Likely decreasing,0.87 (0.62 -- 1.1),-0.18 (-0.59 -- 0.1),-3.9 (6.9 -- -1.2)
Czechia,4 (0 -- 27),Decreasing,0.71 (0.36 -- 0.96),-0.43 (-1.2 -- -0.053),-1.6 (-13 -- -0.58)
Denmark,44 (13 -- 145),Likely decreasing,0.84 (0.6 -- 1.1),-0.22 (-0.62 -- 0.075),-3.1 (9.3 -- -1.1)
Estonia,11 (2 -- 49),Likely decreasing,0.88 (0.61 -- 1.1),-0.16 (-0.6 -- 0.14),-4.4 (5 -- -1.1)
Finland,275 (81 -- 1090),Likely decreasing,0.93 (0.7 -- 1.2),-0.09 (-0.45 -- 0.24),-7.7 (2.8 -- -1.5)
France,1154 (553 -- 2838),Likely decreasing,0.9 (0.71 -- 1.1),-0.13 (-0.43 -- 0.15),-5.2 (4.6 -- -1.6)
Germany,220 (67 -- 767),Likely decreasing,0.8 (0.53 -- 1.1),-0.28 (-0.78 -- 0.069),-2.5 (10 -- -0.89)
Greece,253 (123 -- 534),Likely decreasing,0.95 (0.83 -- 1.2),-0.067 (-0.23 -- 0.26),-10 (2.6 -- -3)
Hungary,9 (1 -- 46),Likely decreasing,0.85 (0.55 -- 1.1),-0.21 (-0.73 -- 0.076),-3.3 (9.1 -- -0.95)
Ireland,20 (5 -- 73),Decreasing,0.78 (0.56 -- 0.96),-0.31 (-0.71 -- -0.052),-2.2 (-13 -- -0.98)
Italy,110 (53 -- 243),Decreasing,0.6 (0.49 -- 0.71),-0.62 (-0.85 -- -0.43),-1.1 (-1.6 -- -0.81)
Latvia,9 (1 -- 41),Decreasing,0.71 (0.46 -- 0.96),-0.42 (-0.95 -- -0.051),-1.6 (-13 -- -0.73)
Lithuania,0 (0 -- 9),Decreasing,0.53 (0.19 -- 0.91),-0.78 (-1.8 -- -0.12),-0.89 (-5.8 -- -0.38)
Malta,42 (12 -- 165),Likely increasing,1.1 (0.86 -- 1.4),0.074 (-0.2 -- 0.47),9.3 (1.5 -- -3.5)
Poland,21 (6 -- 74),Likely decreasing,0.87 (0.68 -- 1.1),-0.17 (-0.48 -- 0.084),-4 (8.3 -- -1.4)
Portugal,430 (229 -- 851),Likely decreasing,0.94 (0.83 -- 1.1),-0.074 (-0.23 -- 0.076),-9.3 (9.1 -- -3)
Romania,33 (10 -- 107),Likely decreasing,0.87 (0.65 -- 1),-0.18 (-0.52 -- 0.052),-3.9 (13 -- -1.3)
Slovakia,1 (0 -- 14),Stable,0.96 (0.58 -- 1.3),-0.058 (-0.67 -- 0.37),-12 (1.9 -- -1)
Slovenia,15 (3 -- 62),Decreasing,0.71 (0.46 -- 0.95),-0.42 (-0.93 -- -0.064),-1.6 (-11 -- -0.75)
Spain,536 (172 -- 1510),Likely decreasing,0.87 (0.58 -- 1.1),-0.17 (-0.66 -- 0.067),-4 (10 -- -1)
Sweden,101 (31 -- 334),Decreasing,0.75 (0.54 -- 0.95),-0.36 (-0.76 -- -0.072),-1.9 (-9.6 -- -0.92)
