Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,70 (31 -- 167),Decreasing,0.74 (0.58 -- 0.89),-0.37 (-0.66 -- -0.15),-1.9 (-4.6 -- -1.1)
Belgium,69 (28 -- 163),Decreasing,0.75 (0.58 -- 0.9),-0.35 (-0.66 -- -0.13),-2 (-5.3 -- -1.1)
Bulgaria,225 (108 -- 542),Likely decreasing,0.96 (0.82 -- 1.1),-0.051 (-0.26 -- 0.14),-14 (5 -- -2.7)
Cyprus,4 (0 -- 22),Likely decreasing,0.89 (0.52 -- 1.2),-0.14 (-0.8 -- 0.23),-4.9 (3 -- -0.87)
Denmark,99 (28 -- 373),Decreasing,0.69 (0.48 -- 0.93),-0.46 (-0.88 -- -0.093),-1.5 (-7.5 -- -0.79)
Estonia,29 (7 -- 91),Likely decreasing,0.83 (0.56 -- 1),-0.23 (-0.71 -- 0.026),-3 (26 -- -0.98)
Finland,1009 (266 -- 3817),Likely decreasing,0.9 (0.62 -- 1.1),-0.13 (-0.6 -- 0.13),-5.2 (5.3 -- -1.2)
France,1931 (1035 -- 3991),Decreasing,0.87 (0.74 -- 0.99),-0.18 (-0.37 -- -0.015),-3.8 (-47 -- -1.9)
Germany,210 (105 -- 490),Decreasing,0.63 (0.5 -- 0.78),-0.57 (-0.85 -- -0.31),-1.2 (-2.2 -- -0.82)
Greece,754 (443 -- 1534),Likely decreasing,0.94 (0.81 -- 1),-0.08 (-0.26 -- 0.051),-8.7 (14 -- -2.7)
Hungary,37 (11 -- 103),Decreasing,0.83 (0.59 -- 0.99),-0.24 (-0.65 -- -0.0094),-2.9 (-74 -- -1.1)
Ireland,66 (15 -- 283),Likely decreasing,0.79 (0.52 -- 1),-0.3 (-0.8 -- 0.024),-2.3 (28 -- -0.87)
Italy,1780 (792 -- 4572),Decreasing,0.8 (0.59 -- 0.97),-0.28 (-0.66 -- -0.035),-2.5 (-20 -- -1.1)
Liechtenstein,0 (0 -- 6),Likely decreasing,0.83 (0.3 -- 1.2),-0.24 (-1.4 -- 0.19),-2.9 (3.6 -- -0.5)
Lithuania,34 (11 -- 108),Stable,1 (0.8 -- 1.2),-0.00039 (-0.28 -- 0.28),-1800 (2.5 -- -2.4)
Malta,19 (4 -- 86),Likely increasing,1.1 (0.88 -- 1.5),0.13 (-0.16 -- 0.57),5.2 (1.2 -- -4.2)
Poland,71 (26 -- 221),Decreasing,0.73 (0.55 -- 0.93),-0.39 (-0.73 -- -0.098),-1.8 (-7.1 -- -0.95)
Portugal,784 (402 -- 1772),Likely increasing,1 (0.9 -- 1.1),0.025 (-0.13 -- 0.18),28 (3.9 -- -5.4)
Romania,77 (33 -- 181),Decreasing,0.79 (0.63 -- 0.94),-0.3 (-0.58 -- -0.082),-2.3 (-8.4 -- -1.2)
Slovakia,1 (0 -- 15),Decreasing,0.57 (0.27 -- 0.9),-0.7 (-1.5 -- -0.14),-1 (-5 -- -0.46)
Slovenia,43 (13 -- 155),Decreasing,0.65 (0.45 -- 0.88),-0.53 (-0.95 -- -0.16),-1.3 (-4.4 -- -0.73)
Spain,1140 (426 -- 3109),Likely decreasing,0.9 (0.65 -- 1.1),-0.13 (-0.54 -- 0.087),-5.3 (8 -- -1.3)
Sweden,379 (134 -- 1442),Likely decreasing,0.77 (0.47 -- 1),-0.32 (-0.91 -- 0.025),-2.2 (28 -- -0.77)
