Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,89 (36 -- 181),Stable,1 (0.86 -- 1.2),0.0087 (-0.19 -- 0.22),80 (3.2 -- -3.6)
Belgium,36 (14 -- 83),Stable,1 (0.77 -- 1.2),-0.0019 (-0.32 -- 0.28),-360 (2.5 -- -2.2)
Bulgaria,20 (3 -- 86),Decreasing,0.75 (0.51 -- 0.97),-0.35 (-0.83 -- -0.036),-2 (-19 -- -0.84)
Croatia,30 (7 -- 105),Likely decreasing,0.91 (0.63 -- 1.1),-0.13 (-0.57 -- 0.17),-5.5 (4 -- -1.2)
Czechia,13 (2 -- 61),Stable,1 (0.76 -- 1.3),0.0031 (-0.34 -- 0.34),220 (2 -- -2)
Denmark,40 (14 -- 134),Likely decreasing,0.9 (0.66 -- 1.2),-0.14 (-0.52 -- 0.19),-5.1 (3.7 -- -1.3)
Estonia,6 (0 -- 34),Likely decreasing,0.91 (0.58 -- 1.2),-0.12 (-0.67 -- 0.22),-5.7 (3.2 -- -1)
Finland,213 (48 -- 971),Likely decreasing,0.94 (0.66 -- 1.2),-0.079 (-0.52 -- 0.22),-8.8 (3.1 -- -1.3)
France,1168 (561 -- 2176),Stable,0.98 (0.82 -- 1.2),-0.029 (-0.25 -- 0.2),-24 (3.5 -- -2.8)
Germany,231 (105 -- 502),Stable,0.99 (0.8 -- 1.2),-0.016 (-0.28 -- 0.25),-45 (2.8 -- -2.5)
Greece,428 (223 -- 918),Likely increasing,1.1 (0.91 -- 1.3),0.071 (-0.11 -- 0.3),9.8 (2.3 -- -6.1)
Hungary,16 (4 -- 62),Stable,1 (0.76 -- 1.3),-0.0041 (-0.34 -- 0.32),-170 (2.1 -- -2)
Ireland,67 (26 -- 178),Likely decreasing,0.95 (0.77 -- 1.2),-0.062 (-0.33 -- 0.22),-11 (3.1 -- -2.1)
Italy,214 (76 -- 719),Decreasing,0.75 (0.55 -- 0.98),-0.36 (-0.73 -- -0.021),-2 (-33 -- -0.95)
Latvia,18 (5 -- 79),Likely decreasing,0.9 (0.72 -- 1.2),-0.13 (-0.41 -- 0.19),-5.2 (3.7 -- -1.7)
Lithuania,4 (0 -- 19),Stable,1 (0.67 -- 1.3),0.032 (-0.5 -- 0.31),22 (2.2 -- -1.4)
Malta,39 (11 -- 147),Likely increasing,1 (0.82 -- 1.3),0.059 (-0.25 -- 0.39),12 (1.8 -- -2.8)
Poland,20 (4 -- 81),Likely decreasing,0.93 (0.72 -- 1.2),-0.09 (-0.4 -- 0.19),-7.7 (3.6 -- -1.7)
Portugal,628 (319 -- 1395),Likely increasing,1 (0.92 -- 1.2),0.045 (-0.11 -- 0.27),15 (2.6 -- -6.5)
Romania,35 (10 -- 122),Likely decreasing,0.93 (0.72 -- 1.1),-0.094 (-0.42 -- 0.15),-7.4 (4.6 -- -1.7)
Slovenia,9 (1 -- 47),Likely decreasing,0.77 (0.49 -- 1),-0.33 (-0.87 -- 0.022),-2.1 (32 -- -0.8)
Spain,455 (212 -- 1028),Stable,0.99 (0.79 -- 1.2),-0.0097 (-0.29 -- 0.26),-71 (2.7 -- -2.4)
