region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,88 (33 -- 250),88,108,77,33,58,75,103,133,250,New confirmed cases by infection date,Stable,0.48
Latvia,59 (29 -- 126),59,66,31,29,43,52,67,81,126,New confirmed cases by infection date,Stable,0.51
Denmark,34 (10 -- 109),34,44,37,10,22,29,40,55,109,New confirmed cases by infection date,Likely decreasing,0.72
Romania,22 (5 -- 105),22,34,43,5,13,18,28,39,105,New confirmed cases by infection date,Likely decreasing,0.69
Hungary,14 (4 -- 44),14,18,15,4,9,12,17,22,44,New confirmed cases by infection date,Likely increasing,0.36
Lithuania,6 (0 -- 34),6,12,45,0,3,5,8,13,34,New confirmed cases by infection date,Likely decreasing,0.67
Hungary,1.1 (0.83 -- 1.4),1.1,1.1,0.2,0.83,0.96,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.36
Estonia,1 (0 -- 9),1,3,7,0,0,0,1,3,9,New confirmed cases by infection date,Likely decreasing,0.68
Latvia,1 (0.84 -- 1.2),1,1,0.1,0.84,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.51
Portugal,1 (0.82 -- 1.2),1,1,0.12,0.82,0.94,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.48
Lithuania,0.94 (0.63 -- 1.2),0.94,0.93,0.18,0.63,0.84,0.9,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Romania,0.94 (0.69 -- 1.2),0.94,0.94,0.15,0.69,0.86,0.91,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.69
Denmark,0.93 (0.68 -- 1.2),0.93,0.93,0.15,0.68,0.84,0.9,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Estonia,0.91 (0.47 -- 1.3),0.91,0.9,0.24,0.47,0.77,0.87,0.96,1,1.3,Effective reproduction no.,Likely decreasing,0.68
Bulgaria,0.54 (0.18 -- 0.94),0.54,0.55,0.24,0.18,0.37,0.48,0.62,0.73,0.94,Effective reproduction no.,Decreasing,0.98
Bulgaria,0 (0 -- 10),0,2,6,0,0,0,0,2,10,New confirmed cases by infection date,Decreasing,0.98
