Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,210 (101 -- 491),Decreasing,0.8 (0.64 -- 0.95),-0.27 (-0.55 -- -0.068),-2.5 (-10 -- -1.3)
Belgium,111 (43 -- 325),Decreasing,0.7 (0.53 -- 0.92),-0.44 (-0.77 -- -0.11),-1.6 (-6.4 -- -0.9)
Bulgaria,358 (170 -- 897),Likely increasing,1 (0.88 -- 1.2),0.053 (-0.16 -- 0.26),13 (2.7 -- -4.4)
Croatia,772 (321 -- 2119),Likely increasing,1.1 (0.91 -- 1.3),0.086 (-0.12 -- 0.33),8 (2.1 -- -5.7)
Cyprus,20 (5 -- 161),Likely increasing,1.1 (0.87 -- 1.5),0.11 (-0.16 -- 0.55),6.6 (1.3 -- -4.2)
Czechia,107 (46 -- 254),Decreasing,0.69 (0.54 -- 0.84),-0.45 (-0.74 -- -0.21),-1.5 (-3.2 -- -0.93)
Denmark,475 (192 -- 1204),Likely decreasing,0.93 (0.72 -- 1.1),-0.094 (-0.4 -- 0.1),-7.4 (6.9 -- -1.7)
Estonia,104 (33 -- 372),Likely decreasing,0.95 (0.7 -- 1.2),-0.072 (-0.43 -- 0.18),-9.6 (3.8 -- -1.6)
Finland,1479 (614 -- 4724),Likely increasing,1.1 (0.87 -- 1.3),0.066 (-0.18 -- 0.32),10 (2.2 -- -3.9)
France,4879 (2579 -- 11263),Likely increasing,1 (0.87 -- 1.2),0.031 (-0.17 -- 0.19),22 (3.7 -- -4.1)
Germany,615 (338 -- 1236),Decreasing,0.59 (0.48 -- 0.71),-0.65 (-0.88 -- -0.42),-1.1 (-1.6 -- -0.79)
Greece,755 (454 -- 1364),Stable,1 (0.91 -- 1.2),-0.0019 (-0.12 -- 0.19),-370 (3.6 -- -5.6)
Hungary,88 (33 -- 231),Likely decreasing,0.88 (0.68 -- 1.1),-0.16 (-0.47 -- 0.072),-4.3 (9.6 -- -1.5)
Ireland,96 (24 -- 344),Likely decreasing,0.91 (0.62 -- 1.1),-0.12 (-0.59 -- 0.13),-5.9 (5.3 -- -1.2)
Italy,3414 (1408 -- 9765),Likely decreasing,0.91 (0.7 -- 1.1),-0.12 (-0.44 -- 0.11),-5.8 (6.3 -- -1.6)
Latvia,156 (66 -- 390),Likely decreasing,0.91 (0.72 -- 1),-0.12 (-0.41 -- 0.055),-5.8 (13 -- -1.7)
Liechtenstein,1 (0 -- 11),Likely decreasing,0.93 (0.65 -- 1.3),-0.089 (-0.53 -- 0.34),-7.8 (2 -- -1.3)
Lithuania,25 (6 -- 80),Likely decreasing,0.89 (0.65 -- 1.1),-0.15 (-0.53 -- 0.1),-4.7 (6.8 -- -1.3)
Luxembourg,123 (50 -- 312),Stable,0.99 (0.78 -- 1.2),-0.0069 (-0.3 -- 0.26),-100 (2.7 -- -2.3)
Malta,5 (0 -- 33),Likely decreasing,0.86 (0.51 -- 1.1),-0.19 (-0.8 -- 0.15),-3.6 (4.7 -- -0.86)
Poland,274 (119 -- 795),Decreasing,0.73 (0.57 -- 0.92),-0.39 (-0.68 -- -0.11),-1.8 (-6.6 -- -1)
Portugal,701 (363 -- 1444),Stable,1 (0.9 -- 1.2),-0.0018 (-0.13 -- 0.19),-380 (3.7 -- -5.3)
Romania,358 (167 -- 870),Likely decreasing,0.9 (0.71 -- 1),-0.13 (-0.42 -- 0.058),-5.2 (12 -- -1.7)
Slovakia,19 (3 -- 92),Likely decreasing,0.79 (0.51 -- 1),-0.3 (-0.83 -- 0.016),-2.3 (43 -- -0.84)
Slovenia,316 (132 -- 826),Likely decreasing,0.94 (0.73 -- 1.1),-0.085 (-0.39 -- 0.11),-8.2 (6.5 -- -1.8)
Spain,1147 (492 -- 3078),Likely decreasing,0.94 (0.75 -- 1.1),-0.081 (-0.37 -- 0.15),-8.5 (4.7 -- -1.9)
Sweden,608 (203 -- 1884),Likely decreasing,0.92 (0.69 -- 1.1),-0.11 (-0.46 -- 0.14),-6.3 (5 -- -1.5)
