region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Greece,2024-01-19,,forecast,1.13756019160759,1.14633550254056,0.109767903253338,0.981041042411303,1.06638138666217,1.10764850357612,1.16760158013639,1.22037778347296,1.33123451918724
Hungary,2024-01-04,,estimate,1.04440144900634,1.05089406210815,0.0741847073979181,0.939298515703188,1.00532176959242,1.03035831360391,1.06105903039161,1.09223707891996,1.17833358233003
Hungary,2024-01-05,,estimate,1.0507117749363,1.05399425205554,0.0665667832209679,0.949373090186108,1.01037826310205,1.03481914123507,1.06601134676238,1.09139373631326,1.16772560942975
Hungary,2024-01-06,,estimate,1.05516366250135,1.05662463228664,0.061860206496739,0.960266567866533,1.0140786112363,1.03975331570921,1.06899984170164,1.09485342781218,1.16251635853301
Hungary,2024-01-07,,estimate,1.05653581863031,1.0578410180077,0.0600230915770085,0.963188867531261,1.0178038126525,1.04126691958703,1.0709293845855,1.09525922957596,1.16257574273068
Hungary,2024-01-08,,estimate,1.05743326772877,1.05696202928715,0.0596785993116764,0.960411650010143,1.0176422888204,1.04013247609071,1.07052092538644,1.0929751934249,1.15917106053196
Hungary,2024-01-09,,estimate,1.05249761579734,1.05387689778271,0.0612377368711735,0.955295775915635,1.01421539305181,1.03822076870197,1.06622221189909,1.08814195818732,1.16191940822583
Hungary,2024-01-10,,estimate,1.04527599955607,1.04912518426467,0.0673135478626082,0.939430012844213,1.00686275294535,1.03288983168076,1.06139936435598,1.08627487631885,1.16990958501563
Hungary,2024-01-11,,estimate based on partial data,1.04026578389115,1.04368294408689,0.0790253127305981,0.919668301483186,0.995604433379581,1.02472407478797,1.05748373986829,1.08593671473996,1.18136274180839
Hungary,2024-01-12,,estimate based on partial data,1.03620407426707,1.03859391796679,0.0937771007561873,0.892686354942323,0.98487538791584,1.01950553376382,1.05316800085946,1.08682498504034,1.19959703767213
Hungary,2024-01-13,,estimate based on partial data,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-14,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-15,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-16,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-17,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-18,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Hungary,2024-01-19,,forecast,1.03254166140484,1.03466726875526,0.107361754040957,0.864987784993015,0.976415927730858,1.0156800736457,1.05081613946933,1.08671237748117,1.21639073986148
Ireland,2024-01-04,,estimate,0.96340523294258,0.968565426410492,0.0716326192859111,0.856068274228159,0.921314360917021,0.947378741876983,0.980989589544422,1.01157591859216,1.09388664751936
Ireland,2024-01-05,,estimate,0.963953974155512,0.967330673732133,0.0627811456188283,0.8682831496046,0.925975195040824,0.948842688874096,0.978943711615228,1.00489691174418,1.07651781630471
Ireland,2024-01-06,,estimate,0.96130173089223,0.965710129109872,0.0562185023551043,0.87823287796389,0.928631469114716,0.949282348043399,0.976395871638728,1.00032360275928,1.06393257914188
Ireland,2024-01-07,,estimate,0.959663259738718,0.963474699933663,0.0528239662736146,0.881260541942657,0.929200826834382,0.948568410111981,0.974275546623994,0.995198997057428,1.05398817059265
Ireland,2024-01-08,,estimate,0.95789423339089,0.960418658195183,0.0526748512053282,0.877025725238466,0.925814035589457,0.946072813168748,0.970936476810187,0.994022925298875,1.04720823187459
Ireland,2024-01-09,,estimate,0.954929074953798,0.956487528332285,0.0559987213068895,0.868459214335413,0.921507848385666,0.942017116878985,0.967652462306414,0.991067016658012,1.04834770915979
Ireland,2024-01-10,,estimate,0.950332545358328,0.951841258397594,0.063175503913285,0.852500973797437,0.912744333004891,0.935797049704686,0.964652068762326,0.989137385948138,1.05780414607121
Ireland,2024-01-11,,estimate,0.94508829798434,0.946844556046393,0.0739288664661451,0.829754988920555,0.89958687237558,0.928557219622738,0.962141320074701,0.990549977473777,1.06993182200839
Ireland,2024-01-12,,estimate based on partial data,0.941257828001323,0.94199384297458,0.0870440154725497,0.803220142741009,0.888935066963089,0.923112948408406,0.960920021939254,0.991976818206607,1.08331422120291
Ireland,2024-01-13,,estimate based on partial data,0.938540754761601,0.937794425444405,0.100681408837332,0.777196295367409,0.876779010454861,0.917948274458069,0.958527306690695,0.994808221641028,1.09846065580834
Ireland,2024-01-14,,estimate based on partial data,0.936597883540149,0.934630872242862,0.112712143387656,0.753181393273755,0.868239154515397,0.913825651771307,0.957655671874724,0.997288747078623,1.11113471892121
Ireland,2024-01-15,,forecast,0.936597883540149,0.934630872242862,0.112712143387656,0.753181393273755,0.868239154515397,0.913825651771307,0.957655671874724,0.997288747078623,1.11113471892121
Ireland,2024-01-16,,forecast,0.936597883540149,0.934630872242862,0.112712143387656,0.753181393273755,0.868239154515397,0.913825651771307,0.957655671874724,0.997288747078623,1.11113471892121
