Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,1723 (630 -- 4984),Increasing,1.3 (1 -- 1.7),0.29 (0.039 -- 0.67),2.4 (1 -- 18)
Belgium,47898 (23042 -- 109946),Likely increasing,1.1 (0.92 -- 1.2),0.084 (-0.11 -- 0.25),8.2 (2.8 -- -6.2)
Bulgaria,16568 (9310 -- 34614),Likely increasing,1 (0.91 -- 1.1),0.029 (-0.12 -- 0.15),24 (4.7 -- -6)
Croatia,61012 (24558 -- 166271),Likely decreasing,0.96 (0.73 -- 1.1),-0.048 (-0.4 -- 0.15),-14 (4.6 -- -1.8)
Cyprus,1645 (682 -- 4418),Likely decreasing,0.86 (0.67 -- 1),-0.19 (-0.49 -- 0.015),-3.6 (45 -- -1.4)
Czechia,520469 (170941 -- 1430890),Increasing,1.3 (1.1 -- 1.6),0.33 (0.075 -- 0.58),2.1 (1.2 -- 9.3)
Denmark,10067 (4857 -- 22932),Stable,1 (0.83 -- 1.2),0.027 (-0.23 -- 0.28),26 (2.5 -- -3)
France,43698 (21244 -- 93914),Increasing,1.2 (1 -- 1.4),0.25 (0.025 -- 0.48),2.8 (1.4 -- 28)
Greece,75176 (45956 -- 142044),Likely decreasing,0.99 (0.9 -- 1.1),-0.018 (-0.14 -- 0.097),-39 (7.1 -- -5)
Hungary,39938 (11404 -- 130136),Likely increasing,1.1 (0.73 -- 1.4),0.16 (-0.37 -- 0.48),4.3 (1.4 -- -1.8)
Iceland,314 (146 -- 773),Likely decreasing,0.91 (0.76 -- 1),-0.12 (-0.35 -- 0.051),-5.8 (14 -- -2)
Ireland,5803 (3446 -- 10776),Decreasing,0.9 (0.8 -- 0.98),-0.13 (-0.27 -- -0.025),-5.5 (-28 -- -2.5)
Liechtenstein,33 (8 -- 147),Likely increasing,1.1 (0.84 -- 1.4),0.1 (-0.22 -- 0.46),6.8 (1.5 -- -3.1)
Lithuania,70240 (26731 -- 215307),Likely decreasing,0.95 (0.67 -- 1.1),-0.07 (-0.48 -- 0.17),-10 (4 -- -1.4)
Luxembourg,7467 (3770 -- 15847),Likely increasing,1.1 (0.97 -- 1.3),0.13 (-0.044 -- 0.32),5.4 (2.2 -- -16)
Malta,117 (58 -- 264),Decreasing,0.83 (0.69 -- 0.98),-0.24 (-0.46 -- -0.028),-2.9 (-25 -- -1.5)
Norway,16209 (8821 -- 34266),Likely decreasing,0.92 (0.8 -- 1),-0.1 (-0.27 -- 0.048),-6.9 (14 -- -2.5)
Poland,171937 (65829 -- 552200),Likely decreasing,0.89 (0.57 -- 1.1),-0.14 (-0.69 -- 0.12),-4.8 (5.9 -- -1)
Portugal,3636 (2024 -- 7347),Decreasing,0.88 (0.74 -- 0.99),-0.16 (-0.38 -- -0.017),-4.4 (-42 -- -1.8)
Romania,1429 (692 -- 3324),Decreasing,0.58 (0.46 -- 0.74),-0.67 (-0.93 -- -0.38),-1 (-1.8 -- -0.74)
Slovakia,50988 (16944 -- 157960),Likely increasing,1.2 (0.93 -- 1.5),0.24 (-0.096 -- 0.52),2.9 (1.3 -- -7.2)
Sweden,14256 (8276 -- 25949),Likely decreasing,0.99 (0.91 -- 1.1),-0.019 (-0.11 -- 0.11),-37 (6.3 -- -6)
