region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,566269 (239681 -- 1571140),566269,693909,470547,239681,402088,491292,657897,844885,1571140,New confirmed cases by infection date,Likely increasing,0.34
Netherlands,291714 (102836 -- 930399),291714,375968,304730,102836,187199,247630,344585,463689,930399,New confirmed cases by infection date,Likely increasing,0.18
Italy,195206 (94041 -- 393066),195206,212030,94767,94041,144714,174006,218211,259988,393066,New confirmed cases by infection date,Likely increasing,0.2
Austria,165705 (60686 -- 482330),165705,206681,168567,60686,108872,142667,192087,254625,482330,New confirmed cases by infection date,Likely increasing,0.18
Greece,102217 (35178 -- 281098),102217,122560,81949,35178,66438,87204,120117,152742,281098,New confirmed cases by infection date,Likely increasing,0.16
United Kingdom,91911 (40716 -- 262983),91911,116418,110423,40716,67032,81485,103765,128662,262983,New confirmed cases by infection date,Likely decreasing,0.76
France,87749 (23287 -- 427722),87749,140621,182040,23287,51023,72011,109348,158833,427722,New confirmed cases by infection date,Likely decreasing,0.63
Switzerland,67127 (28365 -- 291168),67127,106617,162826,28365,46092,57431,78753,106224,291168,New confirmed cases by infection date,Likely increasing,0.37
Spain,34970 (9801 -- 139851),34970,52658,91355,9801,21069,28809,41750,56852,139851,New confirmed cases by infection date,Likely decreasing,0.77
Poland,26647 (13652 -- 49579),26647,28461,11688,13652,20418,24117,29103,34340,49579,New confirmed cases by infection date,Stable,0.47
Slovakia,25302 (9842 -- 69338),25302,30673,20576,9842,17150,21539,29443,38363,69338,New confirmed cases by infection date,Stable,0.53
Denmark,18873 (5832 -- 56700),18873,24214,22138,5832,12021,16138,22285,30015,56700,New confirmed cases by infection date,Likely decreasing,0.88
Finland,15006 (6150 -- 78600),15006,25960,49558,6150,10162,12988,17598,23946,78600,New confirmed cases by infection date,Stable,0.47
Czechia,12589 (2895 -- 78642),12589,24380,44611,2895,6818,10122,16126,24403,78642,New confirmed cases by infection date,Likely decreasing,0.69
