Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,165705 (60686 -- 482330),Likely increasing,1.3 (0.78 -- 2.3),0.054 (-0.044 -- 0.16),13 (4.3 -- -16)
Belgium,10029 (2503 -- 57394),Likely decreasing,0.85 (0.53 -- 1.7),-0.029 (-0.11 -- 0.1),-24 (6.8 -- -6.2)
Bulgaria,3248 (1700 -- 6716),Stable,0.95 (0.63 -- 1.5),-0.0098 (-0.08 -- 0.071),-70 (9.8 -- -8.7)
Croatia,3331 (1543 -- 7911),Likely increasing,1.1 (0.71 -- 1.8),0.014 (-0.06 -- 0.11),48 (6.4 -- -12)
Cyprus,6363 (3313 -- 15404),Stable,1 (0.84 -- 1.4),0.00076 (-0.032 -- 0.064),910 (11 -- -21)
Czechia,12589 (2895 -- 78642),Likely decreasing,0.81 (0.45 -- 1.8),-0.037 (-0.14 -- 0.11),-19 (6.3 -- -5)
Denmark,18873 (5832 -- 56700),Likely decreasing,0.74 (0.45 -- 1.2),-0.053 (-0.14 -- 0.025),-13 (27 -- -5.1)
Estonia,2560 (1313 -- 4786),Decreasing,0.66 (0.44 -- 0.96),-0.073 (-0.14 -- -0.008),-9.5 (-87 -- -4.9)
Finland,15006 (6150 -- 78600),Stable,1 (0.8 -- 1.9),0.0019 (-0.04 -- 0.12),370 (5.9 -- -17)
France,87749 (23287 -- 427722),Likely decreasing,0.88 (0.47 -- 1.7),-0.022 (-0.13 -- 0.1),-32 (6.6 -- -5.4)
Germany,566269 (239681 -- 1571140),Likely increasing,1.1 (0.76 -- 1.7),0.017 (-0.05 -- 0.1),42 (6.7 -- -14)
Greece,102217 (35178 -- 281098),Likely increasing,1.6 (0.69 -- 3.6),0.089 (-0.067 -- 0.25),7.8 (2.7 -- -10)
Hungary,2729 (839 -- 9333),Likely decreasing,0.76 (0.42 -- 1.4),-0.049 (-0.15 -- 0.056),-14 (12 -- -4.7)
Iceland,9142 (3300 -- 20549),Likely increasing,1.1 (0.76 -- 1.3),0.015 (-0.05 -- 0.053),46 (13 -- -14)
Ireland,6295 (1930 -- 30539),Likely decreasing,0.93 (0.62 -- 1.6),-0.013 (-0.085 -- 0.09),-52 (7.7 -- -8.1)
Italy,195206 (94041 -- 393066),Likely increasing,1.3 (0.76 -- 2.1),0.051 (-0.05 -- 0.14),14 (4.8 -- -14)
Latvia,10699 (5101 -- 21086),Likely decreasing,0.84 (0.56 -- 1.2),-0.031 (-0.1 -- 0.031),-22 (23 -- -6.8)
Liechtenstein,581 (282 -- 1707),Likely increasing,1.1 (0.89 -- 1.8),0.018 (-0.022 -- 0.11),39 (6.6 -- -31)
Lithuania,9290 (5020 -- 15915),Likely decreasing,0.92 (0.6 -- 1.3),-0.014 (-0.088 -- 0.049),-48 (14 -- -7.9)
Luxembourg,2610 (1030 -- 7018),Likely increasing,1.1 (0.63 -- 2.2),0.025 (-0.081 -- 0.15),27 (4.7 -- -8.5)
Malta,368 (122 -- 928),Stable,0.99 (0.42 -- 1.9),-0.0024 (-0.15 -- 0.12),-280 (5.6 -- -4.7)
Netherlands,291714 (102836 -- 930399),Likely increasing,1.3 (0.79 -- 2.3),0.05 (-0.043 -- 0.16),14 (4.4 -- -16)
Norway,5289 (2577 -- 9829),Decreasing,0.56 (0.35 -- 0.81),-0.1 (-0.17 -- -0.038),-6.9 (-18 -- -4)
Poland,26647 (13652 -- 49579),Stable,1 (0.62 -- 1.6),0.0032 (-0.082 -- 0.084),210 (8.3 -- -8.4)
Portugal,11907 (2748 -- 45353),Likely decreasing,0.77 (0.36 -- 1.4),-0.047 (-0.17 -- 0.064),-15 (11 -- -4)
Romania,2513 (1005 -- 5663),Decreasing,0.51 (0.25 -- 0.92),-0.12 (-0.23 -- -0.014),-5.9 (-48 -- -3.1)
Slovakia,25302 (9842 -- 69338),Stable,0.96 (0.55 -- 1.7),-0.0068 (-0.1 -- 0.1),-100 (6.7 -- -6.7)
Slovenia,10298 (4896 -- 21076),Likely increasing,1.6 (0.95 -- 2.4),0.086 (-0.01 -- 0.17),8.1 (4 -- -67)
Spain,34970 (9801 -- 139851),Likely decreasing,0.85 (0.57 -- 1.4),-0.029 (-0.099 -- 0.06),-24 (11 -- -7)
Sweden,2436 (328 -- 25221),Likely decreasing,0.82 (0.33 -- 2.2),-0.036 (-0.18 -- 0.16),-19 (4.4 -- -3.8)
Switzerland,67127 (28365 -- 291168),Likely increasing,1.1 (0.79 -- 2.1),0.0091 (-0.042 -- 0.13),76 (5.3 -- -16)
United Kingdom,91911 (40716 -- 262983),Likely decreasing,0.91 (0.72 -- 1.4),-0.017 (-0.059 -- 0.057),-40 (12 -- -12)
