region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Hungary,0.92 (0.77 -- 1.1),0.92,0.92,0.096,0.77,0.87,0.9,0.94,0.97,1.1,Effective reproduction no.,Likely decreasing,0.84
Lithuania,0.91 (0.7 -- 1.1),0.91,0.91,0.12,0.7,0.83,0.89,0.94,0.98,1.1,Effective reproduction no.,Likely decreasing,0.8
Malta,0.91 (0.58 -- 1.2),0.91,0.9,0.18,0.58,0.79,0.87,0.94,1,1.2,Effective reproduction no.,Likely decreasing,0.74
Slovakia,0.91 (0.65 -- 1.1),0.91,0.9,0.15,0.65,0.81,0.88,0.94,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Sweden,0.91 (0.66 -- 1.1),0.91,0.9,0.14,0.66,0.82,0.88,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.78
Cyprus,0.89 (0.55 -- 1.2),0.89,0.87,0.18,0.55,0.77,0.85,0.92,0.98,1.2,Effective reproduction no.,Likely decreasing,0.79
Slovenia,0.86 (0.64 -- 1),0.86,0.86,0.13,0.64,0.78,0.83,0.89,0.94,1,Effective reproduction no.,Likely decreasing,0.89
Austria,0.83 (0.7 -- 0.95),0.83,0.83,0.078,0.7,0.79,0.81,0.85,0.88,0.95,Effective reproduction no.,Decreasing,0.98
Belgium,0.76 (0.57 -- 0.93),0.76,0.76,0.11,0.57,0.67,0.72,0.79,0.85,0.93,Effective reproduction no.,Decreasing,1
Czechia,0.76 (0.6 -- 0.94),0.76,0.76,0.1,0.6,0.69,0.73,0.78,0.83,0.94,Effective reproduction no.,Decreasing,0.99
Poland,0.73 (0.5 -- 0.95),0.73,0.73,0.14,0.5,0.63,0.69,0.77,0.83,0.95,Effective reproduction no.,Decreasing,0.97
Germany,0.59 (0.49 -- 0.73),0.59,0.6,0.072,0.49,0.55,0.57,0.61,0.64,0.73,Effective reproduction no.,Decreasing,1
