Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,290 (148 -- 584),Decreasing,0.83 (0.7 -- 0.95),-0.23 (-0.45 -- -0.059),-3 (-12 -- -1.5)
Belgium,214 (78 -- 592),Decreasing,0.76 (0.57 -- 0.93),-0.35 (-0.68 -- -0.094),-2 (-7.4 -- -1)
Bulgaria,450 (195 -- 1168),Likely increasing,1.1 (0.93 -- 1.3),0.11 (-0.094 -- 0.32),6.5 (2.2 -- -7.3)
Croatia,759 (335 -- 2108),Likely increasing,1.1 (0.89 -- 1.3),0.074 (-0.15 -- 0.32),9.4 (2.2 -- -4.7)
Cyprus,7 (0 -- 40),Likely decreasing,0.89 (0.55 -- 1.2),-0.15 (-0.72 -- 0.19),-4.6 (3.6 -- -0.96)
Czechia,185 (84 -- 468),Decreasing,0.76 (0.6 -- 0.94),-0.35 (-0.63 -- -0.081),-2 (-8.6 -- -1.1)
Denmark,536 (210 -- 1467),Stable,0.99 (0.79 -- 1.2),-0.019 (-0.3 -- 0.23),-37 (3.1 -- -2.3)
Estonia,146 (53 -- 446),Stable,1 (0.79 -- 1.2),-0.0045 (-0.3 -- 0.23),-150 (3 -- -2.3)
Finland,1547 (608 -- 3791),Likely increasing,1.1 (0.85 -- 1.3),0.078 (-0.21 -- 0.3),8.9 (2.3 -- -3.3)
France,5521 (3099 -- 11260),Likely increasing,1.1 (0.97 -- 1.2),0.086 (-0.036 -- 0.23),8.1 (3 -- -19)
Germany,651 (372 -- 1341),Decreasing,0.59 (0.49 -- 0.73),-0.65 (-0.85 -- -0.39),-1.1 (-1.8 -- -0.81)
Greece,735 (447 -- 1353),Likely decreasing,0.97 (0.89 -- 1.1),-0.032 (-0.15 -- 0.17),-21 (4.1 -- -4.7)
Hungary,110 (57 -- 273),Likely decreasing,0.92 (0.77 -- 1.1),-0.11 (-0.33 -- 0.12),-6.3 (5.6 -- -2.1)
Ireland,105 (35 -- 302),Likely decreasing,0.93 (0.7 -- 1.1),-0.09 (-0.44 -- 0.13),-7.7 (5.3 -- -1.6)
Italy,4280 (2079 -- 11454),Likely decreasing,0.95 (0.79 -- 1.1),-0.059 (-0.29 -- 0.12),-12 (5.7 -- -2.4)
Latvia,248 (113 -- 599),Likely decreasing,0.97 (0.82 -- 1.1),-0.033 (-0.25 -- 0.15),-21 (4.5 -- -2.8)
Liechtenstein,3 (1 -- 11),Stable,0.97 (0.75 -- 1.3),-0.034 (-0.35 -- 0.34),-20 (2 -- -2)
Lithuania,31 (9 -- 99),Likely decreasing,0.91 (0.7 -- 1.1),-0.12 (-0.44 -- 0.11),-6 (6.3 -- -1.6)
Luxembourg,69 (26 -- 188),Stable,1 (0.78 -- 1.3),0.002 (-0.31 -- 0.32),340 (2.2 -- -2.3)
Malta,8 (1 -- 40),Likely decreasing,0.91 (0.58 -- 1.2),-0.12 (-0.66 -- 0.2),-5.8 (3.5 -- -1)
Poland,403 (143 -- 1429),Decreasing,0.73 (0.5 -- 0.95),-0.4 (-0.83 -- -0.059),-1.7 (-12 -- -0.83)
Portugal,691 (386 -- 1282),Stable,1 (0.9 -- 1.1),-0.00046 (-0.13 -- 0.18),-1500 (3.9 -- -5.3)
Romania,528 (260 -- 1120),Likely decreasing,0.98 (0.82 -- 1.1),-0.028 (-0.24 -- 0.11),-25 (6.1 -- -2.9)
Slovakia,52 (14 -- 179),Likely decreasing,0.91 (0.65 -- 1.1),-0.12 (-0.54 -- 0.16),-5.8 (4.2 -- -1.3)
Slovenia,204 (79 -- 591),Likely decreasing,0.86 (0.64 -- 1),-0.19 (-0.56 -- 0.059),-3.7 (12 -- -1.2)
Spain,1379 (592 -- 3534),Likely decreasing,0.97 (0.79 -- 1.1),-0.044 (-0.3 -- 0.15),-16 (4.5 -- -2.3)
Sweden,633 (220 -- 2130),Likely decreasing,0.91 (0.66 -- 1.1),-0.12 (-0.51 -- 0.14),-6 (4.9 -- -1.4)
