Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,3506 (2238 -- 5232),Decreasing,0.68 (0.52 -- 0.83),-0.067 (-0.11 -- -0.033),-10 (-21 -- -6.1)
Belgium,14218 (7821 -- 27433),Likely decreasing,0.96 (0.74 -- 1.3),-0.0078 (-0.052 -- 0.045),-89 (15 -- -13)
Bulgaria,2443 (879 -- 6323),Likely decreasing,0.77 (0.49 -- 1.2),-0.047 (-0.12 -- 0.032),-15 (22 -- -5.6)
Croatia,4010 (2391 -- 6276),Decreasing,0.73 (0.55 -- 0.9),-0.056 (-0.1 -- -0.018),-12 (-38 -- -6.7)
Cyprus,1044 (329 -- 2953),Likely decreasing,0.66 (0.34 -- 1.2),-0.072 (-0.18 -- 0.038),-9.6 (18 -- -3.8)
Czechia,5916 (3218 -- 11197),Likely decreasing,0.84 (0.64 -- 1.1),-0.031 (-0.077 -- 0.013),-22 (54 -- -9)
Denmark,4609 (2729 -- 8473),Likely increasing,1 (0.9 -- 1.3),0.0056 (-0.018 -- 0.043),120 (16 -- -38)
Estonia,1931 (1176 -- 3284),Likely increasing,1.1 (0.82 -- 1.4),0.01 (-0.036 -- 0.062),67 (11 -- -19)
Finland,1031 (588 -- 1910),Stable,0.99 (0.8 -- 1.3),-0.0019 (-0.04 -- 0.051),-360 (14 -- -17)
France,104414 (33203 -- 257096),Likely decreasing,0.93 (0.63 -- 1.2),-0.013 (-0.082 -- 0.029),-52 (24 -- -8.4)
Germany,82094 (39071 -- 139027),Likely decreasing,0.97 (0.73 -- 1.1),-0.0059 (-0.056 -- 0.019),-120 (36 -- -12)
Greece,9206 (5579 -- 15921),Likely decreasing,0.94 (0.78 -- 1.2),-0.011 (-0.044 -- 0.031),-64 (22 -- -16)
Hungary,3702 (2020 -- 6808),Likely decreasing,0.73 (0.53 -- 1),-0.056 (-0.11 -- 0.0065),-12 (110 -- -6.3)
Iceland,18 (2 -- 92),Likely decreasing,0.75 (0.3 -- 1.4),-0.052 (-0.2 -- 0.061),-13 (11 -- -3.4)
Ireland,1328 (613 -- 2400),Likely decreasing,0.78 (0.48 -- 1.1),-0.043 (-0.13 -- 0.015),-16 (46 -- -5.5)
Italy,34490 (23822 -- 49515),Decreasing,0.84 (0.68 -- 1),-0.031 (-0.068 -- -0.00035),-22 (-2000 -- -10)
Latvia,3163 (2257 -- 4383),Likely increasing,1 (0.9 -- 1.1),0.0049 (-0.019 -- 0.024),140 (29 -- -37)
Liechtenstein,19 (3 -- 69),Likely decreasing,0.77 (0.34 -- 1.2),-0.047 (-0.18 -- 0.027),-15 (25 -- -3.8)
Lithuania,6609 (4122 -- 10458),Likely increasing,1 (0.84 -- 1.3),0.0059 (-0.031 -- 0.047),120 (15 -- -22)
Luxembourg,638 (328 -- 1077),Likely decreasing,0.93 (0.73 -- 1.1),-0.013 (-0.056 -- 0.013),-55 (55 -- -12)
Malta,33 (7 -- 110),Likely decreasing,0.61 (0.24 -- 1.3),-0.085 (-0.23 -- 0.044),-8.1 (16 -- -3)
Netherlands,33099 (24194 -- 45607),Likely decreasing,0.96 (0.83 -- 1.1),-0.0071 (-0.034 -- 0.014),-97 (50 -- -20)
Norway,2292 (1304 -- 4102),Likely increasing,1.1 (0.8 -- 1.5),0.011 (-0.039 -- 0.072),61 (9.6 -- -18)
Poland,14676 (8950 -- 28296),Likely decreasing,0.83 (0.64 -- 1.2),-0.033 (-0.078 -- 0.041),-21 (17 -- -8.9)
Portugal,1123 (672 -- 1926),Likely decreasing,0.85 (0.65 -- 1.1),-0.03 (-0.074 -- 0.021),-23 (33 -- -9.3)
Romania,5376 (3641 -- 9942),Stable,0.98 (0.8 -- 1.5),-0.0038 (-0.039 -- 0.074),-180 (9.4 -- -18)
Slovakia,1398 (919 -- 2084),Decreasing,0.85 (0.7 -- 0.98),-0.029 (-0.063 -- -0.0044),-24 (-160 -- -11)
Slovenia,2819 (1833 -- 4463),Likely decreasing,0.95 (0.77 -- 1.2),-0.0092 (-0.047 -- 0.027),-75 (26 -- -15)
Spain,30219 (5654 -- 101731),Likely decreasing,0.96 (0.52 -- 1.3),-0.007 (-0.11 -- 0.054),-98 (13 -- -6.2)
Sweden,26938 (13194 -- 48109),Stable,1 (0.8 -- 1.2),0.0013 (-0.04 -- 0.03),520 (23 -- -17)
Switzerland,7802 (3124 -- 14789),Likely decreasing,0.96 (0.68 -- 1.1),-0.0083 (-0.068 -- 0.025),-83 (28 -- -10)
United Kingdom,8410 (5584 -- 15348),Likely decreasing,0.93 (0.82 -- 1.2),-0.013 (-0.035 -- 0.028),-54 (25 -- -20)
