Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,57506 (22662 -- 168009),Likely decreasing,0.93 (0.69 -- 1.1),-0.097 (-0.45 -- 0.12),-7.1 (5.9 -- -1.5)
Bulgaria,19720 (11377 -- 37901),Likely decreasing,0.96 (0.83 -- 1.1),-0.046 (-0.23 -- 0.07),-15 (10 -- -3)
Croatia,128676 (42834 -- 438219),Likely increasing,1 (0.83 -- 1.3),0.03 (-0.24 -- 0.35),23 (2 -- -2.9)
Czechia,51470 (15965 -- 188469),Decreasing,0.73 (0.51 -- 0.97),-0.38 (-0.82 -- -0.036),-1.8 (-19 -- -0.85)
Denmark,30536 (9686 -- 97042),Likely decreasing,0.92 (0.67 -- 1.1),-0.11 (-0.5 -- 0.16),-6.6 (4.2 -- -1.4)
Estonia,5947 (2830 -- 14146),Decreasing,0.76 (0.61 -- 0.96),-0.35 (-0.6 -- -0.045),-2 (-15 -- -1.1)
Greece,285907 (127802 -- 801351),Likely decreasing,0.93 (0.58 -- 1.1),-0.093 (-0.67 -- 0.16),-7.4 (4.4 -- -1)
Hungary,13999 (4737 -- 49029),Decreasing,0.76 (0.54 -- 0.99),-0.34 (-0.75 -- -0.01),-2 (-67 -- -0.93)
Iceland,330 (162 -- 759),Decreasing,0.77 (0.6 -- 0.96),-0.32 (-0.64 -- -0.057),-2.1 (-12 -- -1.1)
Ireland,24389 (11750 -- 55806),Likely increasing,1.1 (0.95 -- 1.3),0.1 (-0.069 -- 0.3),6.7 (2.3 -- -10)
Italy,167420 (39782 -- 646274),Decreasing,0.64 (0.36 -- 0.92),-0.55 (-1.2 -- -0.1),-1.3 (-6.6 -- -0.58)
Latvia,5562 (2730 -- 12623),Stable,1 (0.84 -- 1.2),-0.0059 (-0.23 -- 0.23),-120 (3 -- -3)
Lithuania,12225 (3163 -- 62084),Likely decreasing,0.88 (0.66 -- 1.1),-0.17 (-0.52 -- 0.13),-4.1 (5.2 -- -1.3)
Luxembourg,5719 (2148 -- 19971),Likely decreasing,0.91 (0.65 -- 1.1),-0.12 (-0.54 -- 0.11),-5.9 (6.5 -- -1.3)
Malta,3380 (1128 -- 10785),Likely increasing,1.2 (1 -- 1.5),0.25 (-0.0059 -- 0.57),2.8 (1.2 -- -120)
Netherlands,13752 (6124 -- 42232),Decreasing,0.76 (0.54 -- 1),-0.34 (-0.75 -- 0.0026),-2 (260 -- -0.92)
Norway,7478 (4001 -- 16723),Decreasing,0.65 (0.56 -- 0.84),-0.53 (-0.71 -- -0.22),-1.3 (-3.2 -- -0.97)
Poland,136104 (51222 -- 403790),Likely decreasing,0.84 (0.61 -- 1),-0.22 (-0.59 -- 0.035),-3.1 (20 -- -1.2)
Portugal,14206 (7041 -- 33924),Likely decreasing,0.87 (0.66 -- 1),-0.19 (-0.51 -- 0.053),-3.7 (13 -- -1.4)
Romania,46054 (26920 -- 92672),Likely increasing,1.1 (0.98 -- 1.2),0.089 (-0.027 -- 0.22),7.8 (3.2 -- -26)
Slovakia,10952 (2800 -- 52184),Likely decreasing,0.91 (0.68 -- 1.1),-0.12 (-0.47 -- 0.17),-5.8 (4.1 -- -1.5)
Slovenia,4502 (1933 -- 13200),Decreasing,0.68 (0.5 -- 0.96),-0.48 (-0.84 -- -0.046),-1.4 (-15 -- -0.83)
Sweden,8833 (5221 -- 16964),Decreasing,0.65 (0.57 -- 0.79),-0.52 (-0.7 -- -0.31),-1.3 (-2.3 -- -1)
