Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,1714 (607 -- 5016),Increasing,1.3 (1 -- 1.7),0.3 (0.034 -- 0.68),2.3 (1 -- 20)
Belgium,44756 (23776 -- 101402),Likely increasing,1.1 (0.85 -- 1.2),0.072 (-0.2 -- 0.23),9.6 (3 -- -3.4)
Bulgaria,17140 (9390 -- 34710),Likely increasing,1 (0.91 -- 1.1),0.028 (-0.12 -- 0.15),25 (4.7 -- -5.7)
Croatia,61741 (24272 -- 164761),Likely decreasing,0.96 (0.75 -- 1.1),-0.048 (-0.37 -- 0.16),-14 (4.2 -- -1.9)
Cyprus,1571 (669 -- 4440),Likely decreasing,0.85 (0.67 -- 1),-0.2 (-0.49 -- 0.029),-3.5 (24 -- -1.4)
Czechia,507352 (164276 -- 1434230),Increasing,1.3 (1 -- 1.6),0.33 (0.0091 -- 0.62),2.1 (1.1 -- 76)
Denmark,9784 (4676 -- 22511),Stable,1 (0.83 -- 1.2),0.015 (-0.25 -- 0.29),46 (2.4 -- -2.8)
France,44150 (20653 -- 95602),Increasing,1.2 (1 -- 1.4),0.25 (0.02 -- 0.49),2.8 (1.4 -- 34)
Greece,75709 (44172 -- 136007),Likely decreasing,0.99 (0.9 -- 1.1),-0.018 (-0.13 -- 0.09),-40 (7.7 -- -5.2)
Hungary,34811 (10870 -- 125702),Likely increasing,1.1 (0.86 -- 1.4),0.18 (-0.19 -- 0.47),3.9 (1.5 -- -3.6)
Iceland,320 (145 -- 785),Likely decreasing,0.91 (0.77 -- 1),-0.12 (-0.33 -- 0.052),-5.8 (13 -- -2.1)
Ireland,5886 (3382 -- 10852),Decreasing,0.91 (0.81 -- 0.99),-0.12 (-0.27 -- -0.016),-5.7 (-43 -- -2.6)
Liechtenstein,30 (8 -- 148),Likely increasing,1.1 (0.83 -- 1.5),0.087 (-0.23 -- 0.5),8 (1.4 -- -3.1)
Lithuania,69902 (26951 -- 217829),Likely decreasing,0.95 (0.68 -- 1.1),-0.07 (-0.48 -- 0.17),-10 (4.2 -- -1.5)
Luxembourg,7355 (3806 -- 15974),Likely increasing,1.1 (0.97 -- 1.3),0.12 (-0.044 -- 0.32),5.6 (2.2 -- -16)
Malta,119 (60 -- 254),Decreasing,0.82 (0.69 -- 0.98),-0.24 (-0.47 -- -0.03),-2.9 (-23 -- -1.5)
Norway,16473 (8819 -- 33956),Likely decreasing,0.93 (0.8 -- 1),-0.098 (-0.27 -- 0.043),-7.1 (16 -- -2.5)
Poland,173012 (63167 -- 513871),Likely decreasing,0.91 (0.6 -- 1.1),-0.12 (-0.63 -- 0.13),-5.8 (5.4 -- -1.1)
Portugal,3537 (1991 -- 6945),Decreasing,0.88 (0.75 -- 0.98),-0.16 (-0.35 -- -0.023),-4.4 (-30 -- -2)
Romania,1433 (720 -- 3275),Decreasing,0.58 (0.46 -- 0.73),-0.66 (-0.93 -- -0.4),-1 (-1.7 -- -0.75)
Slovakia,50723 (16451 -- 156296),Likely increasing,1.2 (0.93 -- 1.5),0.25 (-0.091 -- 0.53),2.8 (1.3 -- -7.6)
Sweden,14207 (8434 -- 28253),Likely decreasing,0.98 (0.91 -- 1.1),-0.02 (-0.11 -- 0.11),-35 (6.2 -- -6.1)
