region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,87 (34 -- 265),87,108,81,34,57,74,101,130,265,New confirmed cases by infection date,Likely increasing,0.29
France,23 (10 -- 54),23,27,13,10,17,21,27,33,54,New confirmed cases by infection date,Stable,0.49
Romania,21 (4 -- 95),21,34,53,4,11,17,27,40,95,New confirmed cases by infection date,Likely decreasing,0.78
Lithuania,9 (1 -- 43),9,15,18,1,5,7,12,18,43,New confirmed cases by infection date,Likely decreasing,0.74
Bulgaria,4 (0 -- 34),4,9,16,0,1,3,6,11,34,New confirmed cases by infection date,Likely decreasing,0.93
Estonia,3 (0 -- 19),3,5,9,0,1,2,4,7,19,New confirmed cases by infection date,Likely decreasing,0.83
Portugal,1.1 (0.89 -- 1.3),1.1,1.1,0.14,0.89,0.99,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.29
France,1 (0.84 -- 1.2),1,1,0.12,0.84,0.93,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.49
Lithuania,0.92 (0.67 -- 1.2),0.92,0.92,0.16,0.67,0.82,0.89,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.74
Romania,0.9 (0.63 -- 1.1),0.9,0.89,0.16,0.63,0.8,0.86,0.93,0.98,1.1,Effective reproduction no.,Likely decreasing,0.78
Estonia,0.84 (0.47 -- 1.1),0.84,0.82,0.2,0.47,0.69,0.79,0.89,0.96,1.1,Effective reproduction no.,Likely decreasing,0.83
Bulgaria,0.74 (0.38 -- 1),0.74,0.73,0.21,0.38,0.58,0.68,0.79,0.88,1,Effective reproduction no.,Likely decreasing,0.93
