region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,1488 (695 -- 4215),1488,1817,1174,695,1071,1304,1706,2198,4215,New confirmed cases by infection date,Increasing,0.024
Italy,1035 (450 -- 2550),1035,1212,748,450,742,910,1170,1489,2550,New confirmed cases by infection date,Stable,0.44
Greece,988 (488 -- 2002),988,1088,512,488,737,876,1097,1321,2002,New confirmed cases by infection date,Likely increasing,0.054
Sweden,160 (56 -- 535),160,210,194,56,101,135,188,258,535,New confirmed cases by infection date,Likely decreasing,0.77
Finland,148 (64 -- 362),148,171,109,64,106,132,165,200,362,New confirmed cases by infection date,Likely decreasing,0.83
Ireland,106 (39 -- 333),106,138,113,39,70,90,128,165,333,New confirmed cases by infection date,Stable,0.58
Denmark,85 (31 -- 297),85,115,115,31,56,72,100,135,297,New confirmed cases by infection date,Stable,0.46
Croatia,83 (29 -- 258),83,105,84,29,54,71,96,129,258,New confirmed cases by infection date,Likely increasing,0.27
Romania,58 (20 -- 182),58,76,59,20,38,49,70,94,182,New confirmed cases by infection date,Likely decreasing,0.6
Czechia,46 (12 -- 218),46,73,108,12,26,39,57,81,218,New confirmed cases by infection date,Increasing,0.037
Lithuania,35 (7 -- 217),35,62,85,7,19,28,45,68,217,New confirmed cases by infection date,Increasing,0.024
Bulgaria,33 (9 -- 127),33,46,45,9,20,28,40,55,127,New confirmed cases by infection date,Likely decreasing,0.86
Malta,22 (5 -- 88),22,31,36,5,12,17,27,38,88,New confirmed cases by infection date,Likely decreasing,0.7
Poland,21 (5 -- 75),21,28,26,5,13,17,25,34,75,New confirmed cases by infection date,Likely decreasing,0.67
Hungary,13 (2 -- 63),13,22,25,2,7,10,18,29,63,New confirmed cases by infection date,Stable,0.52
Slovenia,13 (2 -- 49),13,18,19,2,7,10,16,22,49,New confirmed cases by infection date,Likely decreasing,0.87
Latvia,12 (2 -- 62),12,21,33,2,6,10,16,24,62,New confirmed cases by infection date,Likely decreasing,0.72
Estonia,3 (0 -- 25),3,7,11,0,1,2,5,8,25,New confirmed cases by infection date,Likely decreasing,0.83
Lithuania,1.6 (1.1 -- 2.7),1.6,1.7,0.46,1.1,1.4,1.5,1.7,1.8,2.7,Effective reproduction no.,Increasing,0.024
Czechia,1.3 (1 -- 1.9),1.3,1.4,0.28,1,1.2,1.2,1.4,1.5,1.9,Effective reproduction no.,Increasing,0.037
Portugal,1.2 (1 -- 1.4),1.2,1.2,0.11,1,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Increasing,0.024
Croatia,1.1 (0.9 -- 1.4),1.1,1.1,0.16,0.9,0.99,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.27
Greece,1.1 (1 -- 1.3),1.1,1.1,0.099,1,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.054
Denmark,1 (0.83 -- 1.3),1,1,0.14,0.83,0.94,0.99,1,1.1,1.3,Effective reproduction no.,Stable,0.46
Italy,1 (0.88 -- 1.2),1,1,0.11,0.88,0.96,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.44
Hungary,0.99 (0.7 -- 1.4),0.99,1,0.22,0.7,0.88,0.95,1,1.1,1.4,Effective reproduction no.,Stable,0.52
Ireland,0.98 (0.76 -- 1.2),0.98,0.98,0.13,0.76,0.91,0.95,1,1,1.2,Effective reproduction no.,Stable,0.58
Romania,0.97 (0.8 -- 1.2),0.97,0.98,0.11,0.8,0.91,0.95,1,1,1.2,Effective reproduction no.,Likely decreasing,0.6
Poland,0.96 (0.75 -- 1.2),0.96,0.96,0.13,0.75,0.89,0.93,0.98,1,1.2,Effective reproduction no.,Likely decreasing,0.67
Malta,0.94 (0.7 -- 1.1),0.94,0.93,0.14,0.7,0.86,0.91,0.97,1,1.1,Effective reproduction no.,Likely decreasing,0.7
Finland,0.92 (0.74 -- 1.1),0.92,0.92,0.1,0.74,0.85,0.9,0.94,0.98,1.1,Effective reproduction no.,Likely decreasing,0.83
Latvia,0.92 (0.6 -- 1.2),0.92,0.91,0.18,0.6,0.8,0.88,0.96,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Sweden,0.92 (0.73 -- 1.1),0.92,0.92,0.13,0.73,0.85,0.89,0.95,0.99,1.1,Effective reproduction no.,Likely decreasing,0.77
Bulgaria,0.87 (0.67 -- 1.1),0.87,0.88,0.14,0.67,0.8,0.84,0.9,0.95,1.1,Effective reproduction no.,Likely decreasing,0.86
Slovenia,0.86 (0.59 -- 1.1),0.86,0.85,0.15,0.59,0.76,0.83,0.89,0.94,1.1,Effective reproduction no.,Likely decreasing,0.87
Estonia,0.84 (0.51 -- 1.1),0.84,0.83,0.19,0.51,0.7,0.78,0.89,0.96,1.1,Effective reproduction no.,Likely decreasing,0.83
