Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,1551 (510 -- 6867),Likely increasing,1.1 (0.93 -- 1.3),0.01 (-0.013 -- 0.049),68 (14 -- -53)
Cyprus,9 (3 -- 35),Likely decreasing,0.94 (0.8 -- 1.1),-0.012 (-0.04 -- 0.014),-59 (51 -- -18)
Czechia,115 (0 -- 4869),Likely increasing,1.9 (0.96 -- 2.4),0.0089 (-0.015 -- 0.04),78 (18 -- -45)
Denmark,362 (118 -- 1527),Likely decreasing,0.97 (0.84 -- 1.2),-0.0062 (-0.03 -- 0.033),-110 (21 -- -23)
Estonia,253 (134 -- 710),Likely decreasing,0.98 (0.91 -- 1.1),-0.0034 (-0.016 -- 0.012),-200 (58 -- -43)
France,3290 (1028 -- 16620),Likely decreasing,0.95 (0.82 -- 1.1),-0.0094 (-0.036 -- 0.021),-73 (33 -- -19)
Germany,12806 (4335 -- 55517),Stable,1 (0.89 -- 1.2),0.00068 (-0.02 -- 0.031),1000 (23 -- -34)
Greece,2405 (1142 -- 12270),Likely decreasing,0.96 (0.88 -- 1),-0.0083 (-0.024 -- 0.0069),-84 (100 -- -29)
Hungary,132 (49 -- 448),Likely increasing,1 (0.92 -- 1.2),0.0079 (-0.014 -- 0.037),88 (19 -- -49)
Iceland,16 (4 -- 77),Likely decreasing,0.97 (0.82 -- 1.2),-0.0064 (-0.035 -- 0.027),-110 (26 -- -20)
Ireland,379 (181 -- 1280),Likely decreasing,0.93 (0.85 -- 1),-0.012 (-0.03 -- 0.0069),-57 (100 -- -23)
Italy,1899 (581 -- 10374),Likely decreasing,0.93 (0.79 -- 1.1),-0.014 (-0.043 -- 0.012),-50 (56 -- -16)
Latvia,367 (177 -- 1017),Likely increasing,1 (0.94 -- 1.1),0.0065 (-0.012 -- 0.023),110 (30 -- -60)
Liechtenstein,0 (0 -- 2),Likely decreasing,0.8 (0.44 -- 1.1),-0.039 (-0.14 -- 0.013),-18 (53 -- -4.9)
Luxembourg,42 (16 -- 153),Stable,1 (0.9 -- 1.2),0.003 (-0.019 -- 0.034),230 (21 -- -36)
Malta,53 (18 -- 215),Likely increasing,1 (0.92 -- 1.3),0.0084 (-0.015 -- 0.044),83 (16 -- -47)
Netherlands,1873 (638 -- 7594),Likely increasing,1.1 (0.95 -- 1.4),0.016 (-0.0088 -- 0.056),43 (12 -- -79)
Slovakia,877 (419 -- 2983),Likely increasing,1 (0.92 -- 1.2),0.0077 (-0.014 -- 0.027),90 (26 -- -49)
Slovenia,136 (51 -- 467),Likely increasing,1.1 (0.9 -- 1.2),0.011 (-0.02 -- 0.041),61 (17 -- -35)
Spain,1837 (600 -- 9169),Likely decreasing,0.94 (0.8 -- 1.1),-0.012 (-0.041 -- 0.022),-60 (32 -- -17)
