forecaster_id,forecast_date,expert,leaderboard,board_name,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
892797,2021-05-30,FALSE,yes,curlykale,normal,1.066,0.006,1,2021-05-15,2021-05-31,United Kingdom,,,22
892797,2021-05-30,FALSE,yes,curlykale,normal,1.095,0.014,2,2021-05-22,2021-05-31,United Kingdom,,,22
892797,2021-05-30,FALSE,yes,curlykale,normal,1.112,0.021,3,2021-05-29,2021-05-31,United Kingdom,,,22
892797,2021-05-30,FALSE,yes,curlykale,normal,1.14,0.028,4,2021-06-05,2021-05-31,United Kingdom,,,22
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.2,0.04,1,2021-05-22,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.26,0.053,2,2021-05-29,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.32,0.067,3,2021-06-05,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.34,0.08,4,2021-06-12,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.35,0.093,5,2021-06-19,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.35,0.107,6,2021-06-26,2021-06-07,United Kingdom,,,23
256931,2021-06-06,FALSE,anonymous,anonymous_Dunlin,normal,1.36,0.12,7,2021-07-03,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.199,0.01,1,2021-05-22,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.274,0.02,2,2021-05-29,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.3,0.03,3,2021-06-05,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.326,0.04,4,2021-06-12,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.344,0.05,5,2021-06-19,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.35,0.06,6,2021-06-26,2021-06-07,United Kingdom,,,23
253412,2021-06-07,TRUE,yes,BQuilty,normal,1.358,0.07,7,2021-07-03,2021-06-07,United Kingdom,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.737,0.01,1,2021-05-22,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.726,0.042,2,2021-05-29,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.719,0.073,3,2021-06-05,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.79,0.105,4,2021-06-12,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.93,0.137,5,2021-06-19,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.94,0.168,6,2021-06-26,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.93,0.2,7,2021-07-03,2021-06-07,Germany,,,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.199,0.05,1,2021-05-22,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.26,0.092,2,2021-05-29,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.283,0.133,3,2021-06-05,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.283,0.175,4,2021-06-12,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.16,0.217,5,2021-06-19,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.09,0.258,6,2021-06-26,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.03,0.3,7,2021-07-03,2021-06-07,United Kingdom,,70.4472417831421,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.591,0.01,1,2021-05-22,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.556,0.042,2,2021-05-29,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.65,0.073,3,2021-06-05,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.79,0.105,4,2021-06-12,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.85,0.137,5,2021-06-19,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,0.92,0.168,6,2021-06-26,2021-06-07,Poland,,40.4544849395752,23
515822,2021-06-07,TRUE,yes,seabbs,normal,1.01,0.2,7,2021-07-03,2021-06-07,Poland,,40.4544849395752,23
643605,2021-06-07,TRUE,yes,aen,normal,1.199,0.02,1,2021-05-22,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.26,0.03,2,2021-05-29,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.283,0.041,3,2021-06-05,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.28,0.051,4,2021-06-12,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.3,0.061,5,2021-06-19,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.27,0.072,6,2021-06-26,2021-06-07,United Kingdom,,,23
643605,2021-06-07,TRUE,yes,aen,normal,1.209,0.082,7,2021-07-03,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.199,0.01,1,2021-05-22,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.29,0.02,2,2021-05-29,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.42,0.03,3,2021-06-05,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.45,0.04,4,2021-06-12,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.42,0.05,5,2021-06-19,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.35,0.06,6,2021-06-26,2021-06-07,United Kingdom,,,23
812825,2021-06-07,FALSE,anonymous,anonymous_Echidna,normal,1.18,0.07,7,2021-07-03,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,1.199,0.01,1,2021-05-22,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,1.26,0.02,2,2021-05-29,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,1.283,0.03,3,2021-06-05,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,1.16,0.04,4,2021-06-12,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,1.01,0.05,5,2021-06-19,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,0.86,0.06,6,2021-06-26,2021-06-07,United Kingdom,,,23
130436,2021-06-07,FALSE,anonymous,anonymous_Wolverine,normal,0.63,0.07,7,2021-07-03,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.199,0.025,1,2021-05-22,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.26,0.038,2,2021-05-29,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.36,0.05,3,2021-06-05,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.55,0.062,4,2021-06-12,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.45,0.075,5,2021-06-19,2021-06-07,United Kingdom,,,23
752802,2021-06-07,FALSE,yes,HCBarney,normal,1.3,0.088,6,2021-06-26,2021-06-07,United Kingdom,,,23
