forecaster_id,forecast_date,expert,leaderboard,board_name,distribution,median,width,horizon,target_end_date,submission_date,region,target_type,forecast_duration,forecast_week
253412,2021-08-09,TRUE,yes,BQuilty,normal,0.94,0.01,1,2021-07-24,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,1.09,0.025,2,2021-07-31,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,1.13,0.04,3,2021-08-07,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,1.11,0.055,4,2021-08-14,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,1.01,0.07,5,2021-08-21,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,0.95,0.085,6,2021-08-28,2021-08-09,United Kingdom,,,32
253412,2021-08-09,TRUE,yes,BQuilty,normal,0.928,0.1,7,2021-09-04,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.861,0.01,1,2021-07-24,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.885,0.025,2,2021-07-31,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.923,0.04,3,2021-08-07,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.928,0.055,4,2021-08-14,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.928,0.07,5,2021-08-21,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.923,0.085,6,2021-08-28,2021-08-09,United Kingdom,,,32
297158,2021-08-09,FALSE,yes,CosmicDan,normal,0.913,0.1,7,2021-09-04,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,0.861,0.01,1,2021-07-24,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,0.99,0.03,2,2021-07-31,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,1.03,0.05,3,2021-08-07,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,1.05,0.071,4,2021-08-14,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,1.06,0.091,5,2021-08-21,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,1.07,0.111,6,2021-08-28,2021-08-09,United Kingdom,,,32
996366,2021-08-09,TRUE,yes,nib,normal,1.07,0.131,7,2021-09-04,2021-08-09,United Kingdom,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.213,0.05,1,2021-07-24,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.123,0.075,2,2021-07-31,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.09,0.1,3,2021-08-07,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.04,0.125,4,2021-08-14,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.02,0.15,5,2021-08-21,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,0.96,0.175,6,2021-08-28,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,0.96,0.2,7,2021-09-04,2021-08-09,Germany,,,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.2,0.05,1,2021-07-24,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.24,0.075,2,2021-07-31,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.23,0.1,3,2021-08-07,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.2,0.125,4,2021-08-14,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.12,0.15,5,2021-08-21,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.03,0.175,6,2021-08-28,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,0.94,0.2,7,2021-09-04,2021-08-09,United Kingdom,,168.241017818451,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.157,0.01,1,2021-07-24,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.132,0.02,2,2021-07-31,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.089,0.03,3,2021-08-07,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.085,0.04,4,2021-08-14,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.085,0.05,5,2021-08-21,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.085,0.06,6,2021-08-28,2021-08-09,Poland,,10.0345559120178,32
515822,2021-08-09,TRUE,yes,seabbs,normal,1.085,0.07,7,2021-09-04,2021-08-09,Poland,,10.0345559120178,32
