region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Netherlands,1.1 (0.9 -- 1.5),1.1,1.2,0.2,0.9,1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing,0.16
Norway,1.1 (0.9 -- 1.3),1.1,1.1,0.11,0.9,0.98,1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.31
Slovenia,1.1 (1 -- 1.3),1.1,1.2,0.088,1,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Increasing,0.016
Sweden,1.1 (0.85 -- 1.2),1.1,1.1,0.12,0.85,0.99,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.28
Italy,1 (0.86 -- 1.2),1,1,0.11,0.86,0.96,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.39
Portugal,1 (0.89 -- 1.3),1,1.1,0.13,0.89,0.96,1,1.1,1.1,1.3,Effective reproduction no.,Stable,0.41
Malta,0.99 (0.82 -- 1.3),0.99,1,0.15,0.82,0.92,0.97,1,1.1,1.3,Effective reproduction no.,Stable,0.56
Cyprus,0.97 (0.73 -- 1.2),0.97,0.97,0.15,0.73,0.88,0.94,1,1.1,1.2,Effective reproduction no.,Stable,0.59
Bulgaria,0.95 (0.85 -- 1.2),0.95,0.97,0.1,0.85,0.91,0.93,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Romania,0.87 (0.72 -- 1.1),0.87,0.89,0.14,0.72,0.81,0.85,0.9,0.95,1.1,Effective reproduction no.,Likely decreasing,0.84
