location,location_name,value,target_end_date
AT,Austria,0,2020-02-01
AT,Austria,0,2020-02-08
AT,Austria,0,2020-02-15
AT,Austria,0,2020-02-22
AT,Austria,9,2020-02-29
AT,Austria,70,2020-03-07
AT,Austria,576,2020-03-14
AT,Austria,2159,2020-03-21
AT,Austria,5457,2020-03-28
AT,Austria,3510,2020-04-04
AT,Austria,2025,2020-04-11
AT,Austria,865,2020-04-18
AT,Austria,477,2020-04-25
AT,Austria,410,2020-05-02
AT,Austria,275,2020-05-09
AT,Austria,368,2020-05-16
AT,Austria,285,2020-05-23
AT,Austria,199,2020-05-30
AT,Austria,213,2020-06-06
AT,Austria,180,2020-06-13
AT,Austria,245,2020-06-20
AT,Austria,257,2020-06-27
AT,Austria,585,2020-07-04
AT,Austria,618,2020-07-11
AT,Austria,790,2020-07-18
AT,Austria,765,2020-07-25
AT,Austria,874,2020-08-01
AT,Austria,707,2020-08-08
AT,Austria,1260,2020-08-15
AT,Austria,1883,2020-08-22
AT,Austria,1923,2020-08-29
AT,Austria,2102,2020-09-05
AT,Austria,3609,2020-09-12
AT,Austria,4778,2020-09-19
AT,Austria,4740,2020-09-26
AT,Austria,5218,2020-10-03
AT,Austria,6991,2020-10-10
AT,Austria,8711,2020-10-17
AT,Austria,14895,2020-10-24
AT,Austria,26896,2020-10-31
AT,Austria,42295,2020-11-07
AT,Austria,51071,2020-11-14
AT,Austria,43671,2020-11-21
AT,Austria,33699,2020-11-28
AT,Austria,25028,2020-12-05
AT,Austria,19133,2020-12-12
AT,Austria,17387,2020-12-19
AT,Austria,13275,2020-12-26
AT,Austria,13818,2021-01-02
AT,Austria,14769,2021-01-09
AT,Austria,13440,2021-01-16
AT,Austria,11001,2021-01-23
AT,Austria,9696,2021-01-30
AT,Austria,9314,2021-02-06
AT,Austria,9781,2021-02-13
AT,Austria,11233,2021-02-20
AT,Austria,13781,2021-02-27
AT,Austria,15554,2021-03-06
AT,Austria,18194,2021-03-13
AT,Austria,20375,2021-03-20
AT,Austria,22346,2021-03-27
AT,Austria,22226,2021-04-03
AT,Austria,18743,2021-04-10
AT,Austria,16592,2021-04-17
AT,Austria,15607,2021-04-24
AT,Austria,13531,2021-05-01
AT,Austria,9565,2021-05-08
AT,Austria,6374,2021-05-15
AT,Austria,4452,2021-05-22
AT,Austria,3331,2021-05-29
AT,Austria,2231,2021-06-05
AT,Austria,1949,2021-06-12
AT,Austria,1058,2021-06-19
AT,Austria,747,2021-06-26
AT,Austria,470,2021-07-03
AT,Austria,791,2021-07-10
AT,Austria,1959,2021-07-17
AT,Austria,2526,2021-07-24
AT,Austria,3118,2021-07-31
AT,Austria,3473,2021-08-07
AT,Austria,5312,2021-08-14
AT,Austria,7564,2021-08-21
AT,Austria,9136,2021-08-28
AT,Austria,10590,2021-09-04
AT,Austria,13042,2021-09-11
AT,Austria,14184,2021-09-18
AT,Austria,11945,2021-09-25
AT,Austria,12078,2021-10-02
AT,Austria,13163,2021-10-09
AT,Austria,13997,2021-10-16
AT,Austria,21442,2021-10-23
AT,Austria,30315,2021-10-30
AT,Austria,50036,2021-11-06
AT,Austria,72767,2021-11-13
AT,Austria,94471,2021-11-20
AT,Austria,90234,2021-11-27
AT,Austria,60481,2021-12-04
AT,Austria,32269,2021-12-11
AT,Austria,21844,2021-12-18
AT,Austria,15437,2021-12-25
AT,Austria,19391,2022-01-01
AT,Austria,46903,2022-01-08
AT,Austria,99040,2022-01-15
AT,Austria,149418,2022-01-22
AT,Austria,223452,2022-01-29
AT,Austria,226564,2022-02-05
AT,Austria,221109,2022-02-12
AT,Austria,176029,2022-02-19
