forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,location_name,target_type,location,inc_hosp,inc_case,inc_death,forecast_duration,forecast_week
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,221731.66,0.2,1,2021-08-14,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,238124.3,0.333,2,2021-08-21,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,240857.92,0.467,3,2021-08-28,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,206825.37,0.6,4,2021-09-04,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,634.73,0.2,1,2021-08-14,2021-08-09T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,39.9399123191834,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,618.75,0.333,2,2021-08-21,2021-08-09T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,39.9399123191834,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,622.35,0.467,3,2021-08-28,2021-08-09T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,39.9399123191834,32
253412,2021-08-09T00:00:00Z,TRUE,yes,log-normal,595.1,0.6,4,2021-09-04,2021-08-09T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,39.9399123191834,32
508458,2021-08-09T00:00:00Z,TRUE,anonymous,log-normal,198048.44,0.1,1,2021-08-14,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
508458,2021-08-09T00:00:00Z,TRUE,anonymous,log-normal,207806.98,0.17,2,2021-08-21,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
508458,2021-08-09T00:00:00Z,TRUE,anonymous,log-normal,220002.47,0.239,3,2021-08-28,2021-08-09T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,32
