forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,location_name,target_type,location,inc_hosp,inc_case,inc_death,forecast_duration,forecast_week
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,235721.42,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,250821.49,0.233,2,2021-09-04,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,266905.16,0.367,3,2021-09-11,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,281281.68,0.5,4,2021-09-18,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,714.58,0.1,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,44.1146655082703,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,749.61,0.233,2,2021-09-04,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,44.1146655082703,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,733.52,0.367,3,2021-09-11,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,44.1146655082703,34
253412,2021-08-23T00:00:00Z,TRUE,yes,log-normal,760.99,0.5,4,2021-09-18,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,44.1146655082703,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,242874.65,0.138,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,286297.2,0.205,2,2021-09-04,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,359575.85,0.271,3,2021-09-11,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,481137.16,0.338,4,2021-09-18,2021-08-23T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,765.74,0.092,1,2021-08-28,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,32.5127081871033,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,861.47,0.125,2,2021-09-04,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,32.5127081871033,34
89444,2021-08-23T00:00:00Z,TRUE,anonymous,log-normal,979.67,0.159,3,2021-09-11,2021-08-23T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,32.5127081871033,34
