forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,location_name,target_type,location,inc_hosp,inc_case,inc_death,forecast_duration,forecast_week
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,275718.76,0.15,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,265659.2,0.178,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,258659,0.206,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,253659,0.234,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,610,0.2,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,1.95897959868113,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,750,0.233,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,1.95897959868113,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,870,0.267,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,1.95897959868113,30
297158,2021-07-25T00:00:00Z,FALSE,yes,log-normal,970,0.3,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,1.95897959868113,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,286410.94,0.4,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,289207.96,0.533,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,285896.16,0.667,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,275494.13,0.8,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,664.67,0.2,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,58.738175868988,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,997.26,0.3,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,58.738175868988,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,1280.76,0.4,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,58.738175868988,30
253412,2021-07-26T00:00:00Z,TRUE,yes,log-normal,1381.65,0.5,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,58.738175868988,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,282920,0.234,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,282920,0.567,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,282920,0.901,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,282920,1.234,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,700,0.23,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,29.2292146682739,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,1000,0.563,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,29.2292146682739,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,1000,0.897,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,29.2292146682739,30
467474,2021-07-26T00:00:00Z,FALSE,yes,log-normal,1000,1.23,4,2021-08-21,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,29.2292146682739,30
167772,2021-07-26T00:00:00Z,TRUE,anonymous,log-normal,551.25,0.23,1,2021-07-31,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,,30
167772,2021-07-26T00:00:00Z,TRUE,anonymous,log-normal,558.99,0.307,2,2021-08-07,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,,30
167772,2021-07-26T00:00:00Z,TRUE,anonymous,log-normal,582.82,0.383,3,2021-08-14,2021-07-26T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,,30
