forecaster_id,forecast_date,expert,leaderboard,distribution,median,width,horizon,target_end_date,submission_date,location_name,target_type,location,inc_hosp,inc_case,inc_death,forecast_duration,forecast_week
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,271829.78,0.034,1,2021-09-18,2021-09-13T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,295032.53,0.067,2,2021-09-25,2021-09-13T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,317497.55,0.101,3,2021-10-02,2021-09-13T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,329749.48,0.134,4,2021-10-09,2021-09-13T00:00:00Z,United Kingdom,cases,GB,ECDC,JHU,JHU,,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,1141.65,0.092,1,2021-09-18,2021-09-13T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,49.0375819206238,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,1323.68,0.135,2,2021-09-25,2021-09-13T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,49.0375819206238,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,1484.66,0.179,3,2021-10-02,2021-09-13T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,49.0375819206238,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,1591.83,0.222,4,2021-10-09,2021-09-13T00:00:00Z,United Kingdom,deaths,GB,ECDC,JHU,JHU,49.0375819206238,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,72787.65,0.194,1,2021-09-18,2021-09-13T00:00:00Z,Germany,cases,DE,,JHU,JHU,49.7139296531677,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,77448.82,0.261,2,2021-09-25,2021-09-13T00:00:00Z,Germany,cases,DE,,JHU,JHU,49.7139296531677,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,82907.42,0.327,3,2021-10-02,2021-09-13T00:00:00Z,Germany,cases,DE,,JHU,JHU,49.7139296531677,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,89501.6,0.394,4,2021-10-09,2021-09-13T00:00:00Z,Germany,cases,DE,,JHU,JHU,49.7139296531677,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,305.4,0.077,1,2021-09-18,2021-09-13T00:00:00Z,Germany,deaths,DE,,JHU,JHU,29.5005884170532,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,369.38,0.11,2,2021-09-25,2021-09-13T00:00:00Z,Germany,deaths,DE,,JHU,JHU,29.5005884170532,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,423.84,0.144,3,2021-10-02,2021-09-13T00:00:00Z,Germany,deaths,DE,,JHU,JHU,29.5005884170532,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,486.33,0.177,4,2021-10-09,2021-09-13T00:00:00Z,Germany,deaths,DE,,JHU,JHU,29.5005884170532,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,16946,0.091,1,2021-09-18,2021-09-13T00:00:00Z,Netherlands,cases,NL,ECDC,JHU,JHU,30.6818323135376,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,16946,0.158,2,2021-09-25,2021-09-13T00:00:00Z,Netherlands,cases,NL,ECDC,JHU,JHU,30.6818323135376,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,16946,0.224,3,2021-10-02,2021-09-13T00:00:00Z,Netherlands,cases,NL,ECDC,JHU,JHU,30.6818323135376,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,16946,0.291,4,2021-10-09,2021-09-13T00:00:00Z,Netherlands,cases,NL,ECDC,JHU,JHU,30.6818323135376,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,29.14,0.083,1,2021-09-18,2021-09-13T00:00:00Z,Netherlands,deaths,NL,ECDC,JHU,JHU,55.8527183532715,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,26.2,0.143,2,2021-09-25,2021-09-13T00:00:00Z,Netherlands,deaths,NL,ECDC,JHU,JHU,55.8527183532715,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,25.13,0.203,3,2021-10-02,2021-09-13T00:00:00Z,Netherlands,deaths,NL,ECDC,JHU,JHU,55.8527183532715,37
89444,2021-09-13T00:00:00Z,TRUE,anonymous,log-normal,25.4,0.263,4,2021-10-09,2021-09-13T00:00:00Z,Netherlands,deaths,NL,ECDC,JHU,JHU,55.8527183532715,37
