Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,1686 (617 -- 5042),Increasing,1.3 (1 -- 1.6),0.3 (0.043 -- 0.63),2.3 (1.1 -- 16)
Belgium,47543 (23310 -- 108249),Likely increasing,1.1 (0.92 -- 1.2),0.082 (-0.1 -- 0.23),8.5 (3 -- -6.8)
Bulgaria,17062 (9101 -- 35043),Likely increasing,1 (0.92 -- 1.1),0.033 (-0.11 -- 0.15),21 (4.7 -- -6.3)
Croatia,59848 (24219 -- 164655),Likely decreasing,0.96 (0.72 -- 1.1),-0.055 (-0.4 -- 0.15),-13 (4.5 -- -1.7)
Cyprus,1627 (663 -- 4711),Likely decreasing,0.86 (0.69 -- 1),-0.19 (-0.46 -- 0.034),-3.7 (20 -- -1.5)
Czechia,529215 (177869 -- 1392170),Increasing,1.3 (1.1 -- 1.6),0.34 (0.084 -- 0.62),2.1 (1.1 -- 8.2)
Denmark,9964 (4726 -- 22510),Stable,1 (0.82 -- 1.3),0.02 (-0.25 -- 0.29),34 (2.4 -- -2.8)
France,45248 (20944 -- 91676),Increasing,1.2 (1 -- 1.4),0.24 (0.023 -- 0.48),2.8 (1.5 -- 31)
Greece,75825 (45450 -- 134066),Likely decreasing,0.99 (0.9 -- 1.1),-0.015 (-0.14 -- 0.091),-45 (7.6 -- -5.1)
Hungary,32102 (11565 -- 117017),Likely increasing,1.1 (0.72 -- 1.4),0.13 (-0.41 -- 0.46),5.2 (1.5 -- -1.7)
Iceland,319 (152 -- 762),Likely decreasing,0.91 (0.76 -- 1),-0.11 (-0.34 -- 0.061),-6 (11 -- -2.1)
Ireland,5833 (3448 -- 10957),Decreasing,0.91 (0.81 -- 0.99),-0.12 (-0.26 -- -0.014),-5.7 (-48 -- -2.7)
Liechtenstein,32 (7 -- 149),Likely increasing,1.1 (0.84 -- 1.5),0.098 (-0.21 -- 0.49),7.1 (1.4 -- -3.2)
Lithuania,68762 (25804 -- 202247),Likely decreasing,0.94 (0.68 -- 1.1),-0.076 (-0.49 -- 0.14),-9.1 (4.9 -- -1.4)
Luxembourg,7466 (3877 -- 16363),Likely increasing,1.1 (0.97 -- 1.3),0.13 (-0.035 -- 0.3),5.5 (2.3 -- -20)
Malta,119 (59 -- 263),Decreasing,0.83 (0.7 -- 0.98),-0.24 (-0.45 -- -0.024),-2.9 (-28 -- -1.6)
Norway,16494 (8968 -- 35724),Likely decreasing,0.93 (0.81 -- 1),-0.097 (-0.27 -- 0.042),-7.2 (16 -- -2.6)
Poland,181080 (65327 -- 506904),Likely decreasing,0.91 (0.61 -- 1.1),-0.13 (-0.61 -- 0.13),-5.5 (5.4 -- -1.1)
Portugal,3643 (1968 -- 7049),Decreasing,0.88 (0.76 -- 0.97),-0.16 (-0.35 -- -0.037),-4.3 (-19 -- -2)
Romania,1401 (732 -- 3269),Decreasing,0.58 (0.46 -- 0.73),-0.67 (-0.93 -- -0.39),-1 (-1.8 -- -0.75)
Slovakia,51778 (17116 -- 156860),Likely increasing,1.2 (0.93 -- 1.5),0.25 (-0.091 -- 0.53),2.8 (1.3 -- -7.6)
Sweden,13877 (8480 -- 25704),Likely decreasing,0.98 (0.91 -- 1.1),-0.022 (-0.12 -- 0.11),-32 (6.1 -- -5.7)
