region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,86 (34 -- 249),86,106,78,34,58,74,100,129,249,New confirmed cases by infection date,Stable,0.47
Latvia,59 (29 -- 119),59,65,28,29,45,54,66,79,119,New confirmed cases by infection date,Stable,0.51
Denmark,36 (11 -- 122),36,47,45,11,22,30,43,57,122,New confirmed cases by infection date,Likely decreasing,0.71
Romania,23 (5 -- 93),23,32,33,5,12,18,28,38,93,New confirmed cases by infection date,Likely decreasing,0.69
Hungary,14 (4 -- 42),14,17,16,4,9,11,16,22,42,New confirmed cases by infection date,Likely increasing,0.36
Lithuania,6 (0 -- 37),6,11,15,0,3,5,8,13,37,New confirmed cases by infection date,Likely decreasing,0.66
Estonia,1 (0 -- 11),1,3,6,0,0,0,2,3,11,New confirmed cases by infection date,Likely decreasing,0.69
Hungary,1 (0.82 -- 1.4),1,1.1,0.2,0.82,0.95,1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.36
Latvia,1 (0.85 -- 1.2),1,1,0.099,0.85,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.51
Portugal,1 (0.83 -- 1.2),1,1,0.12,0.83,0.94,0.98,1,1.1,1.2,Effective reproduction no.,Stable,0.47
Denmark,0.94 (0.7 -- 1.2),0.94,0.94,0.15,0.7,0.85,0.91,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.71
Romania,0.94 (0.7 -- 1.2),0.94,0.94,0.15,0.7,0.85,0.91,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.69
Lithuania,0.93 (0.62 -- 1.2),0.93,0.93,0.18,0.62,0.83,0.9,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.66
Estonia,0.92 (0.48 -- 1.3),0.92,0.91,0.24,0.48,0.78,0.87,0.96,1,1.3,Effective reproduction no.,Likely decreasing,0.69
Bulgaria,0.56 (0.18 -- 0.95),0.56,0.57,0.24,0.18,0.39,0.49,0.63,0.75,0.95,Effective reproduction no.,Decreasing,0.97
Bulgaria,0 (0 -- 11),0,2,6,0,0,0,1,2,11,New confirmed cases by infection date,Decreasing,0.97
