Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,90753 (30512 -- 765294),Likely increasing,1.1 (0.65 -- 3.3),0.022 (-0.076 -- 0.24),32 (2.9 -- -9.2)
Belgium,7666 (1414 -- 38994),Likely decreasing,0.76 (0.41 -- 1.4),-0.048 (-0.15 -- 0.056),-14 (12 -- -4.6)
Bulgaria,2450 (1034 -- 5907),Likely decreasing,0.72 (0.46 -- 1.1),-0.058 (-0.13 -- 0.023),-12 (30 -- -5.2)
Croatia,1694 (818 -- 3566),Likely decreasing,0.73 (0.5 -- 1.1),-0.056 (-0.12 -- 0.018),-12 (39 -- -5.8)
Cyprus,4042 (679 -- 18139),Likely decreasing,0.91 (0.36 -- 1.8),-0.016 (-0.17 -- 0.12),-42 (6 -- -4)
Czechia,11381 (1736 -- 60348),Likely decreasing,0.72 (0.33 -- 1.4),-0.059 (-0.19 -- 0.066),-12 (11 -- -3.7)
Denmark,30802 (8929 -- 92581),Likely decreasing,0.78 (0.46 -- 1.2),-0.046 (-0.13 -- 0.026),-15 (27 -- -5.2)
Estonia,5573 (3099 -- 9665),Likely decreasing,0.77 (0.54 -- 1),-0.046 (-0.11 -- 0.0058),-15 (120 -- -6.4)
Finland,9128 (2424 -- 32640),Likely decreasing,0.93 (0.59 -- 1.5),-0.012 (-0.093 -- 0.073),-57 (9.5 -- -7.5)
France,84049 (23414 -- 369392),Likely decreasing,0.86 (0.47 -- 1.8),-0.027 (-0.13 -- 0.11),-26 (6.4 -- -5.4)
Germany,379906 (156730 -- 1039890),Stable,0.97 (0.65 -- 1.6),-0.0063 (-0.075 -- 0.085),-110 (8.2 -- -9.2)
Greece,35521 (11844 -- 102990),Stable,1 (0.42 -- 2.3),-0.00078 (-0.15 -- 0.16),-890 (4.3 -- -4.7)
Hungary,3624 (1059 -- 12315),Likely decreasing,0.71 (0.39 -- 1.3),-0.061 (-0.16 -- 0.051),-11 (14 -- -4.3)
Iceland,9755 (3109 -- 26422),Likely increasing,1.1 (0.71 -- 1.5),0.02 (-0.061 -- 0.076),35 (9.1 -- -11)
Ireland,5574 (1230 -- 32331),Likely decreasing,0.89 (0.47 -- 1.7),-0.022 (-0.13 -- 0.097),-32 (7.1 -- -5.3)
Italy,85552 (45278 -- 160318),Stable,0.99 (0.65 -- 1.5),-0.0021 (-0.075 -- 0.081),-330 (8.6 -- -9.3)
Latvia,14812 (7430 -- 29489),Likely decreasing,0.87 (0.6 -- 1.2),-0.025 (-0.09 -- 0.041),-27 (17 -- -7.7)
Liechtenstein,489 (227 -- 2021),Likely increasing,1.1 (0.87 -- 2.3),0.018 (-0.025 -- 0.16),40 (4.3 -- -27)
Lithuania,10266 (5472 -- 18702),Stable,0.98 (0.62 -- 1.5),-0.0041 (-0.083 -- 0.077),-170 (9 -- -8.4)
Luxembourg,1470 (419 -- 3683),Likely decreasing,0.91 (0.39 -- 1.6),-0.016 (-0.16 -- 0.085),-42 (8.1 -- -4.3)
Malta,580 (199 -- 1687),Likely increasing,1.8 (0.79 -- 4),0.11 (-0.041 -- 0.28),6.3 (2.5 -- -17)
Netherlands,163691 (59230 -- 728065),Likely increasing,1.2 (0.73 -- 2.7),0.031 (-0.056 -- 0.19),23 (3.7 -- -12)
Norway,18877 (7926 -- 44620),Likely decreasing,0.83 (0.53 -- 1.3),-0.034 (-0.11 -- 0.043),-21 (16 -- -6.3)
Poland,28692 (13215 -- 64422),Stable,1.1 (0.6 -- 2),0.012 (-0.09 -- 0.13),58 (5.3 -- -7.7)
Portugal,49348 (22851 -- 112679),Likely increasing,1.6 (0.92 -- 2.9),0.087 (-0.015 -- 0.21),7.9 (3.4 -- -45)
Romania,6496 (2309 -- 17901),Likely decreasing,0.69 (0.32 -- 1.4),-0.065 (-0.19 -- 0.066),-11 (10 -- -3.7)
Slovakia,21070 (8051 -- 58705),Likely decreasing,0.81 (0.47 -- 1.5),-0.038 (-0.13 -- 0.071),-18 (9.7 -- -5.3)
Slovenia,5759 (2673 -- 14384),Likely increasing,1.4 (0.83 -- 2.5),0.058 (-0.034 -- 0.18),12 (3.9 -- -20)
Spain,37352 (8022 -- 197351),Likely decreasing,0.82 (0.47 -- 1.6),-0.034 (-0.13 -- 0.083),-20 (8.4 -- -5.3)
Sweden,2182 (265 -- 21119),Likely decreasing,0.7 (0.28 -- 2),-0.063 (-0.21 -- 0.14),-11 (5.1 -- -3.3)
Switzerland,39543 (13889 -- 150549),Likely decreasing,0.95 (0.64 -- 1.8),-0.0088 (-0.078 -- 0.11),-78 (6.6 -- -8.9)
United Kingdom,62505 (22738 -- 158215),Likely decreasing,0.83 (0.59 -- 1.2),-0.033 (-0.091 -- 0.027),-21 (26 -- -7.6)
